,Meteorite,Thunder Park,True Nobility,Wanaroo,Sir Domigo,Tillotson,Bull Dust,Gold Logie,Carry On Camping,Anges
06-01-2023 15:35:39.387709,"(10.0, 16.0, 13.6)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.872689075630252)","(15.0, 25.0, 18.7)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:35:40.737697,"(10.0, 16.0, 13.6)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.872689075630252)","(15.0, 25.0, 18.7)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:35:42.118289,"(10.0, 16.0, 13.6)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.872689075630252)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:35:43.321389,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.872689075630252)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:35:44.581890,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.872689075630252)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:35:45.872850,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.872689075630252)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:35:47.183386,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.872689075630252)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:35:48.500924,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8810344827586207)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:35:49.727502,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8810344827586207)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:35:50.983325,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8810344827586207)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
