,Couch King,Typhoon Tony,Wonder Woolly,Wiradjuri Queen,Rutland Bella
08-12-2022 15:45:53.606457,"(2.5, 4.3, 3.825)","(10.0, 19.0, 14.227272727272727)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.990322580645161)","(2.6, 3.35, 2.9692307692307693)"
08-12-2022 15:45:54.394146,"(2.5, 4.3, 3.825)","(10.0, 19.0, 14.1)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.990322580645161)","(2.6, 3.25, 2.9692307692307693)"
08-12-2022 15:45:55.461278,"(2.5, 4.3, 3.825)","(10.0, 19.0, 14.1)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.990322580645161)","(2.6, 3.25, 2.9692307692307693)"
08-12-2022 15:45:56.542104,"(2.5, 4.3, 3.825)","(10.0, 19.0, 14.1)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.990322580645161)","(2.6, 3.25, 2.8635294117647057)"
08-12-2022 15:45:57.436430,"(2.5, 4.3, 3.825)","(10.0, 19.0, 14.1)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.9722222222222223)","(2.6, 3.25, 2.8635294117647057)"
08-12-2022 15:45:58.298770,"(2.5, 4.3, 3.825)","(10.0, 19.0, 14.1)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.9722222222222223)","(2.6, 3.25, 2.8635294117647057)"
08-12-2022 15:45:59.238647,"(2.5, 4.3, 3.825)","(10.0, 19.0, 14.1)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.9722222222222223)","(2.6, 3.25, 2.8635294117647057)"
08-12-2022 15:46:00.163274,"(2.5, 4.3, 3.825)","(10.0, 19.0, 14.1)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.9375)","(2.6, 3.25, 2.8635294117647057)"
08-12-2022 15:46:01.033058,"(2.5, 4.3, 3.8249999999999997)","(10.0, 19.0, 14.1)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.9911764705882353)","(2.6, 3.25, 2.8635294117647057)"
08-12-2022 15:46:01.999982,"(2.5, 4.3, 3.8249999999999997)","(10.0, 19.0, 14.1)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.966666666666667)","(2.6, 3.2, 2.9384615384615387)"
08-12-2022 15:46:02.803756,"(2.5, 4.3, 3.8249999999999997)","(10.0, 19.0, 14.1)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.975)","(2.6, 3.2, 2.84)"
08-12-2022 15:46:03.695873,"(2.5, 4.3, 3.8249999999999997)","(10.0, 19.0, 14.1)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.975)","(2.6, 3.2, 2.84)"
08-12-2022 15:46:04.506307,"(2.5, 4.3, 3.8249999999999997)","(10.0, 19.0, 14.1)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.975)","(2.6, 3.2, 2.84)"
08-12-2022 15:46:05.307010,"(2.5, 4.3, 3.8249999999999997)","(10.0, 19.0, 14.1)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.975)","(2.6, 3.2, 2.84)"
08-12-2022 15:46:06.317940,"(2.5, 4.3, 3.8249999999999997)","(10.0, 19.0, 14.1)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.9583333333333335)","(2.6, 3.2, 2.84)"
08-12-2022 15:46:07.227180,"(2.5, 4.3, 3.6159999999999997)","(10.0, 19.0, 14.1)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.9583333333333335)","(2.6, 3.2, 2.84)"
08-12-2022 15:46:08.034999,"(2.5, 4.3, 3.689285714285714)","(10.0, 20.0, 16.0)","(10.0, 15.5, 13.666666666666666)","(3.8, 4.0, 3.9375)","(2.6, 3.2, 2.84)"
08-12-2022 15:46:08.926324,"(2.5, 4.3, 3.689285714285714)","(10.0, 20.0, 16.0)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.966666666666667)","(2.6, 3.15, 2.739130434782609)"
08-12-2022 15:46:09.798099,"(2.5, 4.3, 3.689285714285714)","(10.0, 20.0, 14.666666666666666)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.966666666666667)","(2.6, 3.15, 2.713846153846154)"
08-12-2022 15:46:10.600587,"(2.5, 4.3, 3.689285714285714)","(10.0, 20.0, 17.1875)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.966666666666667)","(2.6, 3.15, 2.713846153846154)"
08-12-2022 15:46:11.498867,"(2.5, 4.3, 3.689285714285714)","(10.0, 20.0, 17.1875)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.966666666666667)","(2.6, 3.15, 2.713846153846154)"
08-12-2022 15:46:12.399823,"(2.5, 4.3, 3.689285714285714)","(10.0, 20.0, 17.1875)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.966666666666667)","(2.6, 3.15, 3.045)"
08-12-2022 15:46:13.228075,"(2.5, 4.3, 3.6159999999999997)","(10.0, 20.0, 17.1875)","(10.0, 15.5, 13.666666666666666)","(3.8, 4.0, 3.9722222222222223)","(2.6, 3.15, 3.0483333333333333)"
08-12-2022 15:46:14.172277,"(2.5, 4.3, 3.6159999999999997)","(10.0, 20.0, 17.72)","(10.0, 15.5, 13.666666666666666)","(3.8, 4.0, 3.966666666666667)","(2.6, 3.15, 3.0628571428571427)"
08-12-2022 15:46:15.262509,"(2.5, 4.3, 3.6159999999999997)","(10.0, 20.0, 14.9)","(10.0, 15.5, 13.666666666666666)","(3.8, 4.0, 3.966666666666667)","(2.6, 3.15, 3.0628571428571427)"
08-12-2022 15:46:16.178504,"(2.5, 4.3, 3.6159999999999997)","(10.0, 20.0, 14.9)","(10.0, 15.5, 13.666666666666666)","(3.8, 4.0, 3.966666666666667)","(2.6, 3.15, 2.8449999999999998)"
08-12-2022 15:46:17.069132,"(2.5, 4.3, 3.9)","(10.0, 20.0, 14.9)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.966666666666667)","(2.6, 3.15, 2.8449999999999998)"
08-12-2022 15:46:18.069081,"(2.5, 4.3, 3.9)","(10.0, 20.0, 14.9)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.9722222222222223)","(2.6, 3.15, 2.8449999999999998)"
08-12-2022 15:46:19.042499,"(2.5, 4.3, 3.9)","(10.0, 20.0, 14.9)","(10.0, 15.5, 12.2)","(3.8, 4.0, 4.029999999999999)","(2.6, 3.15, 2.8449999999999998)"
08-12-2022 15:46:20.064034,"(2.5, 4.3, 3.9)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.1, 4.014285714285714)","(2.6, 3.15, 2.8449999999999998)"
08-12-2022 15:46:21.106918,"(2.5, 4.3, 3.9)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.1, 4.014285714285714)","(2.6, 3.15, 2.8449999999999998)"
08-12-2022 15:46:22.108896,"(2.5, 4.3, 3.9)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.1, 4.014285714285714)","(2.6, 3.15, 2.8449999999999998)"
08-12-2022 15:46:23.069697,"(2.5, 4.3, 3.9)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.1, 4.014285714285714)","(2.6, 3.15, 2.8449999999999998)"
08-12-2022 15:46:23.943972,"(2.5, 4.3, 3.9)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.1, 3.9999999999999996)","(2.6, 3.15, 2.8449999999999998)"
08-12-2022 15:46:24.928624,"(2.5, 4.3, 3.9)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.1, 4.014285714285714)","(2.6, 3.15, 2.8449999999999998)"
08-12-2022 15:46:25.858871,"(2.5, 4.3, 3.70625)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.1, 3.9499999999999997)","(2.6, 3.15, 3.135)"
08-12-2022 15:46:26.760063,"(2.5, 4.3, 3.870731707317073)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.1, 3.9499999999999997)","(2.6, 3.75, 3.135)"
08-12-2022 15:46:27.743890,"(2.5, 4.3, 3.870731707317073)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.1, 3.925)","(2.6, 3.8, 3.485)"
08-12-2022 15:46:28.706499,"(2.5, 4.2, 4.078260869565217)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.1, 3.925)","(2.6, 3.8, 3.4475)"
08-12-2022 15:46:29.676412,"(2.5, 4.2, 4.078260869565217)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.1, 3.9499999999999997)","(2.6, 3.75, 3.4475)"
08-12-2022 15:46:30.636451,"(2.5, 4.2, 4.078260869565217)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.1, 3.9499999999999997)","(2.6, 3.75, 3.4475)"
08-12-2022 15:46:31.565221,"(2.5, 4.2, 4.078260869565217)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.1, 3.9499999999999997)","(2.6, 3.75, 3.4475)"
08-12-2022 15:46:32.563953,"(2.5, 4.2, 4.078260869565217)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.9583333333333335)","(2.6, 3.75, 3.16)"
08-12-2022 15:46:33.591062,"(2.5, 4.2, 4.078260869565217)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.9583333333333335)","(2.6, 3.8, 3.41)"
08-12-2022 15:46:34.439633,"(2.5, 4.2, 3.9333333333333336)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.9583333333333335)","(2.6, 3.7, 3.41)"
08-12-2022 15:46:35.479734,"(2.5, 4.2, 3.9333333333333336)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.966666666666667)","(2.6, 3.65, 3.3725)"
08-12-2022 15:46:36.530591,"(2.5, 4.2, 3.9333333333333336)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.966666666666667)","(2.6, 3.65, 3.3725)"
08-12-2022 15:46:37.387611,"(2.5, 4.2, 3.9333333333333336)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.966666666666667)","(2.6, 3.65, 3.085)"
08-12-2022 15:46:38.261305,"(2.5, 4.2, 3.830769230769231)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.966666666666667)","(2.6, 3.65, 3.3600000000000003)"
08-12-2022 15:46:39.253307,"(2.5, 4.2, 3.6857142857142855)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.990322580645161)","(2.6, 4.2, 3.785)"
08-12-2022 15:46:40.131885,"(2.5, 4.2, 4.0)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.990322580645161)","(2.6, 4.2, 3.497692307692308)"
08-12-2022 15:46:40.988157,"(2.5, 4.2, 3.988235294117647)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.9583333333333335)","(2.6, 4.2, 3.653157894736842)"
08-12-2022 15:46:41.892237,"(2.5, 4.2, 4.011764705882353)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.9583333333333335)","(2.6, 3.95, 3.653157894736842)"
08-12-2022 15:46:42.818362,"(2.5, 4.2, 4.011764705882353)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.9583333333333335)","(2.6, 3.95, 3.6958823529411764)"
08-12-2022 15:46:43.682177,"(2.5, 4.2, 3.7)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.9583333333333335)","(2.6, 3.85, 3.6958823529411764)"
08-12-2022 15:46:44.622103,"(2.5, 4.2, 3.6)","(10.0, 20.0, 14.0)","(10.0, 15.5, 12.2)","(3.8, 4.0, 3.990322580645161)","(2.6, 3.9, 3.5057142857142853)"
08-12-2022 15:46:45.514432,"(2.5, 4.2, 3.5571428571428574)","(10.0, 20.0, 14.545454545454545)","(10.0, 15.5, 13.0)","(3.8, 4.0, 3.9583333333333335)","(2.6, 3.85, 3.6854545454545455)"
08-12-2022 15:46:46.477704,"(2.5, 4.2, 3.807692307692308)","(10.0, 20.0, 14.545454545454545)","(10.0, 15.5, 13.0)","(3.8, 4.0, 3.9583333333333335)","(2.6, 3.95, 3.715)"
