,Double Thunder,Goldstar Charm,Goldstar Justice,Homebush Shadow,Opawa Andrew,Lonely Guy,Replica Rosco
06-01-2023 11:23:47.705435,"(1.8, 2.92, 2.745)","(6.5, 14.5, 12.544444444444444)","(11.0, 24.0, 22.422222222222224)","(9.0, 17.0, 15.523076923076923)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 29.214285714285715)","(8.0, 14.5, 13.407692307692308)"
06-01-2023 11:23:48.734340,"(1.8, 2.92, 2.745)","(6.5, 14.5, 12.544444444444444)","(11.0, 24.0, 22.422222222222224)","(9.0, 17.0, 15.523076923076923)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 29.214285714285715)","(8.0, 14.5, 13.407692307692308)"
06-01-2023 11:23:49.761425,"(1.8, 2.92, 2.745)","(6.5, 14.5, 12.544444444444444)","(11.0, 24.0, 22.422222222222224)","(9.0, 17.0, 15.523076923076923)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 29.214285714285715)","(8.0, 14.5, 13.45)"
06-01-2023 11:23:50.846986,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:23:51.876500,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:23:53.114672,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:23:54.314154,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:23:55.409610,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:23:56.519616,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:23:57.543840,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:23:58.536418,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:23:59.589184,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:24:00.620735,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
