,Apollo Dreamz,Miki Magic,Jilliby Typhoon,Bronski Delight,Isntthatright,Captain Braveheart,Turbo Bromac Nz,Lancelot Bromac Nz,Jay Tee Tyron Nz,English Dance
10-01-2023 16:35:49.761034,"(1.95, 2.0, 1.99)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.95)","(9.0, 15.5, 14.166666666666666)","(4.0, 9.0, 7.428571428571429)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:35:51.196704,"(1.95, 2.0, 1.99)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.95)","(9.0, 15.5, 14.166666666666666)","(4.0, 9.0, 7.9)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:35:52.641076,"(1.95, 2.0, 1.990909090909091)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.95)","(9.0, 15.5, 14.166666666666666)","(4.0, 9.0, 7.6000000000000005)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:35:54.163349,"(1.95, 2.0, 1.990909090909091)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.225)","(9.0, 15.5, 14.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:35:55.779399,"(1.95, 2.0, 1.990909090909091)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.225)","(9.0, 15.5, 14.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:35:57.279492,"(1.95, 2.0, 1.990909090909091)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.1)","(9.0, 15.5, 14.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:35:58.721609,"(1.95, 2.0, 1.990909090909091)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.1)","(9.0, 15.5, 14.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:00.136326,"(1.95, 2.0, 1.990909090909091)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.375)","(9.0, 15.5, 14.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 64.33333333333334)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:01.535887,"(1.95, 2.0, 1.9959459459459459)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.375)","(9.0, 15.5, 14.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 64.33333333333334)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:02.880941,"(1.95, 2.0, 1.9958333333333333)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.271428571428572)","(9.0, 15.5, 14.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 64.33333333333334)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:04.209579,"(1.95, 2.0, 1.9978723404255319)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.271428571428572)","(9.0, 15.5, 14.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 64.33333333333334)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:05.506713,"(1.95, 2.0, 1.9978723404255319)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.271428571428572)","(9.0, 15.5, 14.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 64.33333333333334)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:36:06.794561,"(1.95, 2.0, 1.9978723404255319)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.271428571428572)","(9.0, 15.5, 14.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 64.33333333333334)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:36:08.071874,"(1.95, 2.0, 1.9979310344827585)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.271428571428572)","(9.0, 15.5, 14.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 64.33333333333334)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:36:09.406850,"(1.95, 2.0, 1.9979310344827585)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.271428571428572)","(9.0, 15.5, 14.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 64.33333333333334)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:36:10.765914,"(1.95, 2.0, 1.9979310344827585)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.271428571428572)","(9.0, 15.5, 14.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 64.33333333333334)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:36:12.113288,"(1.95, 2.0, 1.9978723404255319)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.271428571428572)","(9.0, 15.5, 14.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:13.404805,"(1.95, 2.0, 1.9978723404255319)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.271428571428572)","(9.0, 15.5, 14.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:14.689440,"(1.95, 2.0, 1.9978723404255319)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.271428571428572)","(9.0, 15.5, 14.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:16.006483,"(1.95, 2.0, 1.9978723404255319)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.271428571428572)","(9.0, 15.5, 14.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:17.619048,"(1.95, 2.0, 1.9978723404255319)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.271428571428572)","(9.0, 15.5, 13.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:19.117331,"(1.95, 2.0, 1.9978723404255319)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.45)","(9.0, 15.5, 13.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:20.764860,"(1.95, 2.0, 1.9978723404255319)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.45)","(9.0, 15.5, 13.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:22.525765,"(1.95, 2.0, 1.9978723404255319)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.45)","(9.0, 15.5, 13.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:23.920119,"(1.95, 2.0, 1.9978723404255319)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.45)","(9.0, 15.5, 13.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
