,Frosty Helen,Frostbite Hux,Blue Mystique,Thornbird,Emmeline Vance,Monza,Rosdue Swagman,Frankies Vision
412,"[datetime.datetime(2022, 11, 28, 13, 33, 49, 19218), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 33, 49, 19218), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 33, 49, 19218), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 33, 49, 19218), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 33, 49, 19218), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 33, 49, 19218), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 33, 49, 19218), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 33, 49, 19218), 9.0, 17.0]"
413,"[datetime.datetime(2022, 11, 28, 13, 33, 50, 140351), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 33, 50, 140351), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 33, 50, 140351), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 33, 50, 140351), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 33, 50, 140351), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 33, 50, 140351), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 33, 50, 140351), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 33, 50, 140351), 9.0, 17.0]"
414,"[datetime.datetime(2022, 11, 28, 13, 33, 51, 271546), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 33, 51, 271546), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 33, 51, 271546), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 33, 51, 271546), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 33, 51, 271546), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 33, 51, 271546), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 33, 51, 271546), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 33, 51, 271546), 9.0, 17.0]"
415,"[datetime.datetime(2022, 11, 28, 13, 33, 52, 394243), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 33, 52, 394243), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 33, 52, 394243), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 33, 52, 394243), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 33, 52, 394243), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 33, 52, 394243), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 33, 52, 394243), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 33, 52, 394243), 9.0, 17.0]"
416,"[datetime.datetime(2022, 11, 28, 13, 33, 53, 523513), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 33, 53, 523513), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 33, 53, 523513), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 33, 53, 523513), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 33, 53, 523513), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 33, 53, 523513), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 33, 53, 523513), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 33, 53, 523513), 9.0, 17.0]"
417,"[datetime.datetime(2022, 11, 28, 13, 33, 54, 644552), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 33, 54, 644552), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 33, 54, 644552), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 33, 54, 644552), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 33, 54, 644552), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 33, 54, 644552), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 33, 54, 644552), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 33, 54, 644552), 9.0, 17.0]"
418,"[datetime.datetime(2022, 11, 28, 13, 33, 55, 772896), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 33, 55, 772896), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 33, 55, 772896), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 33, 55, 772896), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 33, 55, 772896), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 33, 55, 772896), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 33, 55, 772896), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 33, 55, 772896), 9.0, 17.0]"
419,"[datetime.datetime(2022, 11, 28, 13, 33, 56, 901596), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 33, 56, 901596), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 33, 56, 901596), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 33, 56, 901596), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 33, 56, 901596), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 33, 56, 901596), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 33, 56, 901596), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 33, 56, 901596), 9.0, 17.0]"
420,"[datetime.datetime(2022, 11, 28, 13, 33, 58, 22777), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 33, 58, 22777), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 33, 58, 22777), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 33, 58, 22777), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 33, 58, 22777), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 33, 58, 22777), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 33, 58, 22777), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 33, 58, 22777), 9.0, 17.0]"
421,"[datetime.datetime(2022, 11, 28, 13, 33, 59, 148042), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 33, 59, 148042), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 33, 59, 148042), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 33, 59, 148042), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 33, 59, 148042), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 33, 59, 148042), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 33, 59, 148042), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 33, 59, 148042), 9.0, 17.0]"
422,"[datetime.datetime(2022, 11, 28, 13, 34, 0, 269762), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 34, 0, 269762), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 34, 0, 269762), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 34, 0, 269762), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 34, 0, 269762), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 34, 0, 269762), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 34, 0, 269762), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 34, 0, 269762), 9.0, 17.0]"
423,"[datetime.datetime(2022, 11, 28, 13, 34, 1, 398369), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 34, 1, 398369), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 34, 1, 398369), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 34, 1, 398369), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 34, 1, 398369), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 34, 1, 398369), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 34, 1, 398369), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 34, 1, 398369), 9.0, 17.0]"
424,"[datetime.datetime(2022, 11, 28, 13, 34, 2, 521327), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 34, 2, 521327), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 34, 2, 521327), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 34, 2, 521327), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 34, 2, 521327), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 34, 2, 521327), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 34, 2, 521327), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 34, 2, 521327), 9.0, 17.0]"
425,"[datetime.datetime(2022, 11, 28, 13, 34, 3, 652531), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 34, 3, 652531), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 34, 3, 652531), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 34, 3, 652531), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 34, 3, 652531), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 34, 3, 652531), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 34, 3, 652531), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 34, 3, 652531), 9.0, 17.0]"
426,"[datetime.datetime(2022, 11, 28, 13, 34, 4, 783613), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 34, 4, 783613), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 34, 4, 783613), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 34, 4, 783613), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 34, 4, 783613), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 34, 4, 783613), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 34, 4, 783613), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 34, 4, 783613), 9.0, 17.0]"
