,Miss Scallywag,Rather,Spring Phoebe,Queen Of Scotch,Two Hands George,Cosmic Kid,Lot Of Poise
0,"[datetime.datetime(2022, 11, 28, 20, 1, 18, 908517), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 20, 1, 18, 908517), 21.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 1, 18, 908517), 2.5, 3.55]","[datetime.datetime(2022, 11, 28, 20, 1, 18, 908517), 3.1, 4.7]","[datetime.datetime(2022, 11, 28, 20, 1, 18, 908517), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 20, 1, 18, 908517), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 20, 1, 18, 908517), 21.0, 75.0]"
1,"[datetime.datetime(2022, 11, 28, 20, 1, 20, 33678), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 20, 1, 20, 33678), 21.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 1, 20, 33678), 2.5, 3.55]","[datetime.datetime(2022, 11, 28, 20, 1, 20, 33678), 3.1, 4.7]","[datetime.datetime(2022, 11, 28, 20, 1, 20, 33678), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 20, 1, 20, 33678), 51.0, 400.0]","[datetime.datetime(2022, 11, 28, 20, 1, 20, 33678), 21.0, 75.0]"
2,"[datetime.datetime(2022, 11, 28, 20, 1, 21, 152950), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 20, 1, 21, 152950), 21.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 1, 21, 152950), 2.5, 3.55]","[datetime.datetime(2022, 11, 28, 20, 1, 21, 152950), 3.1, 4.7]","[datetime.datetime(2022, 11, 28, 20, 1, 21, 152950), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 20, 1, 21, 152950), 51.0, 400.0]","[datetime.datetime(2022, 11, 28, 20, 1, 21, 152950), 21.0, 75.0]"
3,"[datetime.datetime(2022, 11, 28, 20, 1, 22, 275712), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 20, 1, 22, 275712), 21.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 1, 22, 275712), 2.5, 3.55]","[datetime.datetime(2022, 11, 28, 20, 1, 22, 275712), 3.1, 4.7]","[datetime.datetime(2022, 11, 28, 20, 1, 22, 275712), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 20, 1, 22, 275712), 51.0, 400.0]","[datetime.datetime(2022, 11, 28, 20, 1, 22, 275712), 21.0, 75.0]"
4,"[datetime.datetime(2022, 11, 28, 20, 1, 23, 392766), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 20, 1, 23, 393766), 21.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 1, 23, 393766), 2.5, 3.55]","[datetime.datetime(2022, 11, 28, 20, 1, 23, 393766), 3.1, 4.7]","[datetime.datetime(2022, 11, 28, 20, 1, 23, 393766), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 20, 1, 23, 393766), 51.0, 400.0]","[datetime.datetime(2022, 11, 28, 20, 1, 23, 393766), 21.0, 75.0]"
5,"[datetime.datetime(2022, 11, 28, 20, 1, 24, 515955), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 20, 1, 24, 515955), 21.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 1, 24, 515955), 2.5, 3.55]","[datetime.datetime(2022, 11, 28, 20, 1, 24, 515955), 3.1, 4.7]","[datetime.datetime(2022, 11, 28, 20, 1, 24, 515955), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 20, 1, 24, 515955), 51.0, 400.0]","[datetime.datetime(2022, 11, 28, 20, 1, 24, 515955), 21.0, 75.0]"
6,"[datetime.datetime(2022, 11, 28, 20, 1, 25, 651417), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 20, 1, 25, 651417), 21.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 1, 25, 651417), 2.5, 3.55]","[datetime.datetime(2022, 11, 28, 20, 1, 25, 651417), 3.1, 4.7]","[datetime.datetime(2022, 11, 28, 20, 1, 25, 651417), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 20, 1, 25, 651417), 51.0, 400.0]","[datetime.datetime(2022, 11, 28, 20, 1, 25, 651417), 21.0, 75.0]"
7,"[datetime.datetime(2022, 11, 28, 20, 1, 26, 786591), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 20, 1, 26, 786591), 21.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 1, 26, 786591), 2.5, 3.55]","[datetime.datetime(2022, 11, 28, 20, 1, 26, 786591), 3.1, 4.7]","[datetime.datetime(2022, 11, 28, 20, 1, 26, 787590), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 20, 1, 26, 787590), 51.0, 400.0]","[datetime.datetime(2022, 11, 28, 20, 1, 26, 787590), 21.0, 75.0]"
8,"[datetime.datetime(2022, 11, 28, 20, 1, 27, 909210), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 20, 1, 27, 909210), 21.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 1, 27, 909210), 2.5, 3.55]","[datetime.datetime(2022, 11, 28, 20, 1, 27, 909210), 3.1, 4.7]","[datetime.datetime(2022, 11, 28, 20, 1, 27, 909210), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 20, 1, 27, 909210), 51.0, 400.0]","[datetime.datetime(2022, 11, 28, 20, 1, 27, 909210), 21.0, 75.0]"
9,"[datetime.datetime(2022, 11, 28, 20, 1, 29, 22577), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 20, 1, 29, 22577), 21.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 1, 29, 22577), 2.5, 3.55]","[datetime.datetime(2022, 11, 28, 20, 1, 29, 22577), 3.1, 4.7]","[datetime.datetime(2022, 11, 28, 20, 1, 29, 22577), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 20, 1, 29, 22577), 51.0, 400.0]","[datetime.datetime(2022, 11, 28, 20, 1, 29, 22577), 21.0, 75.0]"
10,"[datetime.datetime(2022, 11, 28, 20, 1, 30, 207986), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 20, 1, 30, 207986), 21.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 1, 30, 207986), 2.5, 3.55]","[datetime.datetime(2022, 11, 28, 20, 1, 30, 207986), 3.1, 4.7]","[datetime.datetime(2022, 11, 28, 20, 1, 30, 207986), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 20, 1, 30, 207986), 51.0, 400.0]","[datetime.datetime(2022, 11, 28, 20, 1, 30, 207986), 21.0, 75.0]"
11,"[datetime.datetime(2022, 11, 28, 20, 1, 31, 322693), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 20, 1, 31, 322693), 21.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 1, 31, 322693), 2.5, 3.55]","[datetime.datetime(2022, 11, 28, 20, 1, 31, 322693), 3.1, 4.7]","[datetime.datetime(2022, 11, 28, 20, 1, 31, 322693), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 20, 1, 31, 322693), 51.0, 400.0]","[datetime.datetime(2022, 11, 28, 20, 1, 31, 322693), 21.0, 75.0]"
12,"[datetime.datetime(2022, 11, 28, 20, 1, 32, 459502), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 20, 1, 32, 459502), 21.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 1, 32, 459502), 2.5, 3.55]","[datetime.datetime(2022, 11, 28, 20, 1, 32, 459502), 3.1, 4.7]","[datetime.datetime(2022, 11, 28, 20, 1, 32, 459502), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 20, 1, 32, 459502), 51.0, 400.0]","[datetime.datetime(2022, 11, 28, 20, 1, 32, 459502), 21.0, 75.0]"
13,"[datetime.datetime(2022, 11, 28, 20, 1, 33, 574107), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 20, 1, 33, 574107), 21.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 1, 33, 574107), 2.5, 3.55]","[datetime.datetime(2022, 11, 28, 20, 1, 33, 574107), 3.1, 4.7]","[datetime.datetime(2022, 11, 28, 20, 1, 33, 574107), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 20, 1, 33, 574107), 51.0, 400.0]","[datetime.datetime(2022, 11, 28, 20, 1, 33, 574107), 21.0, 75.0]"
14,"[datetime.datetime(2022, 11, 28, 20, 1, 34, 697622), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 20, 1, 34, 697622), 21.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 1, 34, 697622), 2.5, 3.55]","[datetime.datetime(2022, 11, 28, 20, 1, 34, 697622), 3.1, 4.7]","[datetime.datetime(2022, 11, 28, 20, 1, 34, 697622), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 20, 1, 34, 697622), 51.0, 400.0]","[datetime.datetime(2022, 11, 28, 20, 1, 34, 697622), 21.0, 75.0]"
15,"[datetime.datetime(2022, 11, 28, 20, 1, 35, 821519), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 20, 1, 35, 821519), 21.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 1, 35, 821519), 2.5, 3.55]","[datetime.datetime(2022, 11, 28, 20, 1, 35, 821519), 3.1, 4.7]","[datetime.datetime(2022, 11, 28, 20, 1, 35, 821519), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 20, 1, 35, 821519), 51.0, 400.0]","[datetime.datetime(2022, 11, 28, 20, 1, 35, 821519), 21.0, 75.0]"
