,Luskin Hero,King Of The Desert,Buying Time,Lilli Lights Out,Single Memo
11-01-2023 14:29:13.554680,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.8, 1.7988235294117647)","(26.0, 85.0, 59.0)","(3.0, 3.95, 3.8249999999999997)"
11-01-2023 14:29:14.738160,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.8, 1.7988235294117647)","(26.0, 85.0, 59.0)","(3.0, 3.95, 3.8249999999999997)"
11-01-2023 14:29:15.859160,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.8, 1.7988235294117647)","(26.0, 85.0, 59.0)","(3.0, 3.95, 3.8249999999999997)"
11-01-2023 14:29:16.986854,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.8, 1.7988235294117647)","(26.0, 85.0, 59.0)","(3.0, 3.95, 3.8249999999999997)"
11-01-2023 14:29:18.081793,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.8, 1.7988235294117647)","(26.0, 85.0, 59.0)","(3.0, 3.95, 3.8249999999999997)"
11-01-2023 14:29:19.208596,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.8, 1.77125)","(26.0, 85.0, 59.0)","(3.0, 3.95, 3.85625)"
11-01-2023 14:29:20.357458,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.79, 1.77125)","(26.0, 85.0, 59.0)","(3.0, 3.95, 3.8794117647058823)"
11-01-2023 14:29:21.454586,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.79, 1.7685714285714287)","(26.0, 85.0, 59.0)","(3.0, 3.95, 3.892857142857143)"
11-01-2023 14:29:22.524885,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.79, 1.7685714285714287)","(26.0, 85.0, 59.0)","(3.0, 3.95, 3.892857142857143)"
11-01-2023 14:29:23.611641,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.79, 1.7685714285714287)","(26.0, 85.0, 53.666666666666664)","(3.0, 3.95, 3.9625)"
11-01-2023 14:29:24.517908,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.79, 1.7685714285714287)","(26.0, 85.0, 53.666666666666664)","(3.0, 4.0, 3.9625)"
11-01-2023 14:29:25.482317,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.79, 1.7685714285714287)","(26.0, 85.0, 53.666666666666664)","(3.0, 4.0, 3.9625)"
11-01-2023 14:29:26.466593,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.79, 1.7685714285714287)","(26.0, 85.0, 53.666666666666664)","(3.0, 4.0, 3.9625)"
11-01-2023 14:29:27.463633,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.79, 1.7685714285714287)","(26.0, 85.0, 53.666666666666664)","(3.0, 4.0, 3.9625)"
11-01-2023 14:29:28.517689,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.8, 1.788)","(26.0, 85.0, 53.666666666666664)","(3.0, 4.0, 3.9625)"
11-01-2023 14:29:29.531332,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.8, 1.788)","(26.0, 85.0, 53.666666666666664)","(3.0, 4.0, 3.9625)"
11-01-2023 14:29:30.499942,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.8, 1.788)","(26.0, 85.0, 53.666666666666664)","(3.0, 4.0, 3.9625)"
11-01-2023 14:29:31.526088,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.8, 1.788)","(26.0, 85.0, 53.666666666666664)","(3.0, 4.0, 3.9625)"
11-01-2023 14:29:32.560587,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.8, 1.788)","(26.0, 85.0, 53.666666666666664)","(3.0, 4.0, 3.9625)"
11-01-2023 14:29:33.558894,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.8, 1.788)","(26.0, 85.0, 75.6)","(3.0, 4.0, 3.9625)"
11-01-2023 14:29:34.495505,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.8, 1.788)","(26.0, 85.0, 75.6)","(3.0, 4.0, 3.9625)"
11-01-2023 14:29:35.435750,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.81, 1.7720689655172415)","(26.0, 85.0, 75.6)","(3.1, 4.0, 3.9625)"
11-01-2023 14:29:36.408266,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.81, 1.7720689655172415)","(26.0, 85.0, 75.6)","(3.1, 4.0, 3.9625)"
11-01-2023 14:29:37.405853,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.81, 1.7720689655172415)","(26.0, 85.0, 75.6)","(3.1, 4.0, 3.9625)"
11-01-2023 14:29:38.356209,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.81, 1.7720689655172415)","(26.0, 85.0, 75.6)","(3.1, 4.0, 3.9625)"
11-01-2023 14:29:39.378806,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.81, 1.7720689655172415)","(26.0, 85.0, 75.6)","(3.1, 4.0, 3.9625)"
11-01-2023 14:29:40.417317,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.81, 1.7796551724137932)","(26.0, 85.0, 75.6)","(3.1, 4.0, 3.9625)"
11-01-2023 14:29:41.463171,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.81, 1.7714285714285714)","(26.0, 85.0, 76.45454545454545)","(3.1, 4.0, 3.97)"
11-01-2023 14:29:42.517614,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.78, 1.762857142857143)","(26.0, 85.0, 76.45454545454545)","(3.1, 4.0, 3.97)"
11-01-2023 14:29:43.490059,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.78, 1.7725)","(26.0, 85.0, 76.45454545454545)","(3.1, 4.0, 3.97)"
