,Secretly Slick,Bugs,Real Talent,Zambora Jade,Joyous Moment,Royal Ability,Amlin Princess,Ozark Bale
0,"[datetime.datetime(2022, 11, 28, 15, 52, 42, 671592), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 15, 52, 42, 671592), 3.3, 6.2]","[datetime.datetime(2022, 11, 28, 15, 52, 42, 671592), 9.0, 24.0]","[datetime.datetime(2022, 11, 28, 15, 52, 42, 671592), 91.0, 650.0]","[datetime.datetime(2022, 11, 28, 15, 52, 42, 671592), 8.0, 14.5]","[datetime.datetime(2022, 11, 28, 15, 52, 42, 671592), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 52, 42, 671592), 3.0, 4.6]","[datetime.datetime(2022, 11, 28, 15, 52, 42, 671592), 4.4, 7.0]"
1,"[datetime.datetime(2022, 11, 28, 15, 52, 43, 811100), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 15, 52, 43, 811100), 3.3, 6.2]","[datetime.datetime(2022, 11, 28, 15, 52, 43, 811100), 9.0, 24.0]","[datetime.datetime(2022, 11, 28, 15, 52, 43, 811100), 91.0, 650.0]","[datetime.datetime(2022, 11, 28, 15, 52, 43, 811100), 8.0, 14.5]","[datetime.datetime(2022, 11, 28, 15, 52, 43, 811100), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 52, 43, 811100), 3.0, 4.6]","[datetime.datetime(2022, 11, 28, 15, 52, 43, 811100), 4.4, 7.0]"
2,"[datetime.datetime(2022, 11, 28, 15, 52, 44, 955448), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 15, 52, 44, 955448), 3.3, 6.2]","[datetime.datetime(2022, 11, 28, 15, 52, 44, 955448), 9.0, 24.0]","[datetime.datetime(2022, 11, 28, 15, 52, 44, 955448), 91.0, 650.0]","[datetime.datetime(2022, 11, 28, 15, 52, 44, 955448), 8.0, 14.5]","[datetime.datetime(2022, 11, 28, 15, 52, 44, 955448), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 52, 44, 955448), 3.0, 4.6]","[datetime.datetime(2022, 11, 28, 15, 52, 44, 955448), 4.4, 7.0]"
3,"[datetime.datetime(2022, 11, 28, 15, 52, 46, 81051), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 15, 52, 46, 81051), 3.3, 6.2]","[datetime.datetime(2022, 11, 28, 15, 52, 46, 81051), 9.0, 24.0]","[datetime.datetime(2022, 11, 28, 15, 52, 46, 81051), 91.0, 650.0]","[datetime.datetime(2022, 11, 28, 15, 52, 46, 81051), 8.0, 14.5]","[datetime.datetime(2022, 11, 28, 15, 52, 46, 81051), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 52, 46, 81051), 3.0, 4.6]","[datetime.datetime(2022, 11, 28, 15, 52, 46, 81051), 4.4, 7.0]"
4,"[datetime.datetime(2022, 11, 28, 15, 52, 47, 233938), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 15, 52, 47, 233938), 3.3, 6.2]","[datetime.datetime(2022, 11, 28, 15, 52, 47, 233938), 9.0, 24.0]","[datetime.datetime(2022, 11, 28, 15, 52, 47, 233938), 91.0, 650.0]","[datetime.datetime(2022, 11, 28, 15, 52, 47, 233938), 8.0, 14.5]","[datetime.datetime(2022, 11, 28, 15, 52, 47, 233938), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 52, 47, 233938), 3.0, 4.6]","[datetime.datetime(2022, 11, 28, 15, 52, 47, 233938), 4.4, 7.0]"
5,"[datetime.datetime(2022, 11, 28, 15, 52, 48, 363946), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 15, 52, 48, 363946), 3.3, 6.2]","[datetime.datetime(2022, 11, 28, 15, 52, 48, 363946), 9.0, 24.0]","[datetime.datetime(2022, 11, 28, 15, 52, 48, 363946), 91.0, 650.0]","[datetime.datetime(2022, 11, 28, 15, 52, 48, 363946), 8.0, 14.5]","[datetime.datetime(2022, 11, 28, 15, 52, 48, 363946), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 52, 48, 363946), 3.0, 4.6]","[datetime.datetime(2022, 11, 28, 15, 52, 48, 363946), 4.4, 7.0]"
6,"[datetime.datetime(2022, 11, 28, 15, 52, 49, 548001), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 15, 52, 49, 548001), 3.3, 6.2]","[datetime.datetime(2022, 11, 28, 15, 52, 49, 548001), 9.0, 24.0]","[datetime.datetime(2022, 11, 28, 15, 52, 49, 548001), 91.0, 650.0]","[datetime.datetime(2022, 11, 28, 15, 52, 49, 548001), 8.0, 14.5]","[datetime.datetime(2022, 11, 28, 15, 52, 49, 548001), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 52, 49, 548001), 3.0, 4.6]","[datetime.datetime(2022, 11, 28, 15, 52, 49, 548001), 4.4, 7.0]"
7,"[datetime.datetime(2022, 11, 28, 15, 52, 50, 705062), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 15, 52, 50, 705062), 3.3, 6.2]","[datetime.datetime(2022, 11, 28, 15, 52, 50, 705062), 9.0, 24.0]","[datetime.datetime(2022, 11, 28, 15, 52, 50, 705062), 91.0, 650.0]","[datetime.datetime(2022, 11, 28, 15, 52, 50, 705062), 8.0, 14.5]","[datetime.datetime(2022, 11, 28, 15, 52, 50, 705062), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 52, 50, 705062), 3.0, 4.6]","[datetime.datetime(2022, 11, 28, 15, 52, 50, 705062), 4.4, 7.0]"
8,"[datetime.datetime(2022, 11, 28, 15, 52, 51, 849947), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 15, 52, 51, 849947), 3.3, 6.2]","[datetime.datetime(2022, 11, 28, 15, 52, 51, 849947), 9.0, 24.0]","[datetime.datetime(2022, 11, 28, 15, 52, 51, 849947), 91.0, 650.0]","[datetime.datetime(2022, 11, 28, 15, 52, 51, 849947), 8.0, 14.5]","[datetime.datetime(2022, 11, 28, 15, 52, 51, 849947), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 52, 51, 849947), 3.0, 4.6]","[datetime.datetime(2022, 11, 28, 15, 52, 51, 849947), 4.4, 7.0]"
9,"[datetime.datetime(2022, 11, 28, 15, 52, 52, 984690), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 15, 52, 52, 984690), 3.3, 6.2]","[datetime.datetime(2022, 11, 28, 15, 52, 52, 984690), 9.0, 24.0]","[datetime.datetime(2022, 11, 28, 15, 52, 52, 984690), 91.0, 650.0]","[datetime.datetime(2022, 11, 28, 15, 52, 52, 984690), 8.0, 14.5]","[datetime.datetime(2022, 11, 28, 15, 52, 52, 984690), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 52, 52, 984690), 3.0, 4.6]","[datetime.datetime(2022, 11, 28, 15, 52, 52, 984690), 4.4, 7.0]"
