,Collays Spirit,My Snow Queen,Paperclip,Bandit,Chilliwack,Gulf Of Saros,He Knows,Tranquil Bay,Neds Gully,Sacca,Michigan,Cracking Thunder
08-01-2023 15:47:06.570914,"(12.0, 16.5, 16.227272727272727)","(15.0, 24.0, 22.333333333333332)","(10.0, 12.0, 11.525423728813559)","(91.0, 200.0, 152.85714285714286)","(11.0, 17.0, 15.333333333333334)","(12.0, 17.5, 17.25)","(31.0, 75.0, 66.25)","(4.6, 4.9, 4.72)","(4.6, 6.4, 6.377777777777778)","(4.4, 6.2, 5.933333333333334)","(7.5, 9.2, 9.005405405405405)","(41.0, 160.0, 122.66666666666667)"
08-01-2023 15:47:08.024016,"(12.0, 16.5, 16.227272727272727)","(15.0, 24.0, 22.333333333333332)","(10.0, 12.0, 11.525423728813559)","(91.0, 200.0, 152.85714285714286)","(11.0, 17.0, 15.333333333333334)","(12.0, 17.5, 17.25)","(31.0, 75.0, 66.25)","(4.6, 4.8, 4.72)","(4.6, 6.4, 6.377777777777778)","(4.4, 6.2, 5.933333333333334)","(7.5, 9.2, 8.863157894736842)","(41.0, 160.0, 144.0)"
08-01-2023 15:47:09.548970,"(12.0, 16.5, 16.227272727272727)","(15.0, 24.0, 21.0)","(10.0, 12.0, 11.525423728813559)","(91.0, 200.0, 152.85714285714286)","(11.0, 17.0, 15.333333333333334)","(12.0, 17.5, 17.25)","(31.0, 75.0, 66.25)","(4.6, 4.8, 4.72)","(4.6, 6.4, 6.377777777777778)","(4.4, 6.2, 5.933333333333334)","(7.5, 9.2, 8.863157894736842)","(41.0, 160.0, 124.5)"
08-01-2023 15:47:10.957628,"(12.0, 16.5, 16.227272727272727)","(15.0, 23.0, 21.0)","(10.0, 12.0, 11.525423728813559)","(91.0, 200.0, 152.85714285714286)","(11.0, 17.0, 15.333333333333334)","(12.0, 17.5, 17.25)","(31.0, 75.0, 66.25)","(4.6, 4.8, 4.72)","(4.6, 6.4, 6.377777777777778)","(4.4, 6.2, 5.933333333333334)","(7.5, 9.2, 8.863157894736842)","(41.0, 150.0, 117.0)"
08-01-2023 15:47:12.450374,"(12.0, 16.5, 16.227272727272727)","(15.0, 23.0, 21.0)","(10.0, 12.0, 11.525423728813559)","(91.0, 200.0, 152.85714285714286)","(11.0, 17.0, 15.333333333333334)","(12.0, 17.5, 17.25)","(31.0, 75.0, 66.25)","(4.6, 4.8, 4.72)","(4.6, 6.4, 6.377777777777778)","(4.4, 6.2, 5.933333333333334)","(7.5, 9.2, 8.863157894736842)","(41.0, 140.0, 117.0)"
08-01-2023 15:47:13.913622,"(12.0, 16.5, 16.227272727272727)","(15.0, 23.0, 21.0)","(10.0, 12.0, 11.525423728813559)","(91.0, 200.0, 152.85714285714286)","(11.0, 17.0, 15.75)","(12.0, 17.5, 17.25)","(31.0, 75.0, 66.25)","(4.6, 4.8, 4.72)","(4.6, 6.4, 6.377777777777778)","(4.4, 6.2, 5.933333333333334)","(7.5, 9.2, 8.863157894736842)","(41.0, 140.0, 117.0)"
08-01-2023 15:47:15.356306,"(12.0, 16.5, 16.227272727272727)","(15.0, 23.0, 21.25)","(10.0, 12.0, 11.525423728813559)","(91.0, 200.0, 152.85714285714286)","(11.0, 17.0, 15.75)","(12.0, 17.5, 17.333333333333332)","(31.0, 75.0, 66.25)","(4.6, 4.8, 4.72)","(4.6, 6.4, 6.377777777777778)","(4.4, 6.2, 5.933333333333334)","(7.5, 9.2, 8.863157894736842)","(41.0, 140.0, 117.0)"
08-01-2023 15:47:16.809015,"(12.0, 16.5, 16.227272727272727)","(15.0, 23.0, 21.25)","(10.0, 12.0, 11.525423728813559)","(91.0, 200.0, 163.33333333333331)","(11.0, 17.0, 15.75)","(12.0, 18.0, 17.333333333333332)","(31.0, 75.0, 65.57142857142857)","(4.6, 4.8, 4.72)","(4.6, 6.4, 6.345454545454546)","(4.4, 6.2, 5.981818181818182)","(7.5, 9.2, 8.863157894736842)","(41.0, 140.0, 123.27272727272727)"
08-01-2023 15:47:18.272278,"(12.0, 16.5, 16.227272727272727)","(15.0, 23.0, 20.666666666666668)","(10.0, 12.0, 11.525423728813559)","(91.0, 200.0, 163.33333333333331)","(11.0, 17.0, 15.75)","(12.0, 18.0, 17.333333333333332)","(31.0, 75.0, 65.57142857142857)","(4.6, 4.8, 4.72)","(4.6, 6.4, 6.345454545454546)","(4.4, 6.2, 5.981818181818182)","(7.5, 9.2, 8.863157894736842)","(41.0, 140.0, 123.27272727272727)"
08-01-2023 15:47:19.786244,"(12.0, 16.5, 16.227272727272727)","(15.0, 23.0, 20.666666666666668)","(10.0, 12.0, 11.525423728813559)","(91.0, 200.0, 163.33333333333331)","(11.0, 17.0, 15.75)","(12.0, 18.0, 17.333333333333332)","(31.0, 75.0, 69.0)","(4.6, 4.8, 4.72)","(4.6, 6.4, 6.345454545454546)","(4.4, 6.2, 5.981818181818182)","(7.5, 9.2, 8.863157894736842)","(41.0, 140.0, 123.27272727272727)"
08-01-2023 15:47:21.279362,"(12.0, 16.5, 16.227272727272727)","(15.0, 23.0, 20.666666666666668)","(10.0, 12.0, 11.525423728813559)","(91.0, 200.0, 163.33333333333331)","(11.0, 17.0, 15.75)","(12.0, 18.0, 17.333333333333332)","(31.0, 75.0, 69.0)","(4.6, 4.8, 4.72)","(4.6, 6.4, 6.345454545454546)","(4.4, 6.2, 5.981818181818182)","(7.5, 9.2, 8.863157894736842)","(41.0, 140.0, 123.27272727272727)"
08-01-2023 15:47:22.705253,"(12.0, 16.5, 16.227272727272727)","(15.0, 23.0, 20.666666666666668)","(10.0, 12.0, 11.525423728813559)","(91.0, 200.0, 163.33333333333331)","(11.0, 17.0, 15.5)","(12.0, 18.0, 17.333333333333332)","(31.0, 75.0, 69.0)","(4.6, 4.8, 4.72)","(4.6, 6.4, 6.345454545454546)","(4.4, 6.2, 5.981818181818182)","(7.5, 9.2, 8.863157894736842)","(41.0, 140.0, 123.27272727272727)"
08-01-2023 15:47:24.195605,"(12.0, 16.5, 16.227272727272727)","(15.0, 23.0, 20.666666666666668)","(10.0, 12.0, 11.525423728813559)","(91.0, 200.0, 163.33333333333331)","(11.0, 18.0, 15.8125)","(12.0, 18.0, 17.333333333333332)","(31.0, 75.0, 69.0)","(4.6, 4.8, 4.729411764705882)","(4.6, 6.4, 6.347826086956522)","(4.4, 6.2, 6.0)","(7.5, 9.2, 8.88)","(41.0, 140.0, 123.27272727272727)"
08-01-2023 15:47:25.974481,"(12.0, 16.5, 16.227272727272727)","(15.0, 23.0, 20.666666666666668)","(10.0, 12.0, 11.525423728813559)","(91.0, 200.0, 163.33333333333331)","(11.0, 18.0, 15.8125)","(12.0, 18.0, 17.333333333333332)","(31.0, 75.0, 69.0)","(4.6, 4.8, 4.729411764705882)","(4.6, 6.4, 6.347826086956522)","(4.4, 6.2, 6.0)","(7.5, 9.2, 8.88)","(41.0, 140.0, 123.27272727272727)"
08-01-2023 15:47:27.862645,"(12.0, 16.5, 16.227272727272727)","(15.0, 23.0, 20.666666666666668)","(10.0, 12.0, 11.525423728813559)","(91.0, 200.0, 163.33333333333331)","(11.0, 18.0, 15.8125)","(12.0, 18.0, 17.333333333333332)","(31.0, 75.0, 69.0)","(4.6, 4.8, 4.729411764705882)","(4.6, 6.4, 6.347826086956522)","(4.4, 6.2, 6.0)","(7.5, 9.2, 8.88)","(41.0, 140.0, 123.27272727272727)"
08-01-2023 15:47:29.530894,"(12.0, 16.5, 16.227272727272727)","(15.0, 23.0, 20.666666666666668)","(10.0, 12.0, 11.525423728813559)","(91.0, 200.0, 163.33333333333331)","(11.0, 18.0, 15.8125)","(12.0, 18.0, 17.25)","(31.0, 75.0, 59.5)","(4.6, 4.8, 4.729411764705882)","(4.6, 6.4, 6.347826086956522)","(4.4, 6.2, 6.0)","(7.5, 9.2, 8.88)","(41.0, 140.0, 123.27272727272727)"
