,Capital Reign,Miss Fox,Not Another Reiby,Goofy Mick,Zains Girl,Command Approved,Suprina,Esteemed Lady,Vegas Raider,Boomsong
11-01-2023 15:55:46.245728,"(7.0, 8.4, 8.391666666666667)","(12.0, 16.0, 14.666666666666666)","(10.0, 20.0, 17.375)","(8.0, 10.5, 11.25)","(7.0, 8.8, 8.37142857142857)","(3.5, 4.1, 3.8725)","(9.0, 11.0, 9.956962025316455)","(31.0, 65.0, 48.5)","(9.0, 17.0, 16.217391304347828)","(8.5, 9.8, 9.541935483870969)"
11-01-2023 15:55:47.670964,"(7.0, 8.4, 8.391666666666667)","(12.0, 15.5, 14.666666666666666)","(10.0, 20.0, 17.375)","(8.0, 12.5, 11.25)","(7.0, 9.0, 8.37142857142857)","(3.5, 4.1, 3.8424242424242423)","(9.0, 11.0, 9.817224880382776)","(31.0, 65.0, 48.5)","(9.0, 17.0, 14.9375)","(8.5, 9.8, 9.4)"
11-01-2023 15:55:49.063581,"(7.0, 8.4, 8.391666666666667)","(12.0, 15.5, 14.666666666666666)","(10.0, 20.0, 17.375)","(8.0, 12.5, 11.25)","(7.0, 9.0, 8.37142857142857)","(3.5, 4.0, 3.8424242424242423)","(9.0, 11.0, 9.817224880382776)","(31.0, 65.0, 48.5)","(9.0, 17.0, 14.9375)","(8.5, 9.8, 9.608)"
11-01-2023 15:55:50.489644,"(7.0, 8.4, 8.391666666666667)","(12.0, 15.0, 14.333333333333334)","(10.0, 20.0, 17.375)","(8.0, 12.5, 10.572815533980583)","(7.0, 9.0, 8.37142857142857)","(3.5, 4.0, 3.8424242424242423)","(9.0, 11.0, 9.817224880382776)","(31.0, 65.0, 48.5)","(9.0, 17.0, 14.9375)","(8.5, 9.8, 9.663636363636364)"
11-01-2023 15:55:51.816389,"(7.0, 8.4, 8.354716981132075)","(12.0, 15.0, 14.333333333333334)","(10.0, 20.0, 17.375)","(8.0, 13.0, 10.572815533980583)","(7.0, 9.0, 8.37142857142857)","(3.5, 4.0, 3.881818181818182)","(9.0, 11.0, 9.817224880382776)","(31.0, 65.0, 41.333333333333336)","(9.0, 17.0, 14.9375)","(8.5, 9.8, 10.59090909090909)"
11-01-2023 15:55:53.239610,"(7.0, 8.4, 8.354716981132075)","(12.0, 15.0, 14.333333333333334)","(10.0, 20.0, 17.375)","(8.0, 13.0, 11.7)","(7.0, 9.0, 8.37142857142857)","(3.5, 4.0, 3.881818181818182)","(9.0, 11.0, 9.817224880382776)","(31.0, 60.0, 41.0)","(9.0, 17.0, 14.9375)","(8.5, 11.0, 10.59090909090909)"
11-01-2023 15:55:54.823380,"(7.0, 8.4, 8.354716981132075)","(12.0, 15.0, 14.333333333333334)","(10.0, 20.0, 17.375)","(8.0, 12.5, 11.75)","(7.0, 9.0, 8.37142857142857)","(3.5, 4.0, 3.881818181818182)","(9.0, 11.0, 10.130801687763713)","(31.0, 50.0, 41.0)","(9.0, 17.0, 14.9375)","(8.5, 11.0, 9.857142857142858)"
11-01-2023 15:55:56.173162,"(7.0, 8.4, 8.354716981132075)","(12.0, 15.0, 14.333333333333334)","(10.0, 20.0, 17.375)","(8.0, 12.5, 12.166666666666666)","(7.0, 9.0, 8.37142857142857)","(3.5, 4.0, 4.0025)","(9.0, 11.0, 9.817224880382776)","(31.0, 50.0, 41.0)","(9.0, 17.0, 15.428571428571429)","(8.5, 11.0, 10.11111111111111)"
11-01-2023 15:55:57.457028,"(7.0, 8.4, 8.354716981132075)","(12.0, 15.0, 14.333333333333334)","(10.0, 20.0, 17.375)","(8.0, 12.5, 12.166666666666666)","(7.0, 9.0, 8.37142857142857)","(3.5, 4.1, 4.0025)","(9.0, 11.0, 9.817224880382776)","(31.0, 50.0, 41.0)","(9.0, 17.0, 15.428571428571429)","(8.5, 11.0, 10.11111111111111)"
11-01-2023 15:55:58.980574,"(7.0, 8.4, 8.354716981132075)","(12.0, 15.0, 14.333333333333334)","(10.0, 20.0, 17.375)","(8.0, 12.5, 12.166666666666666)","(7.0, 9.0, 8.37142857142857)","(3.5, 4.1, 3.972826086956522)","(9.0, 11.0, 9.817224880382776)","(31.0, 50.0, 41.0)","(9.0, 17.0, 15.428571428571429)","(8.5, 11.0, 10.11111111111111)"
11-01-2023 15:56:00.533606,"(7.0, 8.4, 8.354716981132075)","(12.0, 15.0, 14.333333333333334)","(10.0, 20.0, 17.375)","(8.0, 12.5, 12.166666666666666)","(7.0, 9.0, 8.37142857142857)","(3.5, 4.1, 3.870588235294117)","(9.0, 11.0, 9.817224880382776)","(31.0, 50.0, 41.0)","(9.0, 17.0, 13.0)","(8.5, 11.0, 10.11111111111111)"
11-01-2023 15:56:01.953253,"(7.0, 8.4, 8.354716981132075)","(12.0, 15.0, 14.333333333333334)","(10.0, 20.0, 17.375)","(8.0, 12.5, 12.166666666666666)","(7.0, 9.0, 8.37142857142857)","(3.5, 4.1, 4.0024999999999995)","(9.0, 11.0, 9.817224880382776)","(31.0, 50.0, 41.0)","(9.0, 17.0, 13.0)","(8.5, 11.0, 10.11111111111111)"
11-01-2023 15:56:03.355843,"(7.0, 8.4, 8.354716981132075)","(12.0, 15.0, 14.333333333333334)","(10.0, 20.0, 17.375)","(8.0, 12.5, 12.166666666666666)","(7.0, 9.0, 8.37142857142857)","(3.5, 4.1, 4.0024999999999995)","(9.0, 11.0, 9.817224880382776)","(31.0, 50.0, 41.0)","(9.0, 17.0, 13.0)","(8.5, 11.0, 10.11111111111111)"
11-01-2023 15:56:04.760985,"(7.0, 8.4, 8.354716981132075)","(12.0, 15.0, 14.333333333333334)","(10.0, 20.0, 17.375)","(8.0, 12.5, 11.21875)","(7.0, 9.0, 8.37142857142857)","(3.5, 4.1, 4.0024999999999995)","(9.0, 11.0, 9.817224880382776)","(31.0, 50.0, 41.0)","(9.0, 17.0, 13.0)","(8.5, 11.0, 10.466666666666667)"
11-01-2023 15:56:06.087214,"(7.0, 8.4, 8.354716981132075)","(12.0, 15.0, 14.333333333333334)","(10.0, 20.0, 17.375)","(8.0, 12.0, 11.21875)","(7.0, 9.0, 8.37142857142857)","(3.5, 4.1, 4.0024999999999995)","(9.0, 11.0, 9.817224880382776)","(31.0, 50.0, 41.0)","(9.0, 17.0, 13.0)","(8.5, 11.0, 10.466666666666667)"
