,Jemeldi,Billionair Baby,Hard To Say,Roll Up,Busting,Cripps Tonite,Corfe Castle,Junqueira,Shaquila,Wowits Willywonka,Alert State,Mishani Persuasion
07-01-2023 14:53:57.311872,"(31.0, 55.0, 49.166666666666664)","(18.0, 29.0, 27.708333333333332)","(9.0, 11.0, 10.730088495575222)","(21.0, 36.0, 34.73684210526316)","(3.8, 4.4, 4.333471074380165)","(14.0, 19.0, 18.69047619047619)","(8.0, 9.2, 9.112195121951219)","(2.35, 2.8, 2.7868380462724933)","(17.0, 22.0, 21.46268656716418)","(61.0, 80.0, 75.16129032258064)","(51.0, 90.0, 80.625)","(91.0, 220.0, 215.0)"
07-01-2023 14:53:58.861548,"(31.0, 55.0, 49.166666666666664)","(18.0, 29.0, 27.708333333333332)","(9.0, 11.0, 10.730088495575222)","(21.0, 36.0, 34.73684210526316)","(3.8, 4.4, 4.34375)","(14.0, 19.0, 18.49375)","(8.0, 9.2, 9.112195121951219)","(2.35, 2.8, 2.786157407407407)","(17.0, 22.0, 21.46268656716418)","(61.0, 80.0, 75.16129032258064)","(51.0, 90.0, 80.625)","(91.0, 220.0, 215.0)"
07-01-2023 14:54:00.564890,"(31.0, 55.0, 49.166666666666664)","(18.0, 29.0, 27.708333333333332)","(9.0, 11.0, 10.730088495575222)","(21.0, 36.0, 34.73684210526316)","(3.8, 4.4, 4.34375)","(14.0, 18.5, 17.916666666666668)","(8.0, 9.2, 9.112195121951219)","(2.35, 2.8, 2.793168316831683)","(17.0, 22.0, 21.46268656716418)","(61.0, 80.0, 75.16129032258064)","(51.0, 90.0, 80.625)","(91.0, 220.0, 215.0)"
07-01-2023 14:54:02.290343,"(31.0, 55.0, 49.166666666666664)","(18.0, 29.0, 27.708333333333332)","(9.0, 11.0, 10.730088495575222)","(21.0, 36.0, 34.73684210526316)","(3.8, 4.4, 4.34375)","(14.0, 18.0, 17.75)","(8.0, 9.2, 9.172881355932203)","(2.35, 2.8, 2.797041420118343)","(17.0, 22.0, 21.46268656716418)","(61.0, 80.0, 75.16129032258064)","(51.0, 90.0, 80.625)","(91.0, 220.0, 215.0)"
07-01-2023 14:54:03.878573,"(31.0, 55.0, 49.166666666666664)","(18.0, 29.0, 27.708333333333332)","(9.0, 11.0, 10.730088495575222)","(21.0, 36.0, 34.73684210526316)","(3.8, 4.4, 4.344565217391304)","(14.0, 18.0, 17.483333333333334)","(8.0, 9.2, 9.192452830188678)","(2.35, 2.8, 2.79858064516129)","(17.0, 22.0, 21.46268656716418)","(61.0, 80.0, 75.16129032258064)","(51.0, 90.0, 86.25)","(91.0, 220.0, 215.0)"
07-01-2023 14:54:05.413120,"(31.0, 55.0, 49.166666666666664)","(18.0, 29.0, 27.73469387755102)","(9.0, 11.0, 10.737068965517242)","(21.0, 36.0, 34.76923076923077)","(3.8, 4.4, 4.345161290322581)","(14.0, 17.5, 16.772727272727273)","(8.0, 9.2, 9.273684210526316)","(2.35, 2.8, 2.80794952681388)","(17.0, 22.0, 21.466666666666665)","(61.0, 80.0, 75.16129032258064)","(51.0, 90.0, 86.25)","(91.0, 220.0, 215.0)"
07-01-2023 14:54:06.958919,"(31.0, 55.0, 49.166666666666664)","(18.0, 29.0, 27.73469387755102)","(9.0, 11.0, 10.737068965517242)","(21.0, 36.0, 34.76923076923077)","(3.8, 4.4, 4.345161290322581)","(14.0, 17.0, 16.75)","(8.0, 9.4, 9.175862068965516)","(2.35, 2.84, 2.8129999999999997)","(17.0, 22.0, 21.466666666666665)","(61.0, 80.0, 75.16129032258064)","(51.0, 90.0, 86.25)","(91.0, 220.0, 215.0)"
07-01-2023 14:54:08.512411,"(31.0, 55.0, 49.166666666666664)","(18.0, 29.0, 27.73469387755102)","(9.0, 11.0, 10.737068965517242)","(21.0, 36.0, 34.76923076923077)","(3.8, 4.4, 4.345161290322581)","(14.0, 17.0, 16.75)","(8.0, 9.2, 9.186274509803921)","(2.35, 2.84, 2.8129999999999997)","(17.0, 22.0, 21.466666666666665)","(61.0, 80.0, 75.16129032258064)","(51.0, 90.0, 86.25)","(91.0, 220.0, 215.0)"
07-01-2023 14:54:10.028036,"(31.0, 55.0, 49.166666666666664)","(18.0, 29.0, 27.73469387755102)","(9.0, 11.0, 10.752032520325203)","(21.0, 36.0, 34.76923076923077)","(3.8, 4.4, 4.345161290322581)","(14.0, 17.0, 16.6875)","(8.0, 9.2, 9.186274509803921)","(2.35, 2.84, 2.8223673469387753)","(17.0, 22.0, 21.466666666666665)","(61.0, 80.0, 75.16129032258064)","(51.0, 90.0, 86.25)","(91.0, 220.0, 215.0)"
07-01-2023 14:54:11.565876,"(31.0, 55.0, 49.166666666666664)","(18.0, 29.0, 27.73469387755102)","(9.0, 11.0, 10.752032520325203)","(21.0, 36.0, 34.76923076923077)","(3.8, 4.4, 4.345161290322581)","(14.0, 17.0, 16.677419354838708)","(8.0, 9.2, 9.186915887850466)","(2.35, 2.84, 2.8223673469387753)","(17.0, 22.0, 21.466666666666665)","(61.0, 80.0, 75.16129032258064)","(51.0, 90.0, 86.25)","(91.0, 220.0, 215.0)"
