,Luvtoo,Flying Banyula,R N R Beach Nz,Call Me Dragon,Shez Bettors Babe,Imperious,Esther Rising,Desmond,Shooin
06-01-2023 15:18:02.890756,"(4.4, 99999, 99990)","(2.8, 4.2, 4.055555555555555)","(1.95, 99999, 99990)","(15.0, 30.0, 18.642857142857142)","(81.0, 200.0, 176.0)","(17.0, 44.0, 25.0)","(51.0, 95.0, 85.6)","(41.0, 180.0, 91.25)","(41.0, 120.0, 81.77777777777777)"
06-01-2023 15:18:04.240132,"(4.4, 99999, 99990)","(2.8, 4.2, 4.055555555555555)","(1.95, 99999, 99990)","(15.0, 34.0, 19.0)","(81.0, 200.0, 176.0)","(17.0, 44.0, 23.642857142857142)","(51.0, 95.0, 85.6)","(41.0, 180.0, 91.25)","(41.0, 120.0, 81.77777777777777)"
06-01-2023 15:18:05.532582,"(4.4, 99999, 99990)","(2.8, 4.2, 4.055555555555555)","(1.95, 99999, 99990)","(15.0, 32.0, 19.0)","(81.0, 200.0, 176.0)","(17.0, 44.0, 23.642857142857142)","(51.0, 95.0, 85.6)","(41.0, 180.0, 91.25)","(41.0, 120.0, 81.77777777777777)"
06-01-2023 15:18:06.861549,"(4.4, 99999, 99990)","(2.8, 4.2, 4.055555555555555)","(1.95, 99999, 99990)","(15.0, 32.0, 19.0)","(81.0, 200.0, 176.0)","(17.0, 44.0, 23.642857142857142)","(51.0, 95.0, 85.6)","(41.0, 180.0, 91.25)","(41.0, 120.0, 81.77777777777777)"
06-01-2023 15:18:08.314648,"(4.4, 99999, 99990)","(2.8, 4.2, 4.055555555555555)","(1.95, 99999, 99990)","(15.0, 32.0, 19.0)","(81.0, 200.0, 176.0)","(17.0, 44.0, 23.642857142857142)","(51.0, 95.0, 85.6)","(41.0, 180.0, 91.25)","(41.0, 120.0, 81.77777777777777)"
06-01-2023 15:18:09.786702,"(4.4, 99999, 99990)","(2.8, 4.2, 4.055555555555555)","(1.95, 99999, 99990)","(15.0, 32.0, 19.0)","(81.0, 200.0, 176.0)","(17.0, 44.0, 23.642857142857142)","(51.0, 95.0, 85.6)","(41.0, 180.0, 91.25)","(41.0, 120.0, 81.77777777777777)"
06-01-2023 15:18:11.144602,"(4.4, 99999, 99990)","(2.8, 4.2, 4.055555555555555)","(1.95, 99999, 99990)","(15.0, 32.0, 19.0)","(81.0, 200.0, 176.0)","(17.0, 44.0, 28.444444444444443)","(51.0, 95.0, 85.6)","(41.0, 180.0, 91.25)","(41.0, 120.0, 81.77777777777777)"
06-01-2023 15:18:12.487774,"(4.4, 99999, 99990)","(2.8, 4.2, 4.055555555555555)","(1.95, 99999, 99990)","(15.0, 32.0, 19.0)","(81.0, 200.0, 176.0)","(17.0, 44.0, 32.333333333333336)","(51.0, 95.0, 85.6)","(41.0, 180.0, 91.25)","(41.0, 120.0, 81.77777777777777)"
06-01-2023 15:18:13.814485,"(4.4, 99999, 99990)","(2.8, 4.2, 4.055555555555555)","(1.95, 99999, 99990)","(15.0, 32.0, 21.5)","(81.0, 200.0, 176.0)","(17.0, 44.0, 24.714285714285715)","(51.0, 95.0, 85.6)","(41.0, 180.0, 83.75)","(41.0, 120.0, 81.14285714285714)"
06-01-2023 15:18:15.172784,"(4.4, 99999, 99990)","(2.8, 4.2, 2.992857142857143)","(1.95, 99999, 99990)","(15.0, 30.0, 21.5)","(81.0, 200.0, 176.0)","(17.0, 44.0, 24.714285714285715)","(51.0, 95.0, 85.6)","(41.0, 160.0, 86.0)","(41.0, 100.0, 81.14285714285714)"
