,Influencer,Kanga Lights,Helmet Giblet,Spring Bonnie,Escape Inn,Crazy Dream,Entice,Pyrotechnic
07-12-2022 13:20:11.184941,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:12.568002,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:13.734639,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:14.908216,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:15.989878,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:17.132858,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:18.180919,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:19.168080,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:20.130628,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:21.485817,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:22.601796,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:23.792637,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:24.884726,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:25.928327,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:26.973197,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:27.989892,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:29.032665,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:30.118671,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:31.201054,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:32.360046,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:33.394836,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 14.84)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:34.492017,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 13.18)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:35.696589,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 13.18)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:36.762507,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 13.18)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:37.937916,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 27.0)","(9.0, 16.5, 13.18)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:38.987735,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:40.198437,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:41.367730,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:42.460984,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:43.610631,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:44.815722,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:46.058103,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:47.158562,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:48.323513,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:49.386145,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:50.416955,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:51.482518,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:52.555708,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:53.614678,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:54.692674,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:55.725259,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:56.817233,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:57.834214,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:20:59.081536,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:00.235706,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:01.374651,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:02.392192,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:03.527138,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:04.627160,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:05.814340,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:06.982404,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:08.081557,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:09.233721,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:10.270384,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
