,Knights Cross,Urana Fernando,Mcivor Jack,Cookie Delight,Lala Santa,Prussian Spirit,Birdbrook,Red Hot Lady
11-01-2023 14:26:37.765665,"(9.0, 22.0, 18.526315789473685)","(9.0, 18.0, 16.773333333333333)","(18.0, 65.0, 54.67391304347826)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 21.0, 17.61111111111111)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:26:39.141793,"(9.0, 22.0, 18.526315789473685)","(9.0, 18.0, 16.773333333333333)","(18.0, 65.0, 54.67391304347826)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 21.0, 17.61111111111111)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:26:40.491097,"(9.0, 22.0, 18.526315789473685)","(9.0, 18.0, 16.773333333333333)","(18.0, 65.0, 54.67391304347826)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 21.0, 17.61111111111111)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:26:41.928281,"(9.0, 22.0, 19.130434782608695)","(9.0, 18.0, 15.0)","(18.0, 65.0, 56.2037037037037)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 21.0, 17.9)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:26:43.351928,"(9.0, 22.0, 19.130434782608695)","(9.0, 18.0, 15.0)","(18.0, 65.0, 56.2037037037037)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 17.9)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:26:44.799205,"(9.0, 22.0, 19.130434782608695)","(9.0, 18.0, 15.0)","(18.0, 65.0, 56.2037037037037)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:26:46.143691,"(9.0, 22.0, 19.130434782608695)","(9.0, 18.0, 15.0)","(18.0, 65.0, 56.2037037037037)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:26:47.567770,"(9.0, 22.0, 19.130434782608695)","(9.0, 18.0, 15.0)","(18.0, 65.0, 56.2037037037037)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:26:49.040096,"(9.0, 22.0, 19.130434782608695)","(9.0, 18.0, 15.0)","(18.0, 65.0, 56.2037037037037)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:26:50.434117,"(9.0, 22.0, 19.130434782608695)","(9.0, 18.0, 15.0)","(18.0, 65.0, 56.2037037037037)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:26:51.921379,"(9.0, 22.0, 19.130434782608695)","(9.0, 18.0, 15.0)","(18.0, 65.0, 56.2037037037037)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:26:53.330294,"(9.0, 22.0, 19.130434782608695)","(9.0, 18.0, 15.0)","(18.0, 65.0, 56.2037037037037)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:26:54.840070,"(9.0, 22.0, 19.130434782608695)","(9.0, 18.0, 15.0)","(18.0, 65.0, 56.2037037037037)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:26:56.373059,"(9.0, 22.0, 19.130434782608695)","(9.0, 18.0, 15.0)","(18.0, 65.0, 56.2037037037037)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:26:57.823141,"(9.0, 22.0, 19.130434782608695)","(9.0, 18.0, 15.0)","(18.0, 65.0, 56.2037037037037)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:26:59.553730,"(9.0, 22.0, 19.130434782608695)","(9.0, 18.0, 15.0)","(18.0, 65.0, 56.2037037037037)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:27:00.999753,"(9.0, 22.0, 19.130434782608695)","(9.0, 18.0, 15.0)","(18.0, 65.0, 56.2037037037037)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:27:02.382686,"(9.0, 22.0, 19.130434782608695)","(9.0, 18.0, 15.0)","(18.0, 65.0, 56.2037037037037)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:27:03.770009,"(9.0, 22.0, 19.130434782608695)","(9.0, 18.0, 15.0)","(18.0, 65.0, 56.2037037037037)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:27:05.175590,"(9.0, 22.0, 19.130434782608695)","(9.0, 18.0, 15.0)","(18.0, 65.0, 56.2037037037037)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:27:06.680370,"(9.0, 22.0, 19.130434782608695)","(9.0, 18.0, 15.0)","(18.0, 65.0, 56.2037037037037)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:27:08.130922,"(9.0, 22.0, 19.130434782608695)","(9.0, 18.0, 15.0)","(18.0, 65.0, 56.2037037037037)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.705882352941178)"
11-01-2023 14:27:10.057058,"(9.0, 22.0, 14.0)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 8.166666666666666)"
11-01-2023 14:27:11.734465,"(9.0, 22.0, 14.0)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 8.166666666666666)"
11-01-2023 14:27:13.270302,"(9.0, 22.0, 14.0)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 8.166666666666666)"
11-01-2023 14:27:14.741948,"(9.0, 22.0, 14.777777777777779)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 8.166666666666666)"
11-01-2023 14:27:16.242224,"(9.0, 22.0, 14.777777777777779)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 8.166666666666666)"
11-01-2023 14:27:17.765725,"(9.0, 22.0, 14.777777777777779)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.676470588235293)"
11-01-2023 14:27:19.109888,"(9.0, 22.0, 14.777777777777779)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.676470588235293)"
11-01-2023 14:27:20.507223,"(9.0, 22.0, 14.666666666666668)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 8.166666666666666)"
11-01-2023 14:27:21.938833,"(9.0, 22.0, 14.666666666666668)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 8.166666666666666)"
11-01-2023 14:27:23.349187,"(9.0, 22.0, 14.666666666666668)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 8.166666666666666)"
11-01-2023 14:27:24.842733,"(9.0, 22.0, 14.666666666666668)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 8.166666666666666)"
11-01-2023 14:27:26.149433,"(9.0, 22.0, 14.666666666666668)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 8.166666666666666)"
11-01-2023 14:27:27.697894,"(9.0, 22.0, 14.666666666666668)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 8.166666666666666)"
11-01-2023 14:27:29.236569,"(9.0, 22.0, 14.666666666666668)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 8.166666666666666)"
11-01-2023 14:27:31.078624,"(9.0, 22.0, 14.666666666666668)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 8.166666666666666)"
11-01-2023 14:27:32.820229,"(9.0, 22.0, 14.666666666666668)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.23076923076923)"
