,River Rouge,Goldstar Randal,Adobe Kid,Lets Party,Know Expense,Opawa Warrior,Opawa Hugo,Goldstar Kenzie
06-01-2023 10:11:50.111411,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.8, 4.934054054054054)","(2.35, 5.9, 3.2723809523809524)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:11:51.180944,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.8, 4.934054054054054)","(2.35, 5.9, 3.2723809523809524)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:11:52.242960,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.8, 4.934054054054054)","(2.35, 5.9, 3.2723809523809524)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:11:53.364621,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.8, 4.934054054054054)","(2.35, 5.9, 3.2723809523809524)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:11:54.447175,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.8, 4.934054054054054)","(2.35, 5.9, 3.8177358490566036)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:11:55.540816,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.8, 4.934054054054054)","(2.35, 5.9, 4.196585365853658)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:11:56.624895,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.6, 4.771891891891892)","(2.35, 5.8, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:11:57.649382,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:11:58.698732,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:11:59.710459,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
