,Ima Aussie Artist,Dream Control,Hooah,Mister Kopa,Our Sandy Shore,Wandering Girl,Torrevean Pinky,Bonnie Pauline,Telkem Jay
0,"[datetime.datetime(2022, 11, 28, 15, 13, 31, 675080), 1.9, 2.74]","[datetime.datetime(2022, 11, 28, 15, 13, 31, 675080), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 13, 31, 675080), 9.0, 16.5]","[datetime.datetime(2022, 11, 28, 15, 13, 31, 675080), 4.2, 6.4]","[datetime.datetime(2022, 11, 28, 15, 13, 31, 675080), 6.5, 10.5]","[datetime.datetime(2022, 11, 28, 15, 13, 31, 675080), 21.0, 46.0]","[datetime.datetime(2022, 11, 28, 15, 13, 31, 675080), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 15, 13, 31, 675080), 101.0, 360.0]","[datetime.datetime(2022, 11, 28, 15, 13, 31, 675080), 7.5, 11.5]"
1,"[datetime.datetime(2022, 11, 28, 15, 13, 32, 903945), 1.9, 2.74]","[datetime.datetime(2022, 11, 28, 15, 13, 32, 903945), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 13, 32, 903945), 9.0, 16.5]","[datetime.datetime(2022, 11, 28, 15, 13, 32, 903945), 4.2, 6.4]","[datetime.datetime(2022, 11, 28, 15, 13, 32, 903945), 6.5, 10.5]","[datetime.datetime(2022, 11, 28, 15, 13, 32, 903945), 21.0, 46.0]","[datetime.datetime(2022, 11, 28, 15, 13, 32, 903945), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 15, 13, 32, 903945), 101.0, 360.0]","[datetime.datetime(2022, 11, 28, 15, 13, 32, 903945), 7.5, 11.5]"
2,"[datetime.datetime(2022, 11, 28, 15, 13, 34, 132568), 1.9, 2.74]","[datetime.datetime(2022, 11, 28, 15, 13, 34, 132568), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 13, 34, 132568), 9.0, 16.5]","[datetime.datetime(2022, 11, 28, 15, 13, 34, 132568), 4.2, 6.4]","[datetime.datetime(2022, 11, 28, 15, 13, 34, 132568), 6.5, 10.5]","[datetime.datetime(2022, 11, 28, 15, 13, 34, 132568), 21.0, 46.0]","[datetime.datetime(2022, 11, 28, 15, 13, 34, 132568), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 15, 13, 34, 132568), 101.0, 360.0]","[datetime.datetime(2022, 11, 28, 15, 13, 34, 132568), 7.5, 11.5]"
3,"[datetime.datetime(2022, 11, 28, 15, 13, 35, 345970), 1.9, 2.74]","[datetime.datetime(2022, 11, 28, 15, 13, 35, 345970), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 13, 35, 345970), 9.0, 16.5]","[datetime.datetime(2022, 11, 28, 15, 13, 35, 345970), 4.2, 6.4]","[datetime.datetime(2022, 11, 28, 15, 13, 35, 345970), 6.5, 10.5]","[datetime.datetime(2022, 11, 28, 15, 13, 35, 345970), 21.0, 46.0]","[datetime.datetime(2022, 11, 28, 15, 13, 35, 345970), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 15, 13, 35, 345970), 101.0, 360.0]","[datetime.datetime(2022, 11, 28, 15, 13, 35, 345970), 7.5, 11.5]"
4,"[datetime.datetime(2022, 11, 28, 15, 13, 36, 570811), 1.9, 2.74]","[datetime.datetime(2022, 11, 28, 15, 13, 36, 570811), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 13, 36, 570811), 9.0, 16.5]","[datetime.datetime(2022, 11, 28, 15, 13, 36, 570811), 4.2, 6.4]","[datetime.datetime(2022, 11, 28, 15, 13, 36, 570811), 6.5, 10.5]","[datetime.datetime(2022, 11, 28, 15, 13, 36, 570811), 21.0, 46.0]","[datetime.datetime(2022, 11, 28, 15, 13, 36, 570811), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 15, 13, 36, 570811), 101.0, 360.0]","[datetime.datetime(2022, 11, 28, 15, 13, 36, 570811), 7.5, 11.5]"
5,"[datetime.datetime(2022, 11, 28, 15, 13, 37, 790223), 1.9, 2.74]","[datetime.datetime(2022, 11, 28, 15, 13, 37, 790223), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 13, 37, 790223), 9.0, 16.5]","[datetime.datetime(2022, 11, 28, 15, 13, 37, 790223), 4.2, 6.4]","[datetime.datetime(2022, 11, 28, 15, 13, 37, 790223), 6.5, 10.5]","[datetime.datetime(2022, 11, 28, 15, 13, 37, 790223), 21.0, 46.0]","[datetime.datetime(2022, 11, 28, 15, 13, 37, 790223), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 15, 13, 37, 790223), 101.0, 360.0]","[datetime.datetime(2022, 11, 28, 15, 13, 37, 790223), 7.5, 11.5]"
6,"[datetime.datetime(2022, 11, 28, 15, 13, 38, 999077), 1.9, 2.74]","[datetime.datetime(2022, 11, 28, 15, 13, 38, 999077), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 13, 38, 999077), 9.0, 16.5]","[datetime.datetime(2022, 11, 28, 15, 13, 38, 999077), 4.2, 6.4]","[datetime.datetime(2022, 11, 28, 15, 13, 38, 999077), 6.5, 10.5]","[datetime.datetime(2022, 11, 28, 15, 13, 38, 999077), 21.0, 46.0]","[datetime.datetime(2022, 11, 28, 15, 13, 38, 999077), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 15, 13, 38, 999077), 101.0, 360.0]","[datetime.datetime(2022, 11, 28, 15, 13, 38, 999077), 7.5, 11.5]"
7,"[datetime.datetime(2022, 11, 28, 15, 13, 40, 203642), 1.9, 2.74]","[datetime.datetime(2022, 11, 28, 15, 13, 40, 203642), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 13, 40, 203642), 9.0, 16.5]","[datetime.datetime(2022, 11, 28, 15, 13, 40, 203642), 4.2, 6.4]","[datetime.datetime(2022, 11, 28, 15, 13, 40, 203642), 6.5, 10.5]","[datetime.datetime(2022, 11, 28, 15, 13, 40, 203642), 21.0, 46.0]","[datetime.datetime(2022, 11, 28, 15, 13, 40, 203642), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 15, 13, 40, 203642), 101.0, 360.0]","[datetime.datetime(2022, 11, 28, 15, 13, 40, 203642), 7.5, 11.5]"
8,"[datetime.datetime(2022, 11, 28, 15, 13, 41, 419289), 1.9, 2.74]","[datetime.datetime(2022, 11, 28, 15, 13, 41, 419289), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 13, 41, 419289), 9.0, 16.5]","[datetime.datetime(2022, 11, 28, 15, 13, 41, 419289), 4.2, 6.4]","[datetime.datetime(2022, 11, 28, 15, 13, 41, 419289), 6.5, 10.5]","[datetime.datetime(2022, 11, 28, 15, 13, 41, 419289), 21.0, 46.0]","[datetime.datetime(2022, 11, 28, 15, 13, 41, 419289), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 15, 13, 41, 419289), 101.0, 360.0]","[datetime.datetime(2022, 11, 28, 15, 13, 41, 419289), 7.5, 11.5]"
9,"[datetime.datetime(2022, 11, 28, 15, 13, 42, 630817), 1.9, 2.74]","[datetime.datetime(2022, 11, 28, 15, 13, 42, 630817), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 13, 42, 630817), 9.0, 16.5]","[datetime.datetime(2022, 11, 28, 15, 13, 42, 630817), 4.2, 6.4]","[datetime.datetime(2022, 11, 28, 15, 13, 42, 630817), 6.5, 10.5]","[datetime.datetime(2022, 11, 28, 15, 13, 42, 630817), 21.0, 46.0]","[datetime.datetime(2022, 11, 28, 15, 13, 42, 630817), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 15, 13, 42, 630817), 101.0, 360.0]","[datetime.datetime(2022, 11, 28, 15, 13, 42, 630817), 7.5, 11.5]"
