,Somebodys Girl,Wongalea Meg,Glenrock,Jilliby Jive,Sarah Jo,Ideal Heaven,Full Of Wisdom,Freskos Art,Miss Hermes,Zoshady
09-01-2023 12:41:55.582818,"(8.5, 20.0, 13.8)","(14.0, 44.0, 23.0)","(51.0, 220.0, 170.28571428571428)","(10.0, 28.0, 20.160000000000004)","(21.0, 70.0, 55.57142857142857)","(6.0, 13.0, 10.45)","(21.0, 99999, 99990)","(1.75, 2.78, 2.0666666666666664)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:41:56.894057,"(8.5, 20.0, 13.8)","(14.0, 44.0, 23.0)","(51.0, 220.0, 170.28571428571428)","(10.0, 28.0, 20.160000000000004)","(21.0, 70.0, 55.57142857142857)","(6.0, 13.0, 10.45)","(21.0, 99999, 99990)","(1.75, 2.78, 2.0666666666666664)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:41:58.188537,"(8.5, 20.0, 13.8)","(14.0, 44.0, 23.0)","(51.0, 220.0, 170.28571428571428)","(10.0, 28.0, 20.160000000000004)","(21.0, 70.0, 55.57142857142857)","(6.0, 13.0, 10.45)","(21.0, 99999, 99990)","(1.75, 2.78, 2.0666666666666664)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:41:59.407335,"(8.5, 20.0, 13.8)","(14.0, 44.0, 23.0)","(51.0, 220.0, 170.28571428571428)","(10.0, 28.0, 20.160000000000004)","(21.0, 70.0, 55.57142857142857)","(6.0, 13.0, 10.45)","(21.0, 99999, 99990)","(1.75, 2.78, 2.0666666666666664)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:00.626587,"(8.5, 20.0, 13.8)","(14.0, 44.0, 23.0)","(51.0, 220.0, 170.28571428571428)","(10.0, 28.0, 20.160000000000004)","(21.0, 70.0, 55.57142857142857)","(6.0, 13.0, 10.45)","(21.0, 99999, 99990)","(1.75, 2.78, 2.0666666666666664)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:01.903240,"(8.5, 20.0, 13.8)","(14.0, 44.0, 23.0)","(51.0, 220.0, 170.28571428571428)","(10.0, 28.0, 20.160000000000004)","(21.0, 70.0, 55.57142857142857)","(6.0, 13.0, 10.45)","(21.0, 99999, 99990)","(1.75, 2.78, 2.0666666666666664)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:03.113539,"(8.5, 20.0, 13.8)","(14.0, 44.0, 23.0)","(51.0, 220.0, 170.28571428571428)","(10.0, 28.0, 17.1)","(21.0, 70.0, 55.57142857142857)","(6.0, 13.0, 8.8875)","(21.0, 99999, 99990)","(1.75, 2.78, 1.7522727272727272)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:04.334325,"(8.5, 20.0, 13.8)","(14.0, 32.0, 22.25)","(51.0, 220.0, 170.28571428571428)","(10.0, 20.0, 17.1)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.5, 8.8875)","(21.0, 99999, 99990)","(1.75, 2.64, 1.7522727272727272)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:05.571928,"(8.5, 20.0, 13.8)","(14.0, 32.0, 22.25)","(51.0, 220.0, 170.28571428571428)","(10.0, 20.0, 17.1)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.5, 8.8875)","(21.0, 99999, 99990)","(1.75, 2.64, 1.7225675675675676)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:06.773009,"(8.5, 20.0, 13.8)","(14.0, 32.0, 22.25)","(51.0, 220.0, 170.28571428571428)","(10.0, 20.0, 17.1)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.5, 8.8875)","(21.0, 99999, 99990)","(1.75, 2.64, 1.7225675675675676)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:07.980998,"(8.5, 20.0, 13.8)","(14.0, 32.0, 22.25)","(51.0, 220.0, 170.28571428571428)","(10.0, 20.0, 17.1)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.5, 8.8875)","(21.0, 99999, 99990)","(1.75, 2.64, 1.7225675675675676)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:09.242196,"(8.5, 20.0, 13.8)","(14.0, 32.0, 22.25)","(51.0, 220.0, 170.28571428571428)","(10.0, 20.0, 17.1)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.5, 8.8875)","(21.0, 99999, 99990)","(1.75, 2.64, 1.8672)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:10.477838,"(8.5, 20.0, 13.8)","(14.0, 32.0, 22.25)","(51.0, 220.0, 170.28571428571428)","(10.0, 20.0, 17.1)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.5, 8.8875)","(21.0, 99999, 99990)","(1.75, 2.64, 1.8672)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:11.721828,"(8.5, 20.0, 13.8)","(14.0, 32.0, 22.25)","(51.0, 220.0, 170.28571428571428)","(10.0, 20.0, 17.1)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.5, 8.8875)","(21.0, 99999, 99990)","(1.75, 2.64, 1.8672)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:12.977695,"(8.5, 20.0, 13.8)","(14.0, 32.0, 22.25)","(51.0, 220.0, 170.28571428571428)","(10.0, 20.0, 17.1)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.5, 8.8875)","(21.0, 99999, 99990)","(1.75, 2.64, 1.8672)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:14.199889,"(8.5, 20.0, 13.8)","(14.0, 32.0, 22.25)","(51.0, 220.0, 170.28571428571428)","(10.0, 20.0, 17.1)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.5, 8.8875)","(21.0, 99999, 99990)","(1.75, 2.64, 1.8672)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:15.399371,"(8.5, 20.0, 13.8)","(14.0, 32.0, 22.25)","(51.0, 220.0, 170.28571428571428)","(10.0, 20.0, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.5, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.64, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:16.619601,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
