,Antarctic Ocean,Ashim,Shalaga,Beagle,Coastal Town,Belthil,Rich Memories,Trust Rusty,Rock Dee Jay,Navy Black,Pammy Joy,Pistachio,Tonys Kick
06-01-2023 15:01:08.327242,"(16.0, 18.0, 17.833333333333332)","(8.5, 9.6, 9.441666666666666)","(8.0, 9.4, 9.290384615384616)","(11.0, 12.5, 12.293838862559241)","(6.5, 7.4, 7.363375224416517)","(5.5, 6.2, 6.108167770419426)","(41.0, 60.0, 56.785714285714285)","(11.0, 13.0, 12.471354166666666)","(10.0, 11.5, 11.235294117647058)","(26.0, 34.0, 33.51111111111111)","(20.0, 26.0, 25.61111111111111)","(9.0, 11.5, 11.154761904761905)","(101.0, 310.0, 293.3333333333333)"
06-01-2023 15:01:10.039204,"(16.0, 18.0, 17.846666666666668)","(8.5, 9.6, 9.424390243902439)","(8.0, 9.4, 9.300869565217392)","(11.0, 12.5, 12.294642857142858)","(6.5, 7.4, 7.604979253112033)","(5.5, 6.2, 6.1628278221208665)","(41.0, 60.0, 57.096774193548384)","(11.0, 12.5, 12.556034482758621)","(10.0, 11.5, 11.195945945945946)","(26.0, 34.0, 33.541666666666664)","(20.0, 26.0, 25.65)","(9.0, 11.5, 11.191489361702128)","(101.0, 310.0, 293.3333333333333)"
06-01-2023 15:01:11.619659,"(16.0, 18.0, 17.846666666666668)","(8.5, 9.6, 9.424390243902439)","(8.0, 9.4, 9.300869565217392)","(11.0, 12.5, 12.247276688453159)","(6.5, 7.8, 7.60972972972973)","(5.5, 6.2, 6.152590959206174)","(41.0, 60.0, 57.096774193548384)","(11.0, 13.0, 12.556034482758621)","(10.0, 11.5, 11.058823529411764)","(26.0, 34.0, 33.541666666666664)","(20.0, 26.0, 25.65)","(9.0, 11.5, 10.814814814814815)","(101.0, 310.0, 304.44444444444446)"
06-01-2023 15:01:13.255417,"(16.0, 18.0, 17.846666666666668)","(8.0, 9.6, 9.48135593220339)","(8.0, 9.4, 9.300869565217392)","(11.0, 12.5, 12.247276688453159)","(6.5, 7.8, 7.601129943502825)","(5.5, 6.2, 6.152590959206174)","(41.0, 60.0, 57.721518987341774)","(11.0, 13.0, 12.556034482758621)","(10.0, 11.5, 11.045454545454545)","(26.0, 34.0, 33.58490566037736)","(20.0, 26.0, 25.65)","(10.0, 11.0, 10.822784810126583)","(101.0, 340.0, 304.44444444444446)"
06-01-2023 15:01:14.834513,"(16.0, 18.0, 17.846666666666668)","(8.0, 9.6, 9.729113924050633)","(8.0, 9.4, 9.315555555555555)","(11.0, 12.5, 12.263265306122449)","(6.5, 7.8, 7.546478873239437)","(5.5, 6.2, 6.154157782515991)","(41.0, 60.0, 57.80487804878049)","(11.0, 13.0, 12.590909090909092)","(10.0, 11.5, 10.887533875338754)","(26.0, 34.0, 33.35294117647059)","(20.0, 26.0, 25.70212765957447)","(10.0, 11.0, 10.854545454545455)","(101.0, 340.0, 304.44444444444446)"
06-01-2023 15:01:16.478685,"(16.0, 18.0, 17.86470588235294)","(8.0, 9.8, 9.764556962025317)","(8.0, 9.4, 9.320833333333333)","(11.0, 12.5, 12.263265306122449)","(6.5, 7.6, 7.5495575221238935)","(5.5, 6.2, 6.154157782515991)","(41.0, 60.0, 54.63768115942029)","(11.0, 13.0, 12.672222222222222)","(10.0, 11.0, 10.887533875338754)","(26.0, 34.0, 33.35294117647059)","(20.0, 26.0, 25.708333333333332)","(10.0, 11.0, 10.854545454545455)","(101.0, 340.0, 304.44444444444446)"
06-01-2023 15:01:18.073566,"(16.0, 18.0, 17.942857142857143)","(8.0, 9.8, 9.764556962025317)","(8.0, 9.4, 9.320833333333333)","(11.0, 12.5, 12.262295081967213)","(6.5, 7.6, 7.563809523809524)","(5.0, 6.2, 6.154879328436516)","(41.0, 55.0, 54.177215189873415)","(11.0, 13.0, 12.684491978609625)","(10.0, 11.0, 11.13076923076923)","(26.0, 34.0, 33.388888888888886)","(20.0, 26.0, 25.73076923076923)","(10.0, 11.0, 10.861271676300579)","(101.0, 340.0, 304.44444444444446)"
06-01-2023 15:01:19.764413,"(16.0, 18.0, 17.86627906976744)","(8.0, 10.0, 9.76)","(8.0, 9.4, 9.320833333333333)","(11.0, 12.5, 12.257828810020877)","(6.5, 7.6, 7.569680851063829)","(5.0, 6.2, 6.154879328436516)","(41.0, 55.0, 53.975903614457835)","(11.0, 13.0, 12.814569536423841)","(10.0, 11.5, 11.137096774193548)","(26.0, 34.0, 33.388888888888886)","(20.0, 26.0, 25.65)","(10.0, 11.0, 10.878612716763005)","(101.0, 340.0, 304.44444444444446)"
06-01-2023 15:01:21.544402,"(16.0, 18.0, 18.208333333333332)","(8.0, 10.0, 9.43716814159292)","(8.0, 9.4, 9.326923076923077)","(11.0, 12.5, 12.258333333333333)","(6.5, 7.6, 7.570769230769231)","(5.0, 6.2, 6.154973821989529)","(41.0, 55.0, 53.9080459770115)","(11.0, 13.0, 12.83529411764706)","(10.0, 11.5, 11.161654135338345)","(26.0, 34.0, 33.45)","(20.0, 26.0, 25.681818181818183)","(9.0, 11.0, 10.885245901639344)","(101.0, 340.0, 304.44444444444446)"
06-01-2023 15:01:23.208132,"(16.0, 18.5, 18.195652173913043)","(8.0, 9.6, 9.43716814159292)","(8.0, 9.4, 9.361073825503356)","(11.0, 12.5, 12.258333333333333)","(6.5, 7.6, 7.570845481049562)","(5.0, 6.2, 6.164410480349345)","(41.0, 55.0, 54.178082191780824)","(11.0, 13.0, 12.805555555555555)","(10.0, 11.5, 11.152173913043478)","(26.0, 34.0, 33.45)","(20.0, 26.0, 25.714285714285715)","(9.0, 11.0, 10.883802816901408)","(101.0, 340.0, 304.44444444444446)"
