,Hayley Shian,Waikarie Peg,Zihuatanejo,Henry Delatt,Lonely Tuna,Our Girl Siara,Long Way Out,Our Turn
08-01-2023 17:09:42.536888,"(4.0, 8.2, 5.238888888888889)","(5.5, 10.0, 6.550000000000001)","(9.0, 19.5, 16.235294117647058)","(31.0, 110.0, 52.14285714285714)","(31.0, 100.0, 49.285714285714285)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4)"
08-01-2023 17:09:43.707713,"(4.0, 8.2, 5.238888888888889)","(5.5, 10.0, 6.550000000000001)","(9.0, 19.5, 16.235294117647058)","(31.0, 110.0, 52.14285714285714)","(31.0, 100.0, 49.285714285714285)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4)"
08-01-2023 17:09:44.830700,"(4.0, 8.2, 5.238888888888889)","(5.5, 10.0, 6.550000000000001)","(9.0, 19.5, 16.235294117647058)","(31.0, 110.0, 52.14285714285714)","(31.0, 100.0, 49.285714285714285)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4)"
08-01-2023 17:09:45.936056,"(4.0, 8.2, 5.238888888888889)","(5.5, 10.0, 6.550000000000001)","(9.0, 19.5, 16.235294117647058)","(31.0, 110.0, 52.14285714285714)","(31.0, 100.0, 49.285714285714285)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4)"
08-01-2023 17:09:47.021733,"(4.0, 8.2, 5.238888888888889)","(5.5, 10.0, 6.550000000000001)","(9.0, 19.5, 16.235294117647058)","(31.0, 110.0, 52.14285714285714)","(31.0, 100.0, 49.285714285714285)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4)"
08-01-2023 17:09:48.155937,"(4.0, 8.2, 5.238888888888889)","(5.5, 10.0, 6.550000000000001)","(9.0, 19.5, 16.235294117647058)","(31.0, 110.0, 52.14285714285714)","(31.0, 100.0, 49.285714285714285)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4)"
08-01-2023 17:09:49.320651,"(4.0, 8.2, 5.238888888888889)","(5.5, 10.0, 6.550000000000001)","(9.0, 19.5, 16.235294117647058)","(31.0, 110.0, 52.14285714285714)","(31.0, 100.0, 49.285714285714285)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4)"
08-01-2023 17:09:50.434634,"(4.0, 8.2, 5.238888888888889)","(5.5, 10.0, 6.550000000000001)","(9.0, 19.5, 16.235294117647058)","(31.0, 110.0, 52.14285714285714)","(31.0, 100.0, 49.285714285714285)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4)"
08-01-2023 17:09:51.580911,"(4.0, 8.2, 5.238888888888889)","(5.5, 10.0, 6.550000000000001)","(9.0, 19.5, 16.235294117647058)","(31.0, 110.0, 52.14285714285714)","(31.0, 100.0, 49.285714285714285)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4)"
08-01-2023 17:09:52.745687,"(4.0, 8.2, 5.238888888888889)","(5.5, 10.0, 6.550000000000001)","(9.0, 19.5, 16.235294117647058)","(31.0, 110.0, 52.14285714285714)","(31.0, 100.0, 49.285714285714285)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4)"
