,Rothwell Boy,My Bro Jill,Wild Jewel,Pyrenees Chateau,Wild Storms,Cruisy Magic,Bourne Supremacy,Skipper Jack
16-12-2022 13:58:34.560096,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.73)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 240.0, 198.75)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 3.6075)","(6.5, 19.0, 16.272727272727273)"
16-12-2022 13:58:35.959021,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.73)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 198.75)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 3.6075)","(6.5, 19.0, 16.272727272727273)"
16-12-2022 13:58:37.240456,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.73)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 198.75)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 3.6075)","(6.5, 19.0, 16.272727272727273)"
16-12-2022 13:58:38.737749,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.73)","(21.0, 85.0, 44.375)","(31.0, 240.0, 135.0)","(31.0, 320.0, 229.0625)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 3.6075)","(6.5, 19.0, 14.461538461538463)"
16-12-2022 13:58:40.236283,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.73)","(21.0, 85.0, 44.375)","(31.0, 240.0, 135.0)","(31.0, 320.0, 229.0625)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 3.6075)","(6.5, 19.0, 14.461538461538463)"
16-12-2022 13:58:41.506969,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.73)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 229.0625)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 3.6075)","(6.5, 19.0, 14.461538461538463)"
16-12-2022 13:58:42.645013,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 229.0625)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 3.6075)","(6.5, 19.0, 14.461538461538463)"
16-12-2022 13:58:43.725724,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 229.0625)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 3.6075)","(6.5, 19.0, 14.461538461538463)"
16-12-2022 13:58:44.897453,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 229.0625)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 3.6075)","(6.5, 19.0, 14.461538461538463)"
16-12-2022 13:58:46.064324,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 229.0625)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 3.6075)","(6.5, 19.0, 14.461538461538463)"
16-12-2022 13:58:47.305460,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 229.0625)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 3.6075)","(6.5, 19.0, 14.461538461538463)"
16-12-2022 13:58:48.454660,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 140.0)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 3.6075)","(6.5, 19.0, 14.461538461538463)"
16-12-2022 13:58:49.518851,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 140.0)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 3.6075)","(6.5, 19.0, 14.461538461538463)"
16-12-2022 13:58:50.550749,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 140.0)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 3.6075)","(6.5, 19.0, 14.461538461538463)"
16-12-2022 13:58:51.672734,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 140.0)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 3.6075)","(6.5, 19.0, 14.461538461538463)"
16-12-2022 13:58:52.810040,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 140.0)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 3.6075)","(6.5, 19.0, 14.461538461538463)"
16-12-2022 13:58:54.084941,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 140.0)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 3.6075)","(6.5, 19.0, 14.461538461538463)"
16-12-2022 13:58:55.236346,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 140.0)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 3.6075)","(6.5, 19.0, 14.461538461538463)"
16-12-2022 13:58:56.363092,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 140.0)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 3.6075)","(6.5, 19.0, 14.461538461538463)"
16-12-2022 13:58:57.498507,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 140.0)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 3.6075)","(6.5, 19.0, 14.461538461538463)"
16-12-2022 13:58:58.529631,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 140.0)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:58:59.578158,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 176.0)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:00.641465,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 176.0)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:01.838354,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 176.0)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:03.004042,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 176.0)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:04.152199,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:05.270555,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:06.352402,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:07.387140,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 85.81818181818181)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:08.414941,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:09.471092,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:10.529771,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:11.628671,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:12.723933,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:13.808517,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:14.937903,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:16.034051,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:17.114479,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
