,On The Fence,Just Too Fancy,Kiah Beach,Iron Lad,More Sensation,Malis Gonzales,Saint Bluey
16-12-2022 13:08:33.026347,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:34.104561,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:35.229499,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:36.251838,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:37.366259,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:38.559780,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:39.635251,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:40.681007,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:41.690308,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:42.737432,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:43.717492,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:44.796058,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:45.847448,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:46.805405,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:47.776896,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:48.750905,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:49.803715,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:50.791776,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:51.844685,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:52.873804,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:53.821265,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:54.901656,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:55.962018,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:56.943437,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:57.922038,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:58.964579,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:08:59.904077,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:00.890759,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:01.928820,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.8)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:02.947482,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 30.0, 25.625)","(7.5, 17.5, 12.1)","(5.5, 10.5, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:03.905861,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.8125)","(7.5, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:04.861836,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.8125)","(7.5, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:05.937630,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.8125)","(7.5, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:06.895256,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.8125)","(7.5, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:07.932775,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.8125)","(7.5, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:08.964896,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.8125)","(7.5, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:09.915193,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.8125)","(7.5, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:10.882218,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.8125)","(7.5, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:11.895815,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.8125)","(7.5, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:12.888929,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.8125)","(7.5, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:13.837639,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.8125)","(7.5, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:14.769408,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.8125)","(7.5, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
