,Missczech,Curlin Blessing,Taking Charge Desi,Kynlies Empire,Tiz A Macho Girl,Joy In The Battle,Miss Hard Knocks,Lucy K
10-01-2023 08:01:31.522106,"(11.0, 13.0, 12.102739726027398)","(16.0, 36.0, 31.57894736842105)","(31.0, 70.0, 53.25)","(20.0, 110.0, 85.0)","(2.7, 3.05, 2.984)","(3.9, 5.0, 4.91021897810219)","(2.6, 3.1, 3.0508281573498963)","(21.0, 150.0, 110.0)"
10-01-2023 08:01:32.763229,"(11.0, 13.0, 12.132450331125828)","(16.0, 36.0, 31.333333333333332)","(31.0, 75.0, 63.375)","(20.0, 90.0, 71.25)","(2.7, 3.0, 2.981176470588235)","(3.9, 5.0, 4.908888888888889)","(2.6, 3.1, 3.0503138075313805)","(21.0, 150.0, 85.0)"
10-01-2023 08:01:33.767724,"(11.0, 13.0, 12.132450331125828)","(16.0, 36.0, 31.333333333333332)","(31.0, 75.0, 63.375)","(20.0, 90.0, 71.25)","(2.7, 3.0, 2.981176470588235)","(3.9, 5.0, 4.908888888888889)","(2.6, 3.1, 3.005189620758483)","(21.0, 160.0, 92.5)"
10-01-2023 08:01:34.790426,"(11.0, 13.0, 12.102739726027398)","(16.0, 36.0, 31.058823529411764)","(31.0, 75.0, 63.375)","(20.0, 90.0, 75.0)","(2.7, 3.0, 2.981176470588235)","(3.9, 5.0, 4.956852791878172)","(2.6, 3.1, 3.004233870967742)","(21.0, 160.0, 88.0)"
10-01-2023 08:01:35.801323,"(11.0, 13.0, 12.102739726027398)","(16.0, 36.0, 31.058823529411764)","(31.0, 75.0, 63.375)","(20.0, 90.0, 75.0)","(2.7, 3.0, 2.981176470588235)","(3.9, 5.1, 5.0284263959390865)","(2.6, 3.1, 3.0310344827586206)","(21.0, 160.0, 88.0)"
10-01-2023 08:01:36.837265,"(11.0, 13.0, 12.102739726027398)","(16.0, 36.0, 31.058823529411764)","(31.0, 75.0, 63.375)","(20.0, 90.0, 75.0)","(2.7, 3.05, 2.965523465703971)","(3.9, 5.1, 5.0284263959390865)","(2.6, 3.05, 3.0310344827586206)","(21.0, 160.0, 88.0)"
10-01-2023 08:01:37.835631,"(11.0, 13.0, 12.102739726027398)","(16.0, 34.0, 33.0)","(31.0, 75.0, 63.375)","(20.0, 90.0, 75.0)","(2.7, 3.05, 2.984296028880866)","(3.9, 5.1, 5.0284263959390865)","(2.6, 3.05, 3.03)","(21.0, 160.0, 81.25)"
10-01-2023 08:01:38.891238,"(11.0, 13.0, 12.51526717557252)","(16.0, 36.0, 31.6)","(31.0, 95.0, 87.71428571428572)","(20.0, 90.0, 75.0)","(2.7, 3.05, 3.0074074074074075)","(3.9, 5.1, 5.0343478260869565)","(2.6, 3.05, 3.010344827586207)","(21.0, 160.0, 96.25)"
10-01-2023 08:01:40.047753,"(11.0, 13.0, 12.51923076923077)","(16.0, 36.0, 31.333333333333332)","(31.0, 90.0, 78.5)","(20.0, 90.0, 73.33333333333333)","(2.7, 3.05, 3.00470297029703)","(3.9, 5.1, 5.0343478260869565)","(2.6, 3.05, 3.012)","(21.0, 160.0, 96.25)"
10-01-2023 08:01:41.150215,"(11.0, 13.0, 12.584415584415584)","(16.0, 36.0, 31.333333333333332)","(31.0, 90.0, 78.5)","(20.0, 90.0, 73.33333333333333)","(2.7, 3.05, 3.00470297029703)","(3.9, 5.1, 5.0343478260869565)","(2.6, 3.05, 3.012)","(21.0, 160.0, 96.25)"
10-01-2023 08:01:42.186797,"(11.0, 14.5, 14.0)","(16.0, 36.0, 30.4)","(31.0, 90.0, 78.5)","(20.0, 90.0, 73.33333333333333)","(2.7, 3.05, 3.005147058823529)","(3.9, 5.1, 5.0343478260869565)","(2.6, 3.05, 3.012)","(21.0, 160.0, 96.25)"
10-01-2023 08:01:43.222267,"(11.0, 14.5, 13.9)","(16.0, 32.0, 31.4)","(31.0, 90.0, 78.5)","(20.0, 90.0, 73.33333333333333)","(2.7, 3.05, 3.005072463768116)","(3.9, 5.1, 5.0343478260869565)","(2.6, 3.05, 3.0205128205128204)","(21.0, 160.0, 94.16666666666667)"
10-01-2023 08:01:44.217919,"(11.0, 14.0, 13.73076923076923)","(16.0, 32.0, 31.0)","(31.0, 90.0, 78.5)","(26.0, 90.0, 73.33333333333333)","(2.6, 3.05, 3.0045064377682404)","(4.4, 5.1, 5.0343478260869565)","(2.6, 3.05, 3.052657004830918)","(26.0, 190.0, 89.375)"
10-01-2023 08:01:45.267530,"(11.0, 14.0, 13.6875)","(16.0, 32.0, 31.0)","(31.0, 90.0, 78.5)","(26.0, 90.0, 73.33333333333333)","(2.6, 3.05, 3.0002347417840376)","(4.4, 5.1, 5.0343478260869565)","(2.6, 3.1, 3.052657004830918)","(26.0, 190.0, 110.0)"
