,Shonas Fury,Blue Bathers,Prince Danube,Last Date,Double Tara,Step Up
06-01-2023 11:01:08.493263,"(4.6, 8.4, 6.0)","(1.8, 2.36, 1.9107142857142858)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 11.0, 5.985714285714286)"
06-01-2023 11:01:09.399843,"(4.6, 8.4, 6.0)","(1.8, 2.36, 1.9107142857142858)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 11.0, 5.985714285714286)"
06-01-2023 11:01:10.370408,"(4.6, 8.4, 6.0)","(1.8, 2.36, 1.9107142857142858)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 11.0, 6.58)"
06-01-2023 11:01:11.399976,"(4.6, 8.4, 6.0)","(1.8, 2.34, 1.9520833333333334)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.5, 7.8)"
06-01-2023 11:01:12.413404,"(4.6, 8.4, 6.0)","(1.8, 2.34, 1.9520833333333334)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 7.8)"
06-01-2023 11:01:13.358550,"(4.6, 8.4, 6.0)","(1.8, 2.34, 1.9520833333333334)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 7.8)"
06-01-2023 11:01:14.276998,"(4.6, 8.4, 6.0)","(1.8, 2.34, 1.9520833333333334)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 7.8)"
06-01-2023 11:01:15.234705,"(4.6, 8.4, 6.0)","(1.8, 2.34, 1.9520833333333334)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 7.8)"
06-01-2023 11:01:16.187139,"(4.6, 8.4, 6.0)","(1.8, 2.34, 1.9520833333333334)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 7.8)"
06-01-2023 11:01:17.230829,"(4.6, 8.4, 6.0)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 7.8)"
06-01-2023 11:01:18.197809,"(4.6, 8.4, 6.0)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 7.8)"
06-01-2023 11:01:19.114668,"(4.6, 8.4, 6.0)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 7.8)"
06-01-2023 11:01:20.069178,"(4.6, 8.4, 6.0)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 7.8)"
06-01-2023 11:01:20.994191,"(4.6, 8.4, 6.0)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 7.8)"
