,Conumdrum,Creek Lodge,Gee Gees Fifthtest,High Plain Drifta,Rohzhae,Swingapinga,Im Keefe,Muscle Up,Zulu Angel,Weallstuckathome,Barmaid Girl,Ding Ding,Kings On Queens,Millas Ready,Soulita
06-01-2023 13:39:19.683291,"(8.5, 14.5, 13.75)","(91.0, 180.0, 143.33333333333334)","(101.0, 190.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 50.0, 42.63636363636364)","(18.0, 25.0, 19.677419354838708)","(2.0, 2.22, 2.134644351464435)","(8.0, 12.5, 11.75)","(21.0, 75.0, 66.45454545454545)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 47.073170731707314)","(21.0, 55.0, 50.27272727272727)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:21.389863,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 50.0, 42.63636363636364)","(18.0, 25.0, 19.677419354838708)","(2.0, 2.22, 2.134644351464435)","(8.0, 12.5, 11.75)","(21.0, 75.0, 66.45454545454545)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 47.073170731707314)","(21.0, 55.0, 50.27272727272727)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:23.092873,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 50.0, 42.63636363636364)","(18.0, 25.0, 19.677419354838708)","(2.0, 2.22, 2.134644351464435)","(8.0, 12.5, 11.75)","(21.0, 75.0, 66.45454545454545)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 47.073170731707314)","(21.0, 55.0, 50.27272727272727)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:24.797632,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 50.0, 42.63636363636364)","(18.0, 25.0, 19.677419354838708)","(2.0, 2.22, 2.134644351464435)","(8.0, 12.5, 11.75)","(21.0, 75.0, 66.45454545454545)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 47.073170731707314)","(21.0, 55.0, 50.27272727272727)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:26.565243,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 50.0, 41.66666666666667)","(18.0, 25.0, 19.677419354838708)","(2.0, 2.22, 2.134644351464435)","(8.0, 12.5, 11.75)","(21.0, 75.0, 66.45454545454545)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 47.073170731707314)","(21.0, 55.0, 50.27272727272727)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:28.259728,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 44.0, 41.66666666666667)","(18.0, 25.0, 19.677419354838708)","(2.0, 2.22, 2.134644351464435)","(8.0, 12.5, 11.75)","(21.0, 75.0, 66.45454545454545)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 47.073170731707314)","(21.0, 55.0, 50.27272727272727)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:29.857126,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 44.0, 41.66666666666667)","(18.0, 25.0, 19.677419354838708)","(2.0, 2.22, 2.134644351464435)","(8.0, 12.5, 11.75)","(21.0, 75.0, 67.16666666666666)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 47.073170731707314)","(21.0, 55.0, 50.27272727272727)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:31.517826,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 44.0, 40.66666666666667)","(18.0, 25.0, 19.677419354838708)","(2.0, 2.22, 2.134644351464435)","(8.0, 12.5, 11.75)","(21.0, 75.0, 36.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 47.073170731707314)","(21.0, 55.0, 41.75)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:33.152454,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 44.0, 40.66666666666667)","(18.0, 25.0, 19.677419354838708)","(2.0, 2.22, 2.134644351464435)","(8.0, 12.5, 11.75)","(21.0, 60.0, 47.285714285714285)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 47.073170731707314)","(21.0, 46.0, 41.75)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:34.769411,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 44.0, 36.22222222222222)","(18.0, 25.0, 19.622222222222224)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 55.0, 31.476190476190474)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 56.0)","(21.0, 46.0, 41.75)","(101.0, 220.0, 166.66666666666666)"
