,Goodtime Libby,Shoobees Spirit,Rocknroll Gronk,Cincinnati,Layden,Starzzz Destiny
14-12-2022 14:07:38.481792,"(7.0, 9.4, 8.809999999999999)","(2.0, 2.64, 2.6)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.633333333333333)"
14-12-2022 14:07:39.470401,"(7.0, 9.2, 8.809999999999999)","(2.0, 2.68, 2.6)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.633333333333333)"
14-12-2022 14:07:40.407093,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.4560000000000004)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.633333333333333)"
14-12-2022 14:07:41.388290,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.3892307692307693)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.633333333333333)"
14-12-2022 14:07:42.365088,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.3892307692307693)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.633333333333333)"
14-12-2022 14:07:43.322863,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.545)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.633333333333333)"
14-12-2022 14:07:44.259273,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.545)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.633333333333333)"
14-12-2022 14:07:45.237702,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.545)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.571428571428571)"
14-12-2022 14:07:46.251198,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.545)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 14.0, 12.64)"
14-12-2022 14:07:47.229867,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.545)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 12.64)"
14-12-2022 14:07:48.087739,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.545)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 12.64)"
14-12-2022 14:07:48.990804,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.545)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.92)"
14-12-2022 14:07:49.973273,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.545)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.92)"
14-12-2022 14:07:50.969947,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.545)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.92)"
14-12-2022 14:07:51.908359,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.545)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.92)"
14-12-2022 14:07:52.803044,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.545)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.92)"
14-12-2022 14:07:53.685335,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.545)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.92)"
14-12-2022 14:07:54.645420,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.545)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.92)"
14-12-2022 14:07:55.552552,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.545)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.92)"
14-12-2022 14:07:56.489779,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.545)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.92)"
14-12-2022 14:07:57.411208,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.545)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.92)"
14-12-2022 14:07:58.352865,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.545)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.92)"
14-12-2022 14:07:59.362840,"(7.0, 9.4, 8.879999999999999)","(2.0, 2.68, 2.545)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.333333333333332)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.92)"
14-12-2022 14:08:00.299102,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.68, 2.545)","(2.5, 3.5, 3.37)","(21.0, 34.0, 23.333333333333332)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.92)"
14-12-2022 14:08:01.287378,"(7.0, 9.2, 9.028571428571428)","(2.0, 2.68, 2.545)","(2.5, 3.5, 3.37)","(21.0, 34.0, 30.444444444444443)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.92)"
14-12-2022 14:08:02.243534,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.36, 2.26)","(2.5, 3.5, 3.4)","(21.0, 34.0, 30.444444444444443)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.92)"
14-12-2022 14:08:03.183443,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.36, 2.235)","(2.5, 3.5, 3.4)","(21.0, 34.0, 30.444444444444443)","(17.0, 29.0, 20.333333333333332)","(7.5, 13.5, 10.92)"
14-12-2022 14:08:04.097935,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.68, 2.603076923076923)","(2.5, 3.5, 3.08)","(21.0, 34.0, 30.444444444444443)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.6)"
14-12-2022 14:08:04.978301,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.68, 2.603076923076923)","(2.5, 3.5, 3.08)","(21.0, 34.0, 30.444444444444443)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.6)"
14-12-2022 14:08:05.893867,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.68, 2.603076923076923)","(2.5, 3.5, 3.08)","(21.0, 34.0, 30.444444444444443)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
14-12-2022 14:08:06.873175,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 30.444444444444443)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
14-12-2022 14:08:07.843132,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 30.444444444444443)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
14-12-2022 14:08:08.842402,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 30.444444444444443)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
14-12-2022 14:08:09.778612,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 30.444444444444443)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
14-12-2022 14:08:10.696763,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 30.444444444444443)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
14-12-2022 14:08:11.630185,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 30.444444444444443)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
14-12-2022 14:08:12.535376,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 30.444444444444443)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
14-12-2022 14:08:13.489958,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 30.444444444444443)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
