,My Legacy,Hurricane Demi,Know Valour,Texas Jewel,Opawa Eric,Tin Lizzy,Idol Tayla,Know Dispute
09-01-2023 10:53:46.937515,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:53:48.053585,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:53:49.287654,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:53:50.511542,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:53:51.910937,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:53:53.214483,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:53:54.534916,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:53:55.765335,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:53:57.000765,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:53:58.195494,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:53:59.478425,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:00.688748,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:02.007460,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:03.231314,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:04.473154,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:05.672406,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:06.864777,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:08.088251,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:09.408052,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:10.703800,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:11.844984,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.15)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:13.300614,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.8, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:14.608288,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:15.903528,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:17.156580,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:18.342176,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:19.579466,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
