,Magic Bertie,Yankee Banner,Lumin,My Gal Val,Rich Paris,Toffee Street,Alesha Lily,Atlanna,Lady Merchant,World Action
08-12-2022 12:55:04.571053,"(10.0, 15.0, 14.522727272727273)","(101.0, 400.0, 387.14285714285717)","(9.0, 10.5, 9.851612903225806)","(26.0, 44.0, 42.285714285714285)","(2.7, 3.4, 3.389010989010989)","(3.6, 4.1, 3.94251968503937)","(19.0, 24.0, 21.51063829787234)","(61.0, 110.0, 99.41176470588235)","(41.0, 70.0, 69.28571428571429)","(4.2, 5.4, 5.372)"
08-12-2022 12:55:06.200810,"(10.0, 15.0, 14.522727272727273)","(101.0, 400.0, 387.14285714285717)","(9.0, 10.0, 10.153846153846153)","(26.0, 44.0, 42.285714285714285)","(2.7, 3.4, 3.39)","(3.6, 3.95, 3.9457627118644067)","(19.0, 23.0, 21.444444444444443)","(61.0, 110.0, 99.41176470588235)","(41.0, 70.0, 63.125)","(4.2, 5.4, 5.418181818181819)"
08-12-2022 12:55:07.831840,"(10.0, 15.0, 14.522727272727273)","(101.0, 400.0, 435.55555555555554)","(9.0, 10.5, 10.153846153846153)","(31.0, 44.0, 39.666666666666664)","(2.7, 3.45, 3.37)","(3.6, 3.95, 3.9457627118644067)","(19.0, 23.0, 21.384615384615383)","(61.0, 110.0, 99.41176470588235)","(41.0, 65.0, 63.125)","(4.2, 5.5, 5.483870967741936)"
08-12-2022 12:55:09.365022,"(10.0, 15.0, 14.522727272727273)","(101.0, 440.0, 436.3636363636364)","(9.0, 10.5, 10.153846153846153)","(31.0, 40.0, 39.666666666666664)","(2.7, 3.4, 3.37)","(3.6, 3.95, 3.9357894736842107)","(19.0, 23.0, 21.384615384615383)","(61.0, 110.0, 99.41176470588235)","(31.0, 65.0, 63.125)","(4.2, 5.6, 5.466666666666667)"
08-12-2022 12:55:10.860632,"(10.0, 15.0, 14.522727272727273)","(101.0, 440.0, 436.3636363636364)","(9.0, 10.5, 10.153846153846153)","(31.0, 40.0, 39.8)","(2.7, 3.4, 3.381818181818182)","(3.6, 3.95, 3.9357894736842107)","(19.0, 23.0, 21.384615384615383)","(61.0, 110.0, 99.41176470588235)","(31.0, 65.0, 63.125)","(4.2, 5.6, 5.504)"
08-12-2022 12:55:12.365078,"(10.0, 15.0, 14.522727272727273)","(101.0, 440.0, 436.3636363636364)","(9.0, 10.5, 10.557377049180328)","(26.0, 40.0, 39.666666666666664)","(2.7, 3.4, 3.3868131868131868)","(3.6, 3.95, 3.9357894736842107)","(19.0, 23.0, 21.384615384615383)","(61.0, 110.0, 99.41176470588235)","(31.0, 65.0, 62.857142857142854)","(4.2, 5.6, 5.508333333333333)"
08-12-2022 12:55:14.004844,"(10.0, 15.0, 14.522727272727273)","(101.0, 440.0, 436.3636363636364)","(9.0, 11.0, 10.515151515151516)","(26.0, 40.0, 39.666666666666664)","(2.7, 3.4, 3.3830985915492957)","(3.6, 3.95, 3.9357894736842107)","(19.0, 23.0, 21.555555555555557)","(61.0, 110.0, 99.41176470588235)","(31.0, 65.0, 63.63636363636363)","(4.2, 5.6, 5.523809523809524)"
08-12-2022 12:55:15.703292,"(10.0, 15.0, 14.522727272727273)","(101.0, 440.0, 436.52173913043475)","(9.0, 11.0, 10.515151515151516)","(26.0, 40.0, 39.666666666666664)","(2.7, 3.4, 3.381818181818182)","(3.6, 3.95, 3.9357894736842107)","(19.0, 22.0, 21.555555555555557)","(61.0, 110.0, 99.41176470588235)","(31.0, 65.0, 63.63636363636363)","(4.2, 5.6, 5.523809523809524)"
08-12-2022 12:55:17.343511,"(10.0, 15.0, 14.522727272727273)","(101.0, 440.0, 436.52173913043475)","(9.0, 11.0, 10.507462686567164)","(26.0, 40.0, 39.666666666666664)","(2.7, 3.4, 3.3777777777777778)","(3.6, 3.95, 3.9295652173913043)","(19.0, 22.0, 21.555555555555557)","(61.0, 110.0, 105.0)","(31.0, 65.0, 61.29032258064516)","(4.2, 5.6, 5.50625)"
08-12-2022 12:55:18.837314,"(10.0, 15.0, 14.522727272727273)","(101.0, 440.0, 435.55555555555554)","(9.0, 11.0, 10.507462686567164)","(26.0, 40.0, 39.666666666666664)","(2.7, 3.4, 3.365625)","(3.6, 3.95, 3.888495575221239)","(19.0, 22.0, 21.555555555555557)","(61.0, 110.0, 96.15384615384616)","(31.0, 65.0, 61.29032258064516)","(4.2, 5.6, 5.513333333333334)"
