,Arch Of Titus,Cmon Mate,Clendenning,Decider,Pharoah Magic,Sir Tom,Oakfield Macka,Pudacious,Bubbas Bay,Majeedis,Emphatic Bel,Misty Dreams
15-12-2022 14:39:37.127325,"(11.0, 14.5, 13.846153846153847)","(51.0, 85.0, 83.94736842105263)","(31.0, 44.0, 43.51724137931034)","(31.0, 40.0, 39.64)","(4.8, 5.4, 5.299050632911392)","(8.5, 11.0, 11.60655737704918)","(101.0, 400.0, 388.0)","(21.0, 26.0, 26.5)","(2.45, 2.64, 2.5992)","(12.0, 16.5, 16.1)","(15.0, 18.5, 18.123809523809523)","(17.0, 22.0, 21.612244897959183)"
15-12-2022 14:39:38.583635,"(11.0, 14.5, 13.951612903225806)","(51.0, 95.0, 83.94736842105263)","(31.0, 44.0, 45.24324324324324)","(31.0, 40.0, 39.8235294117647)","(4.8, 5.3, 5.380515759312321)","(8.5, 12.0, 11.342465753424657)","(101.0, 400.0, 388.0)","(21.0, 27.0, 26.666666666666668)","(2.45, 2.64, 2.6414634146341465)","(12.0, 16.5, 16.304347826086957)","(15.0, 18.5, 17.682481751824817)","(17.0, 22.0, 21.612244897959183)"
15-12-2022 14:39:39.994017,"(11.0, 14.5, 13.951612903225806)","(51.0, 95.0, 83.64864864864865)","(31.0, 46.0, 45.282051282051285)","(31.0, 42.0, 39.85507246376812)","(4.8, 5.4, 5.333333333333333)","(8.5, 12.0, 11.36)","(101.0, 400.0, 378.1818181818182)","(21.0, 27.0, 26.764705882352942)","(2.45, 2.68, 2.6405882352941177)","(12.0, 16.5, 15.033256880733944)","(15.0, 18.0, 17.665467625899282)","(17.0, 22.0, 21.612244897959183)"
15-12-2022 14:39:41.420592,"(11.0, 14.5, 14.254545454545454)","(51.0, 95.0, 83.64864864864865)","(31.0, 46.0, 45.282051282051285)","(31.0, 42.0, 39.85507246376812)","(4.8, 5.4, 5.333333333333333)","(8.5, 12.0, 11.141509433962264)","(101.0, 400.0, 385.7142857142857)","(21.0, 27.0, 26.81818181818182)","(2.45, 2.68, 2.64784)","(12.0, 15.5, 15.038548752834467)","(15.0, 18.0, 17.679310344827588)","(17.0, 22.0, 21.634615384615383)"
15-12-2022 14:39:42.862499,"(11.0, 14.5, 14.368932038834952)","(51.0, 95.0, 83.94736842105263)","(31.0, 46.0, 44.24561403508772)","(31.0, 42.0, 39.85507246376812)","(4.6, 5.4, 5.28551724137931)","(8.5, 11.5, 11.1125)","(101.0, 400.0, 385.7142857142857)","(20.0, 27.0, 26.6875)","(2.4, 2.68, 2.6384827586206896)","(12.0, 15.5, 14.574550128534705)","(15.0, 18.0, 17.692052980132452)","(17.0, 22.0, 21.634615384615383)"
15-12-2022 14:39:44.333890,"(11.0, 14.5, 14.373831775700936)","(51.0, 110.0, 91.27659574468085)","(31.0, 48.0, 44.808510638297875)","(31.0, 42.0, 39.85507246376812)","(4.6, 5.3, 5.28558352402746)","(8.5, 11.5, 11.132701421800947)","(101.0, 400.0, 340.0)","(20.0, 27.0, 26.705882352941178)","(2.4, 2.66, 2.6378823529411766)","(12.0, 15.5, 15.026582278481012)","(15.0, 18.0, 17.633858267716537)","(17.0, 22.0, 21.634615384615383)"
15-12-2022 14:39:45.766800,"(11.0, 14.5, 13.681818181818182)","(51.0, 110.0, 91.27659574468085)","(31.0, 48.0, 44.808510638297875)","(31.0, 42.0, 39.85507246376812)","(4.6, 5.3, 5.285211267605634)","(8.5, 11.5, 11.616788321167883)","(101.0, 400.0, 392.10526315789474)","(20.0, 27.0, 23.88235294117647)","(2.4, 2.64, 2.6742138364779877)","(12.0, 15.5, 15.021739130434783)","(15.0, 18.0, 17.640495867768596)","(17.0, 22.0, 22.616438356164384)"
15-12-2022 14:39:47.204292,"(11.0, 14.5, 13.925675675675675)","(61.0, 95.0, 93.51851851851852)","(31.0, 48.0, 44.808510638297875)","(31.0, 42.0, 39.85507246376812)","(4.6, 5.3, 5.289775561097256)","(8.5, 12.0, 11.531347962382446)","(101.0, 400.0, 392.10526315789474)","(20.0, 26.0, 23.81818181818182)","(2.35, 2.68, 2.6899264705882353)","(12.0, 15.5, 15.007894736842106)","(15.0, 18.0, 17.640495867768596)","(17.0, 23.0, 22.6056338028169)"
15-12-2022 14:39:48.591582,"(11.0, 14.5, 13.083333333333334)","(61.0, 95.0, 93.33333333333333)","(31.0, 48.0, 44.808510638297875)","(31.0, 42.0, 39.85507246376812)","(4.6, 5.3, 5.287378640776699)","(8.5, 12.0, 11.529673590504451)","(101.0, 400.0, 360.0)","(20.0, 26.0, 23.23076923076923)","(2.35, 2.7, 2.6632857142857143)","(12.0, 15.5, 15.00887573964497)","(15.0, 18.0, 17.532258064516128)","(17.0, 23.0, 22.55305466237942)"
15-12-2022 14:39:49.980165,"(11.0, 14.0, 13.025)","(61.0, 110.0, 95.33333333333333)","(31.0, 48.0, 46.18867924528302)","(31.0, 42.0, 39.6875)","(4.6, 5.3, 5.287378640776699)","(8.5, 12.0, 11.52827380952381)","(101.0, 400.0, 360.0)","(20.0, 26.0, 23.517241379310345)","(2.35, 2.7, 2.6627397260273975)","(12.0, 15.5, 14.714285714285714)","(15.0, 18.0, 17.714754098360658)","(17.0, 23.0, 22.55305466237942)"
15-12-2022 14:39:51.376886,"(11.0, 14.0, 13.22)","(61.0, 110.0, 87.55102040816327)","(31.0, 48.0, 46.18867924528302)","(31.0, 42.0, 39.96363636363636)","(4.6, 5.3, 5.287764705882353)","(8.5, 12.0, 11.521212121212121)","(101.0, 400.0, 370.0)","(20.0, 26.0, 26.5)","(2.35, 2.68, 2.6672727272727275)","(12.0, 15.0, 14.5625)","(15.0, 18.0, 17.714754098360658)","(17.0, 23.0, 22.544303797468356)"
15-12-2022 14:39:52.764123,"(11.0, 14.0, 13.8)","(61.0, 110.0, 90.35714285714286)","(31.0, 48.0, 44.93617021276596)","(31.0, 42.0, 39.96363636363636)","(4.6, 5.3, 5.28590785907859)","(8.5, 12.0, 11.233490566037736)","(101.0, 400.0, 370.0)","(20.0, 28.0, 26.5)","(2.35, 2.7, 2.73)","(12.0, 15.0, 14.622448979591837)","(15.0, 18.0, 17.694736842105264)","(17.0, 23.0, 22.544303797468356)"
15-12-2022 14:39:54.287637,"(12.0, 14.0, 13.8)","(61.0, 110.0, 92.04081632653062)","(31.0, 48.0, 45.06122448979592)","(31.0, 42.0, 39.81818181818182)","(4.6, 5.3, 5.288452655889145)","(8.5, 12.0, 11.51780415430267)","(101.0, 400.0, 370.0)","(20.0, 28.0, 26.857142857142858)","(2.35, 2.76, 2.6427586206896554)","(12.0, 15.0, 14.71259842519685)","(15.0, 18.0, 17.694736842105264)","(17.0, 23.0, 22.544303797468356)"
15-12-2022 14:39:56.111576,"(12.0, 14.0, 13.969696969696969)","(61.0, 110.0, 100.22222222222223)","(31.0, 48.0, 46.22222222222222)","(31.0, 40.0, 39.80392156862745)","(4.6, 5.3, 5.443589743589744)","(8.5, 12.0, 10.11875)","(101.0, 400.0, 352.5)","(20.0, 28.0, 23.0)","(2.35, 2.66, 2.701538461538462)","(12.0, 15.0, 14.71259842519685)","(15.0, 18.0, 17.6)","(17.0, 23.0, 22.577557755775576)"
15-12-2022 14:39:57.553727,"(12.0, 14.0, 13.969696969696969)","(61.0, 110.0, 100.22222222222223)","(31.0, 48.0, 45.03225806451613)","(31.0, 42.0, 40.13793103448276)","(4.6, 5.5, 5.433333333333334)","(8.5, 11.5, 9.93265306122449)","(101.0, 450.0, 343.6363636363636)","(20.0, 28.0, 23.869565217391305)","(2.35, 2.74, 2.752911392405063)","(12.0, 15.0, 14.6)","(15.0, 18.0, 17.63157894736842)","(17.0, 23.0, 22.533762057877812)"
15-12-2022 14:39:59.135600,"(12.0, 14.0, 13.961538461538462)","(61.0, 110.0, 91.66666666666667)","(31.0, 48.0, 44.8)","(31.0, 42.0, 39.833333333333336)","(4.6, 5.5, 5.426315789473684)","(8.5, 10.0, 10.395419847328245)","(101.0, 450.0, 343.6363636363636)","(20.0, 27.0, 22.666666666666668)","(2.4, 2.8, 2.796725352112676)","(12.0, 15.0, 14.47196261682243)","(15.0, 18.0, 17.60747663551402)","(17.0, 23.0, 22.511784511784512)"
15-12-2022 14:40:00.760697,"(12.0, 14.0, 13.961538461538462)","(61.0, 100.0, 91.66666666666667)","(31.0, 48.0, 44.8)","(31.0, 40.0, 39.833333333333336)","(4.6, 5.5, 5.428)","(8.5, 11.0, 10.3952)","(101.0, 450.0, 343.6363636363636)","(20.0, 26.0, 23.307692307692307)","(2.35, 2.8, 2.796552962298025)","(12.0, 14.5, 14.458715596330276)","(15.0, 18.0, 17.54891304347826)","(17.0, 23.0, 22.526515151515152)"
15-12-2022 14:40:02.316191,"(12.0, 14.0, 13.933333333333334)","(61.0, 100.0, 91.66666666666667)","(31.0, 50.0, 45.36363636363637)","(31.0, 40.0, 39.714285714285715)","(4.6, 5.5, 5.428)","(8.5, 11.0, 10.3952)","(101.0, 450.0, 343.6363636363636)","(20.0, 26.0, 23.307692307692307)","(2.35, 2.8, 2.796552962298025)","(12.0, 14.5, 14.454545454545455)","(15.0, 18.0, 17.58888888888889)","(17.0, 23.0, 22.521035598705502)"
15-12-2022 14:40:03.920460,"(12.0, 14.0, 13.818181818181818)","(61.0, 90.0, 85.0)","(31.0, 50.0, 45.36363636363637)","(31.0, 40.0, 38.666666666666664)","(4.6, 5.5, 5.444117647058824)","(8.5, 10.5, 10.344444444444445)","(101.0, 450.0, 343.6363636363636)","(19.0, 23.0, 22.533333333333335)","(2.35, 2.8, 2.796678200692041)","(12.0, 14.5, 14.457627118644067)","(15.0, 18.0, 17.633663366336634)","(17.0, 23.0, 22.523364485981308)"
15-12-2022 14:40:05.682259,"(12.0, 14.0, 13.64516129032258)","(61.0, 90.0, 86.25)","(31.0, 50.0, 45.5)","(31.0, 40.0, 39.76470588235294)","(4.6, 5.5, 5.491044776119403)","(8.5, 10.5, 10.125)","(101.0, 450.0, 372.0)","(19.0, 23.0, 24.142857142857142)","(2.4, 2.8, 2.8266666666666667)","(12.0, 13.0, 12.930769230769231)","(15.0, 18.0, 17.645833333333332)","(18.0, 23.0, 22.517350157728707)"
15-12-2022 14:40:07.508493,"(12.0, 14.0, 13.5)","(61.0, 90.0, 86.25)","(31.0, 48.0, 44.875)","(31.0, 40.0, 39.76470588235294)","(4.6, 5.5, 5.515151515151515)","(8.5, 10.5, 10.2375)","(101.0, 450.0, 366.42857142857144)","(19.0, 25.0, 24.142857142857142)","(2.4, 2.84, 2.833939393939394)","(12.0, 14.0, 13.444444444444445)","(15.0, 18.0, 17.796812749003983)","(18.0, 22.0, 21.575)"
15-12-2022 14:40:09.261879,"(12.0, 14.0, 13.901785714285714)","(61.0, 90.0, 87.0)","(31.0, 48.0, 44.875)","(31.0, 40.0, 39.76470588235294)","(4.6, 5.6, 5.532653061224489)","(8.5, 10.5, 10.15774647887324)","(101.0, 450.0, 385.0)","(19.0, 25.0, 21.5)","(2.4, 2.84, 2.766)","(11.0, 14.0, 13.705882352941176)","(15.0, 18.0, 17.77433628318584)","(18.0, 22.0, 21.72151898734177)"
15-12-2022 14:40:10.844222,"(12.0, 14.0, 13.911290322580646)","(61.0, 90.0, 86.66666666666667)","(31.0, 48.0, 44.774193548387096)","(31.0, 40.0, 39.78947368421053)","(4.6, 5.6, 5.562068965517241)","(8.5, 10.5, 9.940000000000001)","(101.0, 450.0, 388.42105263157896)","(19.0, 22.0, 20.22222222222222)","(2.4, 2.84, 2.7781081081081083)","(11.0, 14.0, 13.814814814814815)","(15.0, 18.0, 17.530864197530864)","(18.0, 22.0, 21.685393258426966)"
