,Heza Western,Always A Celebrity,Pinkie Promise,Fortitudo,Bezzaboma,Classic Reactor,Robert Crocka,Gotonebettor,Jay Miller
10-01-2023 21:03:30.215994,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:03:31.558887,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:03:33.019895,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:03:34.398909,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:03:35.804024,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:03:37.306893,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:03:38.695347,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:03:40.224534,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:03:41.541816,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:03:42.786713,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:03:44.280417,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:03:45.791849,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:03:47.114846,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:03:48.578337,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:03:50.017683,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:03:51.460567,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
