,Idol First,Goldstar Noodle,Know Ego,Broken Bonds,Irish Coffee,Know Will,Infinity One,Got Faith
09-01-2023 10:21:37.548718,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 9.2, 4.592592592592593)","(2.5, 6.6, 3.608421052631579)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:21:38.694826,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 9.2, 4.592592592592593)","(2.5, 6.6, 3.608421052631579)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:21:39.762580,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 9.2, 4.592592592592593)","(2.5, 6.6, 3.608421052631579)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:21:40.828219,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 9.2, 4.592592592592593)","(2.5, 6.6, 3.608421052631579)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:21:41.959638,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 9.2, 4.592592592592593)","(2.5, 6.6, 3.608421052631579)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:21:43.057754,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 9.2, 4.592592592592593)","(2.5, 6.6, 3.608421052631579)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:21:44.200796,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 9.2, 4.592592592592593)","(2.5, 6.6, 3.608421052631579)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:21:45.277240,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 9.2, 4.592592592592593)","(2.5, 6.6, 3.608421052631579)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:21:46.356774,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 9.2, 4.488888888888889)","(2.5, 6.6, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:21:47.447812,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:21:48.570796,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:21:49.695165,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:21:50.848914,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:21:51.990731,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:21:53.050976,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:21:54.157866,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:21:55.237498,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
