,In Chevron We Trust Nz,Motu Amethyst Nz,Yogi,Precious Cullen Nz,Lifeinheaven,Miss Pau,Tell Me This Nz,Tracer Bullet,The Harris Hawk
11-01-2023 18:02:09.569328,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 38.0, 30.333333333333336)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 12.0, 9.9)"
11-01-2023 18:02:11.272719,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 36.0, 30.333333333333336)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 12.0, 9.9)"
11-01-2023 18:02:12.999025,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 36.0, 30.333333333333336)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 12.0, 9.9)"
11-01-2023 18:02:14.884742,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 36.0, 30.333333333333336)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 12.0, 9.9)"
11-01-2023 18:02:17.154346,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 36.0, 30.333333333333336)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 12.0, 9.9)"
11-01-2023 18:02:19.097010,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 36.0, 30.333333333333336)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 12.0, 9.9)"
11-01-2023 18:02:20.474687,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 36.0, 30.333333333333336)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 12.0, 9.9)"
11-01-2023 18:02:22.010115,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 36.0, 30.333333333333336)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 12.0, 11.0)"
11-01-2023 18:02:23.454418,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 36.0, 30.333333333333336)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 12.0, 11.0)"
11-01-2023 18:02:24.982094,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 36.0, 30.333333333333336)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 12.0, 11.0)"
