,Betterthanfederer,Rocktagonal,Despondent,Gottashopearly,Geldof,Surf Ace,Hy Voltage,Boyzhavtime Nz,Portalegre Nz,Johnson Step Nz
10-01-2023 18:56:51.701240,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:56:53.287234,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:56:54.767517,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:56:56.194183,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:56:57.571851,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:56:58.886416,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:00.241895,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:01.562808,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:02.927628,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:04.251095,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
