,Runaway To Mars,Fix You,Call Me Trinity,Canya Mia,Eugenius,Fortified Mack
07-12-2022 20:28:34.887041,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 720.0, 390.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 19.575)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:35.996506,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 720.0, 390.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.481818181818184)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:37.105682,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 720.0, 390.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.240000000000002)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:38.165879,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 720.0, 390.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.2)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:39.316345,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.2)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:40.454858,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:41.465481,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:42.492123,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:43.466699,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:44.497119,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
