,Olympic Gaze,Zegalo,Villaden,Shafty,Endorphins,Just Business,Lumber Dream,Real Peace
04-01-2023 14:43:49.864630,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.193854748603352)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.6, 7.502325581395349)","(19.0, 24.0, 22.3125)","(15.0, 24.0, 19.6)","(6.0, 9.4, 8.566666666666666)"
04-01-2023 14:43:51.042649,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.193854748603352)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.6, 7.502325581395349)","(19.0, 24.0, 22.3125)","(15.0, 24.0, 19.6)","(6.0, 9.4, 8.566666666666666)"
04-01-2023 14:43:52.277800,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.193854748603352)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.6, 7.502325581395349)","(19.0, 24.0, 22.3125)","(15.0, 24.0, 19.6)","(6.0, 9.4, 8.566666666666666)"
04-01-2023 14:43:53.497117,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.193854748603352)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.6, 7.502325581395349)","(19.0, 24.0, 22.3125)","(15.0, 24.0, 19.6)","(6.0, 9.4, 8.566666666666666)"
04-01-2023 14:43:54.697306,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.193854748603352)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.6, 7.502325581395349)","(19.0, 24.0, 22.3125)","(15.0, 24.0, 19.6)","(6.0, 9.4, 8.566666666666666)"
04-01-2023 14:43:55.928472,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.6, 7.502325581395349)","(19.0, 24.0, 22.3125)","(15.0, 24.0, 19.6)","(6.0, 9.4, 8.566666666666666)"
04-01-2023 14:43:57.152806,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.6, 7.502325581395349)","(19.0, 24.0, 22.3125)","(15.0, 24.0, 19.6)","(6.0, 9.4, 8.566666666666666)"
04-01-2023 14:43:58.368176,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.6, 7.502325581395349)","(19.0, 24.0, 22.3125)","(15.0, 24.0, 19.6)","(6.0, 9.4, 8.566666666666666)"
04-01-2023 14:43:59.573100,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.6, 7.502325581395349)","(19.0, 24.0, 22.3125)","(15.0, 24.0, 19.6)","(6.0, 9.4, 8.566666666666666)"
04-01-2023 14:44:00.792717,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.6, 7.502325581395349)","(19.0, 24.0, 22.3125)","(15.0, 24.0, 19.6)","(6.0, 9.4, 8.566666666666666)"
04-01-2023 14:44:02.085441,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.6, 7.502325581395349)","(19.0, 24.0, 22.3125)","(15.0, 24.0, 19.6)","(6.0, 9.4, 8.566666666666666)"
