,Evanlee,Mechanics Kismet,Lamont Bale,Our Watto,Forcefully,Sonic Sammy
12-01-2023 15:21:28.151752,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:29.137223,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:30.102231,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:31.091377,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:32.094429,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:32.990251,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:34.028596,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:35.061033,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:36.073040,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:37.052332,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:38.139184,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:39.168858,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:40.195004,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:41.214264,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:42.255081,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:43.309440,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:44.340572,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:45.352458,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:46.448780,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:47.473674,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:48.403224,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
