,Redwana,Flaming Homer,City Mission,Pretty Slick,Twisted Sister,Levalet,Kingmate,Mishani Jet,Mishani Merlot
06-01-2023 13:21:58.694257,"(8.5, 13.5, 13.142857142857142)","(6.5, 8.8, 8.394594594594594)","(7.5, 9.2, 9.08)","(2.0, 2.46, 2.4417391304347826)","(4.0, 5.3, 5.188888888888888)","(13.0, 25.0, 23.285714285714285)","(31.0, 50.0, 45.2)","(101.0, 200.0, 160.625)","(101.0, 230.0, 226.42857142857144)"
06-01-2023 13:22:00.021823,"(8.5, 13.5, 13.142857142857142)","(6.5, 8.8, 8.394594594594594)","(7.5, 9.2, 9.08)","(2.0, 2.46, 2.4417391304347826)","(4.0, 5.3, 5.188888888888888)","(13.0, 25.0, 23.285714285714285)","(31.0, 50.0, 45.2)","(101.0, 200.0, 160.625)","(101.0, 230.0, 226.42857142857144)"
06-01-2023 13:22:01.203717,"(8.5, 13.5, 13.142857142857142)","(6.5, 8.8, 8.394594594594594)","(7.5, 9.2, 9.08)","(2.0, 2.46, 2.4417391304347826)","(4.0, 5.3, 5.188888888888888)","(13.0, 25.0, 23.285714285714285)","(31.0, 50.0, 45.2)","(101.0, 200.0, 160.625)","(101.0, 230.0, 226.42857142857144)"
06-01-2023 13:22:02.414546,"(8.5, 13.5, 13.142857142857142)","(6.5, 8.8, 8.394594594594594)","(7.5, 9.2, 9.08)","(2.0, 2.46, 2.4417391304347826)","(4.0, 5.3, 5.188888888888888)","(13.0, 25.0, 23.285714285714285)","(31.0, 50.0, 45.2)","(101.0, 200.0, 160.625)","(101.0, 230.0, 226.42857142857144)"
06-01-2023 13:22:03.713967,"(8.5, 13.5, 13.142857142857142)","(6.5, 8.8, 8.394594594594594)","(7.5, 9.2, 9.08)","(2.0, 2.46, 2.4417391304347826)","(4.0, 5.3, 5.188888888888888)","(13.0, 25.0, 23.285714285714285)","(31.0, 50.0, 45.2)","(101.0, 200.0, 160.625)","(101.0, 230.0, 226.42857142857144)"
06-01-2023 13:22:04.955245,"(8.5, 13.5, 13.142857142857142)","(6.5, 8.8, 8.394594594594594)","(7.5, 9.2, 9.08)","(2.0, 2.46, 2.4417391304347826)","(4.0, 5.3, 5.188888888888888)","(13.0, 25.0, 23.285714285714285)","(31.0, 50.0, 45.2)","(101.0, 200.0, 160.625)","(101.0, 230.0, 226.42857142857144)"
06-01-2023 13:22:06.217473,"(8.5, 13.5, 13.142857142857142)","(6.5, 8.8, 8.394594594594594)","(7.5, 9.2, 9.08)","(2.0, 2.46, 2.4417391304347826)","(4.0, 5.3, 5.188888888888888)","(13.0, 25.0, 23.285714285714285)","(31.0, 50.0, 45.2)","(101.0, 200.0, 160.625)","(101.0, 230.0, 226.42857142857144)"
06-01-2023 13:22:07.412290,"(8.5, 13.5, 13.142857142857142)","(6.5, 8.8, 8.394594594594594)","(7.5, 9.2, 9.08)","(2.0, 2.46, 2.4417391304347826)","(4.0, 5.3, 5.188888888888888)","(13.0, 25.0, 23.285714285714285)","(31.0, 50.0, 45.2)","(101.0, 200.0, 160.625)","(101.0, 230.0, 226.42857142857144)"
06-01-2023 13:22:08.579507,"(8.5, 13.5, 13.142857142857142)","(6.5, 8.8, 8.394594594594594)","(7.5, 9.2, 9.08)","(2.0, 2.46, 2.4417391304347826)","(4.0, 5.3, 5.188888888888888)","(13.0, 25.0, 23.285714285714285)","(31.0, 50.0, 45.2)","(101.0, 200.0, 160.625)","(101.0, 230.0, 226.42857142857144)"
06-01-2023 13:22:10.155904,"(8.5, 13.5, 13.142857142857142)","(6.5, 8.8, 8.394594594594594)","(7.5, 9.2, 9.08)","(2.0, 2.46, 2.4417391304347826)","(4.0, 5.3, 5.188888888888888)","(13.0, 25.0, 23.285714285714285)","(31.0, 50.0, 45.2)","(101.0, 200.0, 160.625)","(101.0, 230.0, 226.42857142857144)"
