,Yeva Bale,Jagora Bale,Blazing Tokyo,Under The Thumb,Mr Natural,Freeway Split,Zinnia Herrera
0,"[datetime.datetime(2022, 11, 28, 17, 54, 9, 25755), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 17, 54, 9, 25755), 14.0, 36.0]","[datetime.datetime(2022, 11, 28, 17, 54, 9, 25755), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 17, 54, 9, 25755), 2.4, 4.1]","[datetime.datetime(2022, 11, 28, 17, 54, 9, 25755), 2.4, 3.75]","[datetime.datetime(2022, 11, 28, 17, 54, 9, 25755), 8.5, 19.0]","[datetime.datetime(2022, 11, 28, 17, 54, 9, 25755), 10.0, 23.0]"
1,"[datetime.datetime(2022, 11, 28, 17, 54, 10, 183900), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 183900), 14.0, 36.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 183900), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 183900), 2.4, 4.1]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 183900), 2.4, 3.75]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 183900), 8.5, 19.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 183900), 10.0, 23.0]"
2,"[datetime.datetime(2022, 11, 28, 17, 54, 11, 323309), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 323309), 14.0, 36.0]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 323309), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 323309), 2.4, 4.1]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 323309), 2.4, 3.75]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 323309), 8.5, 19.0]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 323309), 10.0, 23.0]"
3,"[datetime.datetime(2022, 11, 28, 17, 54, 12, 486715), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 486715), 14.0, 36.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 486715), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 486715), 2.4, 4.1]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 486715), 2.4, 3.75]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 486715), 8.5, 19.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 486715), 10.0, 23.0]"
4,"[datetime.datetime(2022, 11, 28, 17, 54, 13, 653323), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 653323), 14.0, 36.0]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 653323), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 653323), 2.4, 4.1]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 653323), 2.4, 3.75]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 653323), 8.5, 19.0]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 653323), 10.0, 23.0]"
5,"[datetime.datetime(2022, 11, 28, 17, 54, 14, 807254), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 807254), 14.0, 36.0]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 807254), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 807254), 2.4, 4.1]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 807254), 2.4, 3.75]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 807254), 8.5, 19.0]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 807254), 10.0, 23.0]"
6,"[datetime.datetime(2022, 11, 28, 17, 54, 15, 993718), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 993718), 14.0, 36.0]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 993718), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 993718), 2.4, 4.1]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 993718), 2.4, 3.75]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 993718), 8.5, 19.0]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 993718), 10.0, 23.0]"
7,"[datetime.datetime(2022, 11, 28, 17, 54, 17, 159775), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 159775), 14.0, 36.0]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 159775), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 159775), 2.4, 4.1]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 159775), 2.4, 3.75]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 159775), 8.5, 19.0]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 159775), 10.0, 23.0]"
8,"[datetime.datetime(2022, 11, 28, 17, 54, 18, 311171), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 311171), 14.0, 36.0]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 311171), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 311171), 2.4, 4.1]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 311171), 2.4, 3.75]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 311171), 8.5, 19.0]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 311171), 10.0, 23.0]"
9,"[datetime.datetime(2022, 11, 28, 17, 54, 19, 429024), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 429024), 14.0, 36.0]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 429024), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 429024), 2.4, 4.1]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 429024), 2.4, 3.75]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 429024), 8.5, 19.0]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 429024), 10.0, 23.0]"
