,Over The Bridge,Sambuca Talks,Stimulus Package,Influencer,Chief In Charge,Lektra Asha
14-12-2022 13:59:56.613637,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 13:59:57.660411,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 13:59:58.683423,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 13:59:59.745539,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:00.955260,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:02.081778,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:03.127816,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:04.220903,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:05.178812,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:06.212371,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
