,Aston Simpkin,Zac The Black,Master Mars,Minnesota Nights,Cockney Sparrow,Frankies Vision,Dixie Zambora,Spot On Ginger
09-01-2023 11:43:53.761527,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:43:54.848993,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:43:55.984143,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:43:57.030174,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:43:58.139627,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:43:59.274926,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:00.477498,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:01.725619,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:02.879555,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:04.026165,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
