,Goldstar Toby,Gitan,Humbling,Goldstar Carlito,Opawa Conan,Opawa Kyle,Zipping Ontario,Epic Cruze
15-12-2022 15:39:07.504018,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:08.679912,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:09.823321,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:10.961544,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:12.142581,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:13.329251,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:14.350546,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:15.470215,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:16.585996,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:17.698550,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:18.861052,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:20.047878,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:21.123768,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:22.160780,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:23.164212,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:24.209159,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:25.313115,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:26.382348,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:27.536774,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:28.691879,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:29.850063,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:31.072267,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:32.331013,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:33.447072,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:34.644379,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:35.796851,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:36.887773,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:38.035001,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:39.191301,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:40.316704,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:41.677598,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:42.960450,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:44.269763,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:45.543560,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
