,Delightful Mia,Jilliby Willow,Ajay Breezy Rose,Story To Tell,Gossip Girl Nz,Lady Lani,Ruby Wingate,Celestialfragrance,Sassyola,Orbie
07-01-2023 17:11:19.342911,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:20.619125,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:21.932499,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:23.237859,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:24.549180,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:25.941419,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:27.277058,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:28.608853,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:29.915104,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:31.249815,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:32.602912,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:33.914941,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:35.195032,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:36.408040,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:37.641110,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:38.960028,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
