,Comical Cyndie,Go Hard Son,Thumbs Up,Mahuika,Once Again,Clever Eva,Trinity Ann,Shes A Cracker
11-01-2023 14:15:08.513182,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:09.510882,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:10.563393,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:11.641955,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:12.721126,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:13.810803,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:14.901601,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:16.019705,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:17.119713,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:18.186503,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:19.411848,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:20.571713,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 42.5)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:21.695753,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 42.5)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:22.736306,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:23.953795,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:25.244790,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:26.490663,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:27.667652,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:28.856020,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:29.883669,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:30.958379,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:32.124677,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:33.347958,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:34.597498,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:35.797358,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:36.922606,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:38.176877,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:39.305293,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:40.484333,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:41.671144,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:42.844704,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:43.847319,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:44.952256,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:46.078078,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:47.171228,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:48.289345,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:49.363116,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:50.746409,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:51.864734,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:52.945389,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:54.034674,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:55.072828,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:56.195150,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:57.307067,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:58.432853,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:15:59.443156,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:00.587518,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:01.687688,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
