,Scarletts Gem,Raja Ampat,His Keen,Seabrook Baker,Tommy Tuna,Im Full On,Chilli Cherry
12-01-2023 14:09:08.640277,"(4.6, 9.4, 6.466666666666667)","(51.0, 450.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 595.0)","(7.5, 15.0, 10.745454545454546)","(51.0, 390.0, 268.0)","(4.4, 8.8, 5.258823529411765)"
12-01-2023 14:09:09.831609,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.0, 11.4)","(51.0, 380.0, 167.57142857142858)","(4.4, 8.8, 5.258823529411765)"
12-01-2023 14:09:11.066515,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.0, 11.4)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.8, 5.258823529411765)"
12-01-2023 14:09:12.319006,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.0, 11.4)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.8, 7.574999999999999)"
12-01-2023 14:09:13.551266,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.0, 11.4)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.574999999999999)"
12-01-2023 14:09:14.880224,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.0, 11.4)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.266666666666666)"
12-01-2023 14:09:16.210257,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.0, 11.4)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.266666666666666)"
12-01-2023 14:09:17.514648,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.0, 11.4)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.266666666666666)"
12-01-2023 14:09:18.889392,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.0, 11.4)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.266666666666666)"
12-01-2023 14:09:20.185966,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.0, 11.4)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.266666666666666)"
12-01-2023 14:09:21.484926,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.0, 11.4)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.266666666666666)"
12-01-2023 14:09:22.799366,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.0, 11.4)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.266666666666666)"
