,Peking Goose,Shutdown,Farmor Order,Free Drop,Just Like Honey,Money Tears,Skyline,Big Nose Ted
07-01-2023 17:23:55.089976,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:23:56.305261,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:23:57.509800,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:23:58.571026,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:23:59.707719,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:00.812058,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:02.033189,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:03.326347,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:04.518384,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:05.701652,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:06.812525,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:07.922593,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:09.054170,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:10.112224,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:11.249476,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:12.349714,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:13.461679,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:14.553427,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:15.812751,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:16.816980,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:17.793991,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:18.958112,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:20.007650,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:21.024327,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(5.5, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:22.025576,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(6.0, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:22.963351,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(6.0, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:24.011909,"(61.0, 550.0, 150.0)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(6.0, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:25.037612,"(61.0, 540.0, 131.66666666666669)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(6.0, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:26.084084,"(61.0, 540.0, 131.66666666666669)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(6.0, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
07-01-2023 17:24:27.092877,"(61.0, 540.0, 131.66666666666669)","(3.3, 4.5, 4.328571428571428)","(16.0, 44.0, 27.88888888888889)","(6.0, 9.6, 7.92)","(4.2, 7.6, 4.72)","(3.9, 9.0, 5.666666666666667)","(9.0, 19.0, 17.4)","(5.5, 10.5, 7.135294117647058)"
