,Divine Flirt,Blue Eyed Girl,Distorted Secrets,Scenic Eclipse,Startedwithakiss,Red Cadillac,See Ya Champ,Lady Tornado,Fire And Gold,Heartly,Luna Nobel
14-12-2022 18:56:50.237946,"(6.0, 7.6, 7.51)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 165.71428571428572)","(4.6, 5.3, 5.141935483870967)","(21.0, 48.0, 38.8)","(5.0, 6.6, 6.253846153846154)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 280.0, 210.0)","(71.0, 300.0, 160.0)"
14-12-2022 18:56:51.774895,"(6.0, 7.6, 7.51)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 165.71428571428572)","(4.6, 5.3, 5.141935483870967)","(21.0, 48.0, 38.8)","(5.0, 6.6, 6.253846153846154)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 280.0, 210.0)","(71.0, 300.0, 160.0)"
14-12-2022 18:56:53.151283,"(6.0, 7.6, 7.51)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 165.71428571428572)","(4.6, 5.3, 5.141935483870967)","(21.0, 48.0, 38.8)","(5.0, 6.6, 6.253846153846154)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 280.0, 210.0)","(71.0, 300.0, 160.0)"
14-12-2022 18:56:54.589858,"(6.0, 7.6, 7.51)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 165.71428571428572)","(4.6, 5.3, 5.141935483870967)","(21.0, 48.0, 38.8)","(5.0, 6.6, 6.253846153846154)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 280.0, 210.0)","(71.0, 300.0, 160.0)"
14-12-2022 18:56:56.116320,"(6.0, 7.6, 7.485714285714286)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 165.71428571428572)","(4.6, 5.3, 5.141935483870967)","(21.0, 48.0, 38.8)","(5.0, 6.6, 6.253846153846154)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 280.0, 210.0)","(71.0, 300.0, 156.66666666666669)"
14-12-2022 18:56:57.707423,"(6.0, 7.6, 7.485714285714286)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 165.71428571428572)","(4.6, 5.3, 5.141935483870967)","(21.0, 48.0, 38.8)","(5.0, 6.6, 6.253846153846154)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 280.0, 210.0)","(71.0, 290.0, 156.66666666666669)"
14-12-2022 18:56:59.273492,"(6.0, 7.6, 7.485714285714286)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 165.71428571428572)","(4.6, 5.3, 5.141935483870967)","(21.0, 48.0, 38.8)","(5.0, 6.6, 6.253846153846154)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 280.0, 210.0)","(71.0, 290.0, 156.66666666666669)"
14-12-2022 18:57:00.821298,"(6.0, 7.6, 7.485714285714286)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 165.71428571428572)","(4.6, 5.3, 5.141935483870967)","(21.0, 48.0, 38.8)","(5.0, 6.6, 6.253846153846154)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 280.0, 210.0)","(71.0, 290.0, 156.66666666666669)"
14-12-2022 18:57:02.294017,"(6.0, 7.6, 7.485714285714286)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 165.71428571428572)","(4.6, 5.3, 5.141935483870967)","(21.0, 48.0, 38.8)","(5.0, 6.6, 6.253846153846154)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 280.0, 210.0)","(71.0, 290.0, 156.66666666666669)"
14-12-2022 18:57:03.891525,"(6.0, 7.6, 7.485714285714286)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 165.71428571428572)","(4.6, 5.3, 5.141935483870967)","(21.0, 48.0, 38.8)","(5.0, 6.6, 6.3352941176470585)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 280.0, 210.0)","(71.0, 290.0, 91.0)"
