,Golden Skyrocket,Deadly Rookie,Egyptian Tiger,Dundee Hornet,Pacific Rock,Bankrupt,Superior Tom,Glyos Move
05-01-2023 15:35:56.949121,"(5.0, 9.6, 5.571428571428572)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.75)"
05-01-2023 15:35:58.113466,"(5.0, 9.6, 5.571428571428572)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.75)"
05-01-2023 15:35:59.257848,"(5.0, 9.6, 5.571428571428572)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.75)"
05-01-2023 15:36:00.340043,"(5.0, 9.6, 5.571428571428572)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.75)"
05-01-2023 15:36:01.443771,"(5.0, 9.6, 5.571428571428572)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.75)"
05-01-2023 15:36:02.545789,"(5.0, 9.6, 5.571428571428572)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.75)"
05-01-2023 15:36:03.633177,"(5.0, 9.6, 5.571428571428572)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.75)"
05-01-2023 15:36:04.782703,"(5.0, 9.6, 5.571428571428572)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.75)"
05-01-2023 15:36:05.921050,"(5.0, 9.6, 5.571428571428572)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.75)"
05-01-2023 15:36:07.049968,"(5.0, 9.6, 5.571428571428572)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.75)"
05-01-2023 15:36:08.138257,"(5.0, 9.6, 5.571428571428572)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.75)"
05-01-2023 15:36:09.190426,"(5.0, 9.6, 5.571428571428572)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.75)"
05-01-2023 15:36:10.249868,"(5.0, 9.6, 5.571428571428572)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.75)"
05-01-2023 15:36:11.329873,"(5.0, 9.6, 5.571428571428572)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.75)"
05-01-2023 15:36:12.384772,"(5.0, 9.6, 5.571428571428572)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.75)"
05-01-2023 15:36:13.470035,"(5.0, 9.6, 5.571428571428572)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 52.625)"
05-01-2023 15:36:14.526582,"(5.0, 9.6, 7.147826086956522)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:15.637505,"(5.0, 9.6, 7.147826086956522)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:16.634009,"(5.0, 9.6, 7.147826086956522)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:17.650324,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:18.723911,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:19.838326,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:20.963241,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:22.056874,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:23.111629,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:24.146390,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:25.183997,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:26.216861,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:27.295769,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:28.396357,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:29.535277,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:30.654689,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:31.702486,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:32.863012,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:33.954730,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:35.041454,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:36.152670,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:37.381442,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:38.511245,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:39.710960,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:40.759876,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
