,Sweet Obsidian,Invisible Light,Team Staffing,Down Under Boy,Awe Shanks,Beans Multi,Dessert Girl,Arkansas Red
11-01-2023 21:30:56.906306,"(3.8, 6.0, 5.189473684210526)","(3.0, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.3, 5.4, 3.475)","(5.5, 9.2, 6.16)","(31.0, 230.0, 92.92307692307692)","(19.0, 75.0, 34.27272727272727)","(12.0, 34.0, 21.77777777777778)"
11-01-2023 21:30:57.991002,"(3.8, 6.0, 5.189473684210526)","(3.0, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.3, 5.4, 3.475)","(5.5, 9.6, 6.16)","(31.0, 230.0, 120.0)","(19.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.5)"
11-01-2023 21:30:59.180869,"(3.8, 6.0, 5.189473684210526)","(3.0, 5.2, 3.6999999999999997)","(9.0, 19.0, 13.8)","(3.3, 5.4, 4.031818181818182)","(5.5, 9.6, 6.16)","(31.0, 230.0, 120.0)","(19.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.5)"
11-01-2023 21:31:00.281765,"(3.8, 6.0, 5.189473684210526)","(3.0, 5.2, 3.6999999999999997)","(9.0, 19.0, 13.8)","(3.3, 5.4, 4.031818181818182)","(5.5, 9.6, 6.16)","(31.0, 230.0, 120.0)","(19.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.5)"
11-01-2023 21:31:01.296344,"(3.8, 6.0, 5.189473684210526)","(3.0, 5.2, 3.6999999999999997)","(9.0, 19.0, 13.8)","(3.3, 5.4, 4.031818181818182)","(5.5, 9.6, 6.16)","(31.0, 230.0, 120.0)","(19.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.5)"
11-01-2023 21:31:02.383623,"(3.8, 6.0, 5.189473684210526)","(3.0, 5.2, 3.6999999999999997)","(9.0, 19.0, 13.8)","(3.3, 5.4, 4.031818181818182)","(5.5, 9.6, 6.16)","(31.0, 230.0, 132.0)","(19.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.5)"
11-01-2023 21:31:03.541760,"(3.8, 6.0, 5.189473684210526)","(3.0, 5.2, 3.6999999999999997)","(9.0, 19.0, 13.8)","(3.3, 5.4, 4.031818181818182)","(5.5, 9.6, 6.16)","(31.0, 230.0, 132.0)","(19.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.5)"
11-01-2023 21:31:04.614864,"(3.8, 6.0, 5.189473684210526)","(3.0, 5.2, 3.6999999999999997)","(9.0, 19.0, 13.8)","(3.3, 5.4, 4.031818181818182)","(5.5, 9.6, 6.16)","(31.0, 230.0, 132.0)","(19.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.5)"
11-01-2023 21:31:05.677126,"(3.8, 6.0, 5.189473684210526)","(3.0, 5.2, 3.6999999999999997)","(9.0, 19.0, 13.8)","(3.3, 5.4, 4.031818181818182)","(5.5, 9.6, 6.16)","(31.0, 230.0, 132.0)","(19.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.5)"
11-01-2023 21:31:06.717194,"(3.8, 6.0, 5.189473684210526)","(3.0, 5.2, 3.6999999999999997)","(9.0, 19.0, 13.8)","(3.3, 5.4, 4.031818181818182)","(5.5, 9.6, 6.16)","(31.0, 230.0, 132.0)","(19.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.5)"
11-01-2023 21:31:07.819101,"(3.8, 6.0, 5.189473684210526)","(3.0, 5.2, 3.6999999999999997)","(9.0, 19.0, 13.8)","(3.3, 5.4, 4.031818181818182)","(5.5, 9.6, 6.16)","(31.0, 230.0, 132.0)","(19.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.5)"
11-01-2023 21:31:08.877529,"(3.8, 6.0, 5.189473684210526)","(3.0, 5.2, 3.6999999999999997)","(9.0, 19.0, 13.8)","(3.3, 5.4, 4.031818181818182)","(5.5, 9.6, 6.16)","(31.0, 230.0, 132.0)","(19.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.5)"
11-01-2023 21:31:09.957660,"(3.8, 6.0, 5.189473684210526)","(3.0, 5.2, 3.6999999999999997)","(9.0, 19.0, 13.8)","(3.3, 5.4, 4.031818181818182)","(5.5, 9.6, 6.16)","(31.0, 230.0, 132.0)","(19.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.5)"
11-01-2023 21:31:11.028135,"(3.8, 6.0, 5.189473684210526)","(3.0, 5.2, 3.6999999999999997)","(9.0, 19.0, 13.8)","(3.3, 5.4, 4.031818181818182)","(5.5, 9.6, 6.16)","(31.0, 230.0, 132.0)","(19.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.5)"
