,Big Brew,Smiling Spaniard,Jaggers Lady,Myola Red Boy,All Inn Maggie,Mr Deeds,Speedy Muffin,Slingshot Bruno
09-01-2023 16:12:05.938963,"(3.4, 6.4, 3.5975)","(6.5, 14.5, 7.237500000000001)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 32.0, 29.375)","(2.6, 4.3, 2.74375)"
09-01-2023 16:12:07.114417,"(3.4, 6.4, 3.5975)","(6.5, 14.5, 7.237500000000001)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 32.0, 29.375)","(2.6, 4.3, 2.74375)"
09-01-2023 16:12:08.370795,"(3.4, 6.4, 3.5975)","(6.5, 14.5, 7.237500000000001)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 32.0, 29.375)","(2.6, 4.3, 2.74375)"
09-01-2023 16:12:09.505230,"(3.4, 6.4, 3.5975)","(6.5, 14.5, 7.237500000000001)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 32.0, 29.375)","(2.6, 4.3, 2.74375)"
09-01-2023 16:12:10.653776,"(3.4, 6.4, 3.5975)","(6.5, 14.5, 7.237500000000001)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 32.0, 29.375)","(2.6, 4.3, 2.74375)"
09-01-2023 16:12:11.948346,"(3.4, 6.4, 3.5975)","(6.5, 14.5, 7.237500000000001)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 32.0, 29.375)","(2.6, 4.3, 2.74375)"
09-01-2023 16:12:13.214058,"(3.4, 6.4, 3.5975)","(6.5, 14.5, 7.237500000000001)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 32.0, 29.375)","(2.6, 4.3, 2.74375)"
09-01-2023 16:12:14.377259,"(3.4, 6.4, 3.5975)","(6.5, 14.5, 7.237500000000001)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 32.0, 29.375)","(2.6, 4.3, 2.74375)"
09-01-2023 16:12:15.484009,"(3.4, 6.4, 3.5975)","(6.5, 14.5, 7.237500000000001)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 32.0, 29.375)","(2.6, 4.3, 2.74375)"
09-01-2023 16:12:16.619502,"(3.4, 6.4, 3.5975)","(6.5, 14.5, 7.237500000000001)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 32.0, 29.375)","(2.6, 4.3, 2.74375)"
