,Rachmaninov,Jesper Fast,Vertigo,Annas Boy,Sonoma Tyron,Martha Stuart,Lauries Legacy,Salvo,Boss Kenny
16-12-2022 15:01:31.480589,"(14.0, 48.0, 31.25)","(20.0, 140.0, 119.66666666666666)","(12.0, 29.0, 24.428571428571427)","(3.5, 4.9, 3.581818181818182)","(12.0, 24.0, 16.333333333333332)","(5.0, 9.2, 8.533333333333333)","(3.9, 6.2, 5.78)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.542857142857143)"
16-12-2022 15:01:32.682716,"(14.0, 48.0, 31.25)","(20.0, 140.0, 119.66666666666666)","(12.0, 29.0, 24.428571428571427)","(3.5, 4.9, 3.581818181818182)","(12.0, 24.0, 16.333333333333332)","(5.0, 9.2, 8.533333333333333)","(3.9, 6.2, 5.78)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.542857142857143)"
16-12-2022 15:01:33.926952,"(14.0, 48.0, 31.25)","(20.0, 140.0, 119.66666666666666)","(12.0, 29.0, 23.5)","(3.5, 4.9, 3.581818181818182)","(12.0, 24.0, 16.333333333333332)","(5.0, 9.2, 8.533333333333333)","(3.9, 6.2, 5.78)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.542857142857143)"
16-12-2022 15:01:35.131539,"(14.0, 48.0, 31.25)","(20.0, 140.0, 119.66666666666666)","(12.0, 29.0, 18.333333333333332)","(3.5, 4.9, 3.581818181818182)","(12.0, 24.0, 16.333333333333332)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 5.78)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 7.449999999999999)"
16-12-2022 15:01:36.293822,"(14.0, 48.0, 31.25)","(20.0, 140.0, 119.66666666666666)","(12.0, 29.0, 18.333333333333332)","(3.5, 4.9, 3.9937500000000004)","(12.0, 24.0, 16.333333333333332)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 5.78)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.571428571428571)"
16-12-2022 15:01:37.486660,"(14.0, 48.0, 31.25)","(20.0, 140.0, 119.66666666666666)","(12.0, 29.0, 18.333333333333332)","(3.5, 4.8, 4.125)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 5.78)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.571428571428571)"
16-12-2022 15:01:38.603752,"(14.0, 48.0, 31.25)","(20.0, 140.0, 119.66666666666666)","(12.0, 29.0, 18.333333333333332)","(3.5, 4.8, 4.125)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 5.78)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.571428571428571)"
16-12-2022 15:01:39.799761,"(14.0, 48.0, 31.25)","(20.0, 140.0, 109.375)","(12.0, 29.0, 18.333333333333332)","(3.5, 4.8, 4.125)","(12.0, 24.0, 21.333333333333332)","(5.0, 9.2, 8.533333333333333)","(3.9, 6.2, 4.05625)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.571428571428571)"
16-12-2022 15:01:41.122174,"(14.0, 48.0, 31.25)","(20.0, 140.0, 109.375)","(12.0, 29.0, 18.333333333333332)","(3.5, 4.8, 4.125)","(12.0, 24.0, 21.333333333333332)","(5.0, 9.2, 8.533333333333333)","(3.9, 6.2, 3.96875)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.571428571428571)"
16-12-2022 15:01:42.351018,"(14.0, 48.0, 31.25)","(20.0, 140.0, 109.375)","(12.0, 29.0, 23.0)","(3.5, 4.7, 4.131818181818182)","(12.0, 24.0, 21.333333333333332)","(5.0, 9.2, 8.533333333333333)","(3.9, 6.2, 3.96875)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.571428571428571)"
16-12-2022 15:01:43.459342,"(14.0, 48.0, 31.25)","(20.0, 140.0, 109.375)","(12.0, 29.0, 23.0)","(3.5, 4.7, 4.131818181818182)","(12.0, 24.0, 21.333333333333332)","(5.0, 9.2, 8.533333333333333)","(3.9, 6.2, 3.96875)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.571428571428571)"
16-12-2022 15:01:44.572750,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 29.0, 23.0)","(3.5, 4.7, 4.131818181818182)","(12.0, 24.0, 21.333333333333332)","(5.0, 9.2, 8.533333333333333)","(3.9, 6.2, 5.757894736842106)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.571428571428571)"
16-12-2022 15:01:45.658424,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 29.0, 23.0)","(3.5, 4.7, 4.131818181818182)","(12.0, 24.0, 21.333333333333332)","(5.0, 9.2, 8.533333333333333)","(3.9, 6.2, 5.757894736842106)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.571428571428571)"
16-12-2022 15:01:46.783083,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 29.0, 23.0)","(3.5, 4.7, 4.131818181818182)","(12.0, 24.0, 21.333333333333332)","(5.0, 9.2, 8.533333333333333)","(3.9, 6.2, 5.757894736842106)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.571428571428571)"
16-12-2022 15:01:47.901395,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 29.0, 26.0)","(3.5, 4.7, 4.131818181818182)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.628571428571428)"
16-12-2022 15:01:49.083816,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 29.0, 26.0)","(3.5, 4.7, 3.6583333333333337)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.628571428571428)"
16-12-2022 15:01:50.276002,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 29.0, 26.0)","(3.5, 4.7, 3.6583333333333337)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.628571428571428)"
16-12-2022 15:01:51.523237,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 29.0, 26.0)","(3.5, 4.7, 3.6583333333333337)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.628571428571428)"
16-12-2022 15:01:52.768715,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 29.0, 26.0)","(3.5, 4.7, 4.552272727272728)","(12.0, 24.0, 21.333333333333332)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.628571428571428)"
16-12-2022 15:01:53.973477,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 29.0, 26.0)","(3.5, 4.9, 4.61875)","(12.0, 24.0, 21.333333333333332)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.628571428571428)"
16-12-2022 15:01:55.202311,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 24.0, 22.88888888888889)","(3.5, 4.9, 4.61875)","(12.0, 24.0, 21.333333333333332)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.628571428571428)"
16-12-2022 15:01:56.382405,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 24.0, 22.88888888888889)","(3.5, 4.9, 4.61875)","(12.0, 24.0, 21.333333333333332)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.628571428571428)"
16-12-2022 15:01:57.530996,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 24.0, 22.88888888888889)","(3.5, 4.9, 4.61875)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.628571428571428)"
16-12-2022 15:01:58.658671,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 24.0, 22.88888888888889)","(3.5, 4.9, 4.61875)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.628571428571428)"
16-12-2022 15:01:59.800832,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 24.0, 21.75)","(3.5, 4.9, 3.967857142857143)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.685714285714285)"
16-12-2022 15:02:00.985253,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 24.0, 21.75)","(3.5, 4.8, 4.0636363636363635)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.685714285714285)"
16-12-2022 15:02:02.233699,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 24.0, 21.75)","(3.5, 4.8, 4.0636363636363635)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 5.78)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.685714285714285)"
16-12-2022 15:02:03.437938,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 24.0, 22.5)","(3.5, 4.8, 4.0636363636363635)","(12.0, 24.0, 21.333333333333332)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 5.78)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.685714285714285)"
16-12-2022 15:02:04.625288,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 24.0, 22.5)","(3.5, 4.8, 4.0636363636363635)","(12.0, 24.0, 21.333333333333332)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 5.78)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.685714285714285)"
16-12-2022 15:02:05.857691,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 24.0, 22.5)","(3.5, 4.8, 4.0636363636363635)","(12.0, 24.0, 21.333333333333332)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 5.78)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.685714285714285)"
16-12-2022 15:02:07.041316,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 24.0, 22.5)","(3.5, 4.9, 3.967857142857143)","(12.0, 24.0, 21.333333333333332)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 5.78)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.685714285714285)"
