,Cousteau,Chanelle,Diamond Blanco,Impressive Mario,Romeo,Fly High Buddy,Homebush Dove,Harry Baxter
06-01-2023 10:40:46.716479,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:40:47.751647,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:40:48.898769,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:40:49.937437,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:40:51.030018,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:40:52.136408,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:40:53.242148,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:40:54.338195,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:40:55.441159,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:40:56.500238,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:40:57.619195,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:40:58.734902,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:40:59.829901,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:00.893976,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:01.924941,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:02.990483,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:04.074720,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:05.154831,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:06.247948,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:07.365577,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.685810810810812)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:08.474708,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.685810810810812)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:09.502089,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.685810810810812)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:10.509703,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.685810810810812)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:11.531583,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.685810810810812)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:12.592162,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.685810810810812)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
