,Buddys Tale,Harmony Nation,Damreel,Chayse N Storms,Renault,Friend Of God,The Houseman,Hes Viral,It Must Be Love,Alaltun,Nitroglycerine,The Angels Kiss
12-01-2023 16:45:21.229246,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.714285714285714)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.3, 3.1457446808510636)","(7.0, 8.8, 8.615384615384617)","(21.0, 34.0, 32.666666666666664)","(18.0, 30.0, 22.125)","(41.0, 65.0, 51.666666666666664)","(8.0, 12.0, 11.0)","(21.0, 32.0, 31.11111111111111)"
12-01-2023 16:45:23.065041,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.714285714285714)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.3, 3.1457446808510636)","(7.0, 8.8, 8.615384615384617)","(21.0, 34.0, 32.666666666666664)","(18.0, 30.0, 25.833333333333332)","(41.0, 65.0, 51.666666666666664)","(8.0, 12.0, 11.0)","(21.0, 32.0, 31.11111111111111)"
12-01-2023 16:45:24.965040,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.357142857142857)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.3, 3.131818181818182)","(7.0, 8.8, 8.5)","(21.0, 34.0, 31.0)","(18.0, 29.0, 25.833333333333332)","(41.0, 65.0, 53.666666666666664)","(8.0, 12.0, 11.0)","(21.0, 32.0, 30.4)"
12-01-2023 16:45:26.863712,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.357142857142857)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.3, 3.131818181818182)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 29.0, 25.833333333333332)","(41.0, 65.0, 53.666666666666664)","(8.0, 12.0, 11.0)","(21.0, 32.0, 30.4)"
12-01-2023 16:45:28.497631,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.357142857142857)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.3, 3.131818181818182)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 29.0, 25.833333333333332)","(41.0, 65.0, 53.666666666666664)","(8.0, 12.0, 11.090909090909092)","(21.0, 32.0, 30.4)"
12-01-2023 16:45:30.092601,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.357142857142857)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.3, 3.0749999999999997)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 29.0, 25.833333333333332)","(41.0, 65.0, 53.666666666666664)","(8.0, 13.0, 11.090909090909092)","(21.0, 32.0, 30.4)"
12-01-2023 16:45:31.716151,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.357142857142857)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0749999999999997)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 29.0, 25.833333333333332)","(41.0, 65.0, 53.666666666666664)","(8.0, 13.0, 11.090909090909092)","(21.0, 32.0, 30.4)"
12-01-2023 16:45:33.484002,"(10.0, 16.5, 16.4)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.357142857142857)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0749999999999997)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 29.0, 25.833333333333332)","(41.0, 65.0, 56.5)","(8.0, 13.0, 11.25)","(21.0, 32.0, 30.4)"
12-01-2023 16:45:35.206113,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.357142857142857)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0749999999999997)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 29.0, 25.833333333333332)","(41.0, 65.0, 56.5)","(8.0, 12.5, 11.25)","(21.0, 32.0, 30.4)"
12-01-2023 16:45:37.186437,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.357142857142857)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0749999999999997)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 29.0, 25.833333333333332)","(41.0, 65.0, 56.5)","(8.0, 12.5, 11.25)","(21.0, 32.0, 30.4)"
