,Idealrockidealroll,Southshore Nz,Stormy Sanz,Military Man Nz,Kenya Nz,Cheddar Valley Nz,Sharmey,Rocks Arnt Pets,Kiavino Stride,Where Ya Bin Nz,Believe In Forever
08-01-2023 18:21:26.376821,"(1.1, 1.5, 1.4648275862068965)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 57.5)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:27.821180,"(1.1, 1.5, 1.4648275862068965)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 57.5)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:29.183703,"(1.1, 1.5, 1.4648275862068965)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 57.5)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:30.461519,"(1.1, 1.5, 1.4648275862068965)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 57.5)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:31.727171,"(1.1, 1.5, 1.4648275862068965)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 57.5)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:33.051805,"(1.1, 1.5, 1.43625)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 57.5)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:34.429121,"(1.1, 1.5, 1.43625)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 57.5)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:35.813806,"(1.1, 1.5, 1.43625)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 57.5)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:37.159672,"(1.1, 1.5, 1.43625)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 57.5)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:38.489108,"(1.1, 1.5, 1.43625)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 57.5)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
