,Birdbrook,Rothwell Random,Willy Can Do,Moo Star,Low Planes,Premier Slice
14-12-2022 14:38:49.132221,"(4.0, 8.2, 5.4)","(2.2, 2.84, 2.545)","(3.9, 5.9, 4.535)","(5.0, 9.6, 7.133333333333333)","(14.0, 95.0, 88.6923076923077)","(19.0, 230.0, 208.65)"
14-12-2022 14:38:50.332235,"(4.0, 8.2, 5.4)","(2.2, 2.82, 2.545)","(3.9, 5.9, 4.535)","(5.0, 9.8, 7.133333333333333)","(14.0, 95.0, 88.6923076923077)","(19.0, 230.0, 208.65)"
14-12-2022 14:38:51.574336,"(4.0, 8.2, 5.4)","(2.2, 2.82, 2.545)","(3.9, 5.9, 4.535)","(5.0, 9.8, 7.133333333333333)","(14.0, 95.0, 88.6923076923077)","(19.0, 230.0, 208.65)"
14-12-2022 14:38:52.761963,"(4.0, 8.2, 5.4)","(2.2, 2.82, 2.44875)","(3.9, 5.9, 5.846153846153846)","(5.0, 9.8, 7.133333333333333)","(14.0, 95.0, 88.6923076923077)","(19.0, 230.0, 208.65)"
14-12-2022 14:38:54.108559,"(4.0, 8.0, 7.457142857142857)","(2.2, 2.82, 2.44875)","(3.9, 5.9, 5.846153846153846)","(5.0, 9.8, 7.133333333333333)","(14.0, 95.0, 88.6923076923077)","(19.0, 230.0, 208.65)"
14-12-2022 14:38:55.306260,"(4.0, 8.0, 7.457142857142857)","(2.2, 2.82, 2.44875)","(3.9, 5.9, 5.846153846153846)","(5.0, 9.8, 7.133333333333333)","(14.0, 95.0, 88.6923076923077)","(19.0, 230.0, 208.65)"
14-12-2022 14:38:56.944902,"(4.0, 8.0, 7.457142857142857)","(2.2, 2.82, 2.3636363636363638)","(3.9, 5.9, 4.535)","(5.0, 9.8, 7.133333333333333)","(14.0, 95.0, 48.375)","(19.0, 230.0, 177.125)"
14-12-2022 14:38:58.162800,"(4.0, 8.0, 7.457142857142857)","(2.2, 2.8, 2.27)","(3.9, 5.9, 4.666666666666666)","(5.0, 9.8, 7.544444444444444)","(14.0, 60.0, 48.5)","(19.0, 230.0, 203.5625)"
14-12-2022 14:38:59.336472,"(4.0, 8.0, 7.26)","(2.2, 2.82, 2.2456410256410257)","(3.9, 5.8, 4.949999999999999)","(5.0, 9.6, 7.35)","(14.0, 60.0, 54.3125)","(19.0, 230.0, 203.5625)"
14-12-2022 14:39:00.632852,"(4.0, 8.0, 7.485714285714286)","(2.2, 2.76, 2.556363636363636)","(3.9, 5.7, 5.45)","(5.0, 9.6, 8.1)","(14.0, 60.0, 54.3125)","(19.0, 230.0, 203.5625)"
14-12-2022 14:39:01.934662,"(4.0, 8.2, 8.052631578947368)","(2.2, 2.76, 2.246829268292683)","(3.9, 5.7, 5.233333333333333)","(5.0, 9.6, 7.35)","(14.0, 60.0, 54.3125)","(19.0, 230.0, 203.5625)"
14-12-2022 14:39:03.261553,"(4.0, 8.2, 8.052631578947368)","(2.2, 2.84, 2.38)","(3.9, 5.7, 5.266666666666667)","(5.0, 9.6, 7.35)","(14.0, 60.0, 54.3125)","(19.0, 230.0, 203.5625)"
14-12-2022 14:39:04.469952,"(4.0, 8.2, 8.052631578947368)","(2.2, 2.8, 2.245789473684211)","(3.9, 5.7, 5.35625)","(5.0, 9.6, 7.225)","(14.0, 60.0, 48.625)","(19.0, 230.0, 203.5625)"
14-12-2022 14:39:05.685928,"(4.0, 9.4, 8.368421052631579)","(2.2, 2.78, 2.2590697674418605)","(3.9, 5.7, 5.35625)","(5.0, 9.6, 7.35)","(14.0, 60.0, 48.5)","(19.0, 230.0, 203.5625)"
14-12-2022 14:39:06.967490,"(4.0, 9.4, 8.646153846153846)","(2.2, 2.74, 2.3800000000000003)","(3.9, 5.7, 5.460869565217392)","(5.0, 9.6, 7.35)","(14.0, 60.0, 44.75)","(19.0, 230.0, 203.5625)"
14-12-2022 14:39:08.094585,"(4.0, 9.4, 8.646153846153846)","(2.2, 2.74, 2.3800000000000003)","(3.9, 5.7, 5.496296296296296)","(5.0, 9.6, 7.35)","(14.0, 55.0, 44.75)","(19.0, 230.0, 203.5625)"
14-12-2022 14:39:09.244435,"(4.0, 9.4, 8.646153846153846)","(2.2, 2.74, 2.3800000000000003)","(3.9, 5.7, 5.496296296296296)","(5.0, 9.6, 7.35)","(14.0, 55.0, 48.25)","(19.0, 230.0, 203.5625)"
14-12-2022 14:39:10.491173,"(4.0, 9.4, 8.646153846153846)","(2.2, 2.76, 2.3866666666666667)","(3.9, 5.7, 5.496296296296296)","(5.0, 9.6, 6.6)","(14.0, 55.0, 48.25)","(19.0, 230.0, 203.5625)"
14-12-2022 14:39:11.752143,"(4.0, 9.4, 7.2823529411764705)","(2.2, 2.76, 2.3866666666666667)","(3.9, 5.7, 5.496296296296296)","(5.0, 9.8, 6.4)","(14.0, 55.0, 48.25)","(19.0, 230.0, 203.5625)"
14-12-2022 14:39:12.941186,"(4.0, 9.2, 8.616666666666665)","(2.2, 2.74, 2.254)","(3.9, 5.7, 5.496296296296296)","(5.0, 9.8, 6.4)","(14.0, 55.0, 48.25)","(19.0, 230.0, 203.5625)"
14-12-2022 14:39:14.092034,"(4.0, 9.2, 8.616666666666665)","(2.2, 2.72, 2.3560000000000003)","(3.9, 5.7, 5.2)","(5.0, 9.8, 8.35)","(14.0, 55.0, 48.25)","(19.0, 230.0, 203.5625)"
14-12-2022 14:39:15.231269,"(4.0, 9.2, 8.616666666666665)","(2.2, 2.5, 2.277142857142857)","(3.9, 5.7, 5.654545454545454)","(5.0, 9.2, 8.7)","(14.0, 55.0, 48.25)","(19.0, 230.0, 203.5625)"
14-12-2022 14:39:16.382704,"(4.0, 9.2, 7.488888888888889)","(2.2, 2.64, 2.3653333333333335)","(3.9, 5.7, 5.654545454545454)","(5.0, 9.8, 6.6)","(14.0, 55.0, 48.25)","(19.0, 230.0, 203.5625)"
14-12-2022 14:39:17.547811,"(4.0, 9.2, 8.033333333333333)","(2.2, 2.6, 2.314)","(3.9, 5.7, 5.705882352941177)","(5.0, 9.8, 7.066666666666666)","(14.0, 55.0, 48.25)","(19.0, 230.0, 203.5625)"
14-12-2022 14:39:18.798998,"(4.0, 9.2, 8.033333333333333)","(2.2, 2.62, 2.2462500000000003)","(3.9, 5.8, 5.705882352941177)","(5.0, 9.8, 7.066666666666666)","(14.0, 55.0, 48.25)","(19.0, 230.0, 203.5625)"
14-12-2022 14:39:19.929346,"(4.0, 9.2, 8.033333333333333)","(2.2, 2.62, 2.2462500000000003)","(3.9, 5.8, 5.705882352941177)","(5.0, 9.8, 7.066666666666666)","(14.0, 55.0, 48.25)","(19.0, 230.0, 203.5625)"
14-12-2022 14:39:20.917225,"(4.0, 9.2, 8.033333333333333)","(2.2, 2.62, 2.2462500000000003)","(3.9, 5.8, 5.705882352941177)","(5.0, 9.8, 7.066666666666666)","(14.0, 55.0, 48.25)","(19.0, 230.0, 187.8)"
14-12-2022 14:39:22.045597,"(4.0, 9.0, 8.1)","(2.2, 2.74, 2.3000000000000003)","(3.9, 6.0, 5.504761904761905)","(5.0, 9.8, 7.273684210526316)","(14.0, 55.0, 49.875)","(19.0, 230.0, 187.8)"
14-12-2022 14:39:23.250673,"(4.0, 9.0, 8.104166666666668)","(2.2, 2.7, 2.3175000000000003)","(3.9, 6.0, 5.384375)","(5.0, 9.8, 7.273684210526316)","(14.0, 55.0, 49.875)","(19.0, 230.0, 187.8)"
