,Weblec Star,Windy Storm,Fernandos Quest,Beatrix Bale,Extreme Rock,Black Compass
11-01-2023 11:56:37.057465,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.58, 2.5785062240663903)","(14.0, 28.0, 19.22222222222222)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:37.957138,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.58, 2.5785062240663903)","(14.0, 27.0, 19.22222222222222)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:38.872351,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.58, 2.5785062240663903)","(14.0, 27.0, 19.22222222222222)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:39.754587,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.58, 2.5785062240663903)","(14.0, 27.0, 19.22222222222222)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:40.719799,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.58, 2.5785062240663903)","(14.0, 27.0, 19.22222222222222)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:41.584774,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.58, 2.5785062240663903)","(14.0, 27.0, 19.22222222222222)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:42.474742,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.58, 2.5785062240663903)","(14.0, 27.0, 19.22222222222222)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:43.407950,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.58, 2.5785062240663903)","(14.0, 27.0, 19.22222222222222)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:44.310785,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.58, 2.5785062240663903)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:45.231460,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.54, 2.538838174273859)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:46.211524,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.54, 2.538838174273859)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:47.142934,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.54, 2.538838174273859)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:48.124217,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.54, 2.538838174273859)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:49.077409,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.54, 2.538838174273859)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:50.105143,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.54, 2.538838174273859)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:51.092728,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.54, 2.538838174273859)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:51.998185,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.54, 2.538838174273859)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:52.905057,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.54, 2.538838174273859)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:54.234515,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.54, 2.538838174273859)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:55.149961,"(3.2, 7.2, 5.16)","(4.6, 6.8, 6.0)","(2.35, 2.54, 2.538838174273859)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:56.185291,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.54, 2.538838174273859)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:57.149437,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.54, 2.538838174273859)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:58.815142,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.54, 2.538838174273859)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:56:59.894328,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.54, 2.538838174273859)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
