,Jimmyjoe,Rock Fisherman,True Confessions,Boom Nz,Whats Your Secret Nz,Cassius Deck,Yesnomaybeso,Glenavril King,Louis Litt Nz,Lochiel Nz
07-01-2023 18:46:43.964119,"(9.0, 9.2, 9.042424242424243)","(6.0, 7.4, 6.9714285714285715)","(31.0, 100.0, 57.77777777777778)","(2.5, 99999, 99990)","(4.0, 99999, 99990)","(5.0, 4.9, 4.633333333333334)","(91.0, 890.0, 450.0)","(31.0, 100.0, 70.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:46:45.271303,"(9.0, 9.6, 9.042424242424243)","(6.0, 7.4, 6.9714285714285715)","(31.0, 60.0, 57.77777777777778)","(2.5, 99999, 99990)","(4.0, 99999, 99990)","(5.0, 4.8, 4.633333333333334)","(91.0, 890.0, 450.0)","(31.0, 95.0, 70.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:46:46.623536,"(9.0, 9.4, 9.08)","(6.0, 7.4, 7.04)","(31.0, 60.0, 114.28571428571428)","(2.5, 99999, 99990)","(4.0, 99999, 99990)","(5.0, 4.8, 4.633333333333334)","(91.0, 880.0, 555.0)","(31.0, 95.0, 78.33333333333334)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:46:47.920525,"(9.0, 9.4, 8.96923076923077)","(6.0, 7.4, 7.057142857142857)","(31.0, 200.0, 72.5)","(2.5, 99999, 99990)","(4.0, 99999, 99990)","(5.0, 4.8, 4.633333333333334)","(91.0, 880.0, 545.0)","(31.0, 95.0, 78.33333333333334)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:46:49.151360,"(9.0, 9.4, 8.96923076923077)","(6.0, 7.4, 7.057142857142857)","(31.0, 80.0, 72.5)","(2.5, 99999, 99990)","(4.0, 99999, 99990)","(5.0, 4.8, 4.75)","(91.0, 860.0, 545.0)","(31.0, 95.0, 78.33333333333334)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:46:50.377692,"(9.0, 9.4, 8.96923076923077)","(6.0, 7.2, 7.0)","(31.0, 80.0, 72.5)","(2.5, 99999, 99990)","(4.0, 99999, 99990)","(5.0, 4.8, 4.315789473684211)","(91.0, 860.0, 540.0)","(31.0, 95.0, 78.33333333333334)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:46:51.647645,"(9.0, 9.4, 8.96923076923077)","(6.0, 7.2, 7.0)","(31.0, 80.0, 72.5)","(2.5, 99999, 99990)","(4.0, 99999, 99990)","(5.0, 4.4, 4.775)","(91.0, 850.0, 540.0)","(31.0, 95.0, 78.33333333333334)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:46:52.930744,"(9.0, 9.4, 8.777777777777777)","(6.0, 7.2, 7.0)","(31.0, 80.0, 72.5)","(2.5, 99999, 99990)","(4.0, 99999, 99990)","(5.0, 4.9, 4.677777777777778)","(91.0, 850.0, 540.0)","(31.0, 95.0, 78.33333333333334)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:46:54.268465,"(9.0, 9.4, 8.777777777777777)","(6.0, 7.2, 7.0)","(31.0, 80.0, 72.5)","(2.5, 99999, 99990)","(4.0, 99999, 99990)","(5.0, 4.9, 4.847368421052632)","(91.0, 850.0, 540.0)","(31.0, 95.0, 78.33333333333334)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:46:55.621951,"(9.0, 9.4, 9.100000000000001)","(6.0, 7.2, 7.0)","(31.0, 80.0, 72.5)","(2.5, 99999, 99990)","(4.0, 99999, 99990)","(5.0, 4.9, 4.677777777777778)","(91.0, 850.0, 540.0)","(31.0, 95.0, 78.33333333333334)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
