,Pokerjack,Pretty Woman,Valiant,Proverbial,Ticket To Anywhere,Auzstar,Vilified,Hardy,Volterra,Iconic Dame,Overextend,Our Boy Ollie,Behind The Storm,Devine Miss
07-01-2023 09:28:21.548216,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 7.025)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:23.197325,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 7.025)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:24.771604,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 7.025)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:26.319819,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 7.025)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:27.845516,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 7.025)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:29.447463,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 7.025)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:31.103749,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 7.025)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:32.667716,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 7.025)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:34.215207,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:35.817645,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:37.367299,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:38.948451,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
