,Our Patchy,Quimby Bale,Taking A Toll,Spolly Rock,Be Charming,Paris Designer
09-01-2023 16:28:06.202361,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:07.089802,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:08.076702,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:09.072949,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:09.960515,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:10.846437,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:11.852742,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:12.841999,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:13.892969,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:15.088987,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:16.095217,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:17.109106,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:18.120944,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:19.072910,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:20.034046,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:20.990584,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:21.939870,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:22.901886,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:23.811581,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:24.942730,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:26.008397,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:27.119977,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:28.067435,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:28.979248,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:29.926833,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
