,Feels Lika Boss,Doc Harvey,Waiting For You,Half Moon Beach,White Star Village,Im Alright Jack,Vieira,Mischievous Maggie,Our Modern Minnie,Impetuoso
0,"[datetime.datetime(2022, 11, 28, 17, 54, 6, 215990), 14.0, 23.0]","[datetime.datetime(2022, 11, 28, 17, 54, 6, 215990), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 54, 6, 215990), 18.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 6, 215990), 6.5, 8.6]","[datetime.datetime(2022, 11, 28, 17, 54, 6, 215990), 11.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 54, 6, 215990), 10.0, 17.0]","[datetime.datetime(2022, 11, 28, 17, 54, 6, 215990), 31.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 54, 6, 215990), 3.2, 4.3]","[datetime.datetime(2022, 11, 28, 17, 54, 6, 215990), 3.0, 3.55]","[datetime.datetime(2022, 11, 28, 17, 54, 6, 215990), 15.0, 44.0]"
1,"[datetime.datetime(2022, 11, 28, 17, 54, 7, 573179), 14.0, 23.0]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 573179), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 573179), 18.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 573179), 6.5, 8.6]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 573179), 11.0, 17.0]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 573179), 10.0, 17.0]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 573179), 31.0, 85.0]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 573179), 3.2, 4.3]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 573179), 3.0, 3.5]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 573179), 15.0, 48.0]"
2,"[datetime.datetime(2022, 11, 28, 17, 54, 8, 909336), 14.0, 23.0]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 909336), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 909336), 18.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 909336), 6.5, 8.6]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 909336), 11.0, 17.0]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 909336), 10.0, 17.0]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 909336), 31.0, 85.0]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 909336), 3.2, 4.3]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 909336), 3.0, 3.5]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 909336), 15.0, 48.0]"
3,"[datetime.datetime(2022, 11, 28, 17, 54, 10, 214977), 14.0, 23.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 214977), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 214977), 18.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 214977), 6.5, 8.6]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 214977), 11.0, 17.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 214977), 10.0, 17.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 214977), 31.0, 85.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 214977), 3.2, 4.3]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 214977), 3.0, 3.5]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 214977), 15.0, 48.0]"
4,"[datetime.datetime(2022, 11, 28, 17, 54, 11, 505668), 14.0, 23.0]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 505668), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 505668), 18.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 505668), 6.5, 8.6]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 505668), 11.0, 17.0]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 505668), 10.0, 17.0]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 505668), 31.0, 85.0]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 505668), 3.2, 4.3]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 505668), 3.0, 3.5]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 505668), 15.0, 48.0]"
5,"[datetime.datetime(2022, 11, 28, 17, 54, 12, 756689), 14.0, 23.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 756689), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 756689), 18.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 756689), 6.5, 8.6]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 756689), 11.0, 17.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 756689), 10.0, 17.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 756689), 31.0, 85.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 756689), 3.2, 4.3]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 756689), 3.0, 3.5]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 756689), 15.0, 48.0]"
6,"[datetime.datetime(2022, 11, 28, 17, 54, 14, 26274), 14.0, 23.0]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 26274), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 26274), 18.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 26274), 6.5, 8.6]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 26274), 11.0, 17.0]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 26274), 10.0, 17.0]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 26274), 31.0, 85.0]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 26274), 3.2, 4.3]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 26274), 3.0, 3.5]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 26274), 15.0, 48.0]"
7,"[datetime.datetime(2022, 11, 28, 17, 54, 15, 282996), 14.0, 23.0]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 282996), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 282996), 18.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 282996), 6.5, 8.6]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 282996), 11.0, 17.0]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 282996), 10.0, 17.0]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 282996), 31.0, 85.0]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 282996), 3.2, 4.3]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 282996), 3.0, 3.5]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 282996), 15.0, 48.0]"
8,"[datetime.datetime(2022, 11, 28, 17, 54, 16, 528223), 14.0, 23.0]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 528223), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 528223), 18.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 528223), 6.5, 8.6]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 528223), 11.0, 17.0]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 528223), 10.0, 17.0]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 528223), 31.0, 85.0]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 528223), 3.2, 4.3]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 528223), 3.0, 3.5]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 528223), 15.0, 48.0]"
9,"[datetime.datetime(2022, 11, 28, 17, 54, 17, 814424), 14.0, 23.0]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 814424), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 814424), 18.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 814424), 6.5, 8.6]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 814424), 11.0, 17.0]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 814424), 10.0, 17.0]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 814424), 31.0, 85.0]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 814424), 3.2, 4.3]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 814424), 3.0, 3.5]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 814424), 15.0, 48.0]"
