,Another Spirit,Flash Point,Miss Arizona,Superstasia,Upside,All Beans,Timely Bel
09-01-2023 12:31:51.927461,"(5.5, 7.0, 6.785714285714286)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.815384615384616)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.059259259259259)"
09-01-2023 12:31:52.955013,"(5.5, 7.0, 6.48)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.815384615384616)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.059259259259259)"
09-01-2023 12:31:53.906178,"(5.5, 7.0, 6.48)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.815384615384616)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.059259259259259)"
09-01-2023 12:31:54.844152,"(5.5, 7.0, 6.48)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.815384615384616)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.059259259259259)"
09-01-2023 12:31:55.863214,"(5.5, 7.0, 6.48)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.815384615384616)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.059259259259259)"
09-01-2023 12:31:56.905323,"(5.5, 7.0, 6.48)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.927272727272728)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.059259259259259)"
09-01-2023 12:31:58.098073,"(5.5, 7.0, 6.48)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.927272727272728)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.059259259259259)"
09-01-2023 12:31:59.152945,"(5.5, 7.0, 6.48)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.927272727272728)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.059259259259259)"
09-01-2023 12:32:00.216957,"(5.5, 7.0, 6.48)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.6, 6.32)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.059259259259259)"
09-01-2023 12:32:01.305958,"(5.5, 7.0, 6.48)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.4, 5.9714285714285715)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.059259259259259)"
09-01-2023 12:32:02.321191,"(5.5, 7.0, 6.48)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 6.0181818181818185)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.059259259259259)"
