,Safe Hustle,If I Din Havadime,More Special,Fine Line,Kamaka
07-01-2023 14:18:47.135362,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.634146341463414)","(2.4, 2.84, 2.828888888888889)","(9.0, 11.0, 10.8)","(3.3, 3.9, 3.876)"
07-01-2023 14:18:48.000569,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.634146341463414)","(2.4, 2.84, 2.828888888888889)","(9.0, 11.0, 10.8)","(3.3, 3.9, 3.876)"
07-01-2023 14:18:48.899816,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.634146341463414)","(2.4, 2.84, 2.828888888888889)","(9.0, 11.0, 10.8)","(3.3, 3.9, 3.876)"
07-01-2023 14:18:49.863988,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.634146341463414)","(2.4, 2.84, 2.828888888888889)","(9.0, 10.5, 10.44375)","(3.3, 3.9, 3.876)"
07-01-2023 14:18:50.839589,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.634146341463414)","(2.4, 2.84, 2.828888888888889)","(9.0, 10.5, 10.44375)","(3.3, 3.9, 3.876)"
07-01-2023 14:18:51.786485,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.634146341463414)","(2.4, 2.84, 2.8233333333333333)","(9.0, 10.5, 10.44375)","(3.3, 3.9, 3.876)"
07-01-2023 14:18:52.751473,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.634146341463414)","(2.4, 2.84, 2.8233333333333333)","(9.0, 10.5, 10.44375)","(3.3, 3.9, 3.876)"
07-01-2023 14:18:53.674750,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.634146341463414)","(2.4, 2.84, 2.8233333333333333)","(9.0, 10.5, 10.44375)","(3.3, 3.9, 3.876)"
07-01-2023 14:18:54.490019,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.634146341463414)","(2.4, 2.84, 2.8233333333333333)","(9.0, 10.5, 10.44375)","(3.3, 3.9, 3.876)"
07-01-2023 14:18:55.360785,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.634146341463414)","(2.4, 2.84, 2.8233333333333333)","(9.0, 10.5, 10.44375)","(3.3, 3.9, 3.876)"
07-01-2023 14:18:56.299323,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.634146341463414)","(2.4, 2.84, 2.828888888888889)","(9.0, 10.5, 10.437931034482759)","(3.3, 3.9, 3.876)"
07-01-2023 14:18:57.192462,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.634146341463414)","(2.4, 2.84, 2.828888888888889)","(9.0, 10.5, 10.437931034482759)","(3.3, 3.9, 3.876)"
07-01-2023 14:18:58.083841,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.634146341463414)","(2.4, 2.84, 2.828888888888889)","(9.0, 10.5, 10.3)","(3.3, 3.9, 3.876)"
07-01-2023 14:18:59.016437,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.634146341463414)","(2.4, 2.84, 2.828888888888889)","(9.0, 10.5, 9.927272727272728)","(3.3, 3.9, 3.876)"
07-01-2023 14:18:59.910766,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.634146341463414)","(2.4, 2.84, 2.8274999999999997)","(9.0, 10.5, 9.927272727272728)","(3.3, 3.9, 3.876)"
07-01-2023 14:19:00.906083,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.634146341463414)","(2.4, 2.84, 2.8274999999999997)","(9.0, 10.5, 9.927272727272728)","(3.3, 3.9, 3.876)"
07-01-2023 14:19:01.829340,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.674285714285714)","(2.4, 2.84, 2.8274999999999997)","(9.0, 10.5, 9.927272727272728)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:02.680982,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.506666666666667)","(2.4, 2.84, 2.8274999999999997)","(9.0, 10.5, 9.927272727272728)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:03.572857,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.506666666666667)","(2.4, 2.84, 2.8274999999999997)","(9.0, 10.5, 10.296774193548387)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:04.473398,"(9.0, 12.5, 12.352941176470589)","(4.8, 5.8, 5.506666666666667)","(2.4, 2.84, 2.839230769230769)","(9.0, 10.5, 10.296774193548387)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:05.461694,"(9.0, 12.5, 12.352941176470589)","(4.8, 5.8, 5.506666666666667)","(2.4, 2.84, 2.839230769230769)","(9.0, 10.5, 10.296774193548387)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:06.329980,"(9.0, 13.0, 12.4)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.839230769230769)","(9.0, 10.5, 10.296774193548387)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:07.267062,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.8391489361702127)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:08.242904,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.8391489361702127)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:09.106682,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.8391489361702127)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:10.020306,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.8391489361702127)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:10.969690,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.8391489361702127)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
