,Namakwa,Hostage Of War,Ostermeier,By The Law,Lets Torque A Deel,Tea Leaves,Lucamour
07-01-2023 14:30:09.384144,"(2.0, 2.38, 2.337142857142857)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 63.166666666666664)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:10.377598,"(2.0, 2.56, 2.4273684210526314)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:11.443085,"(2.0, 2.28, 2.25037037037037)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:12.458477,"(2.0, 2.28, 2.384571428571429)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:13.649205,"(2.0, 2.58, 2.384571428571429)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:14.773308,"(2.0, 2.58, 2.384571428571429)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:15.938796,"(2.0, 2.58, 2.384571428571429)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:17.012545,"(2.0, 2.58, 2.384571428571429)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:18.001898,"(2.0, 2.58, 2.384571428571429)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:19.074328,"(2.0, 2.58, 2.384571428571429)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:20.102122,"(2.0, 2.58, 2.384571428571429)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:21.261697,"(2.0, 2.58, 2.384571428571429)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:22.317168,"(2.0, 2.58, 2.384571428571429)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:23.301683,"(2.0, 2.58, 2.384571428571429)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:24.338505,"(2.0, 2.58, 2.384571428571429)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:25.389315,"(2.0, 2.58, 2.384571428571429)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:26.358931,"(2.0, 2.58, 2.384571428571429)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:27.511936,"(2.0, 2.58, 2.384571428571429)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:28.614125,"(2.0, 2.58, 2.384571428571429)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:29.671223,"(2.0, 2.58, 2.384571428571429)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:30.735103,"(2.0, 2.58, 2.384571428571429)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:31.869397,"(2.0, 2.58, 2.384571428571429)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 14.9)","(9.0, 14.0, 13.615384615384615)"
07-01-2023 14:30:32.985186,"(2.0, 2.56, 2.4914285714285715)","(3.7, 5.4, 4.828571428571429)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 9.1)","(9.0, 16.5, 15.642857142857142)","(9.0, 14.0, 13.307692307692308)"
07-01-2023 14:30:33.939616,"(2.0, 2.54, 2.4505882352941177)","(3.7, 5.0, 4.58)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 16.5, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:34.923044,"(2.0, 2.54, 2.4505882352941177)","(3.7, 5.0, 4.618181818181818)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:35.992543,"(2.0, 2.54, 2.4505882352941177)","(3.7, 5.0, 4.618181818181818)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
