,Im Ready Jet,Majestuoso Nz,Hopeful Beauty Fra,Always Ready,Aldebaran Zeus,Sleepee,Sundons Courage,Ollivici Nz,Nephew Of Sonoko,Keayang Livana
07-01-2023 18:53:07.707435,"(3.0, 4.7, 4.6)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 10.0, 9.775)","(101.0, 210.0, 170.0)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 66.66666666666667)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:08.956191,"(3.0, 4.7, 4.5)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 10.0, 9.775)","(101.0, 210.0, 170.0)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 66.66666666666667)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:10.228417,"(3.0, 4.7, 4.5)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 10.0, 9.775)","(101.0, 210.0, 170.0)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 78.33333333333333)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:11.496922,"(3.0, 4.7, 4.5)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 10.0, 9.775)","(101.0, 210.0, 170.0)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 78.33333333333333)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:12.882344,"(3.0, 4.7, 4.5)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 10.0, 9.775)","(101.0, 210.0, 170.0)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 78.33333333333333)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:14.153190,"(3.0, 4.7, 4.5)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 10.0, 9.775)","(101.0, 210.0, 170.0)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 78.33333333333333)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:15.402342,"(3.0, 4.7, 4.5)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 10.0, 9.775)","(101.0, 210.0, 170.0)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 78.33333333333333)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:16.642790,"(3.0, 4.7, 4.5)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 10.0, 9.775)","(101.0, 210.0, 170.0)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 78.33333333333333)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:17.899966,"(3.0, 4.7, 4.5)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 10.0, 9.775)","(101.0, 210.0, 170.0)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 78.33333333333333)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:19.150989,"(3.0, 4.7, 4.522222222222222)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 10.0, 9.775)","(101.0, 210.0, 170.0)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 78.33333333333333)","(71.0, 140.0, 125.71428571428572)"
