,Bye Bye Taipan,Devastator,Game One,Mr Savant,Smart And Classy,Lenny Rocks Out,Rubeson
11-01-2023 13:34:44.740885,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:34:45.821995,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:34:46.918157,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:34:47.991280,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:34:49.048414,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:34:50.111798,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:34:51.161176,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:34:52.120085,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:34:53.087242,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:34:54.162262,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
