,Arnray,Blue Card,Bandalera Miss,Django Dream,Private Scene,Lady Duckworth,Woodruff,Universal Vain,Steak Night,Act Innocent,Masaru,Taxi
11-01-2023 19:13:53.005681,"(12.0, 21.0, 19.26923076923077)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.9, 3.8055555555555554)","(31.0, 50.0, 39.5)","(11.0, 16.0, 15.75)","(9.0, 12.0, 11.857142857142858)","(19.0, 28.0, 26.714285714285715)","(17.0, 28.0, 25.857142857142858)","(21.0, 42.0, 32.72727272727273)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:13:54.455762,"(12.0, 21.0, 19.26923076923077)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.9, 3.8055555555555554)","(31.0, 50.0, 39.5)","(11.0, 16.5, 15.75)","(9.0, 12.0, 11.857142857142858)","(19.0, 28.0, 26.714285714285715)","(17.0, 28.0, 25.857142857142858)","(21.0, 42.0, 29.25)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:13:55.932088,"(12.0, 21.0, 19.26923076923077)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.9, 3.8055555555555554)","(31.0, 50.0, 39.5)","(11.0, 16.5, 15.75)","(9.0, 12.0, 11.857142857142858)","(19.0, 28.0, 26.714285714285715)","(17.0, 28.0, 25.857142857142858)","(21.0, 42.0, 30.666666666666668)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:13:57.481505,"(12.0, 21.0, 19.26923076923077)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.9, 3.8392857142857144)","(31.0, 50.0, 39.5)","(11.0, 16.5, 15.75)","(9.0, 12.0, 11.857142857142858)","(19.0, 28.0, 26.714285714285715)","(17.0, 28.0, 25.857142857142858)","(21.0, 42.0, 30.666666666666668)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:13:58.989818,"(12.0, 21.0, 19.26923076923077)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.8285714285714287)","(31.0, 50.0, 39.5)","(11.0, 16.5, 15.75)","(9.0, 12.0, 11.857142857142858)","(19.0, 28.0, 26.714285714285715)","(17.0, 28.0, 25.857142857142858)","(21.0, 42.0, 30.666666666666668)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:00.508220,"(12.0, 21.0, 19.26923076923077)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.8285714285714287)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.868421052631579)","(9.0, 12.0, 11.857142857142858)","(19.0, 28.0, 26.875)","(17.0, 28.0, 25.857142857142858)","(21.0, 42.0, 30.666666666666668)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:01.930561,"(12.0, 21.0, 19.26923076923077)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.8285714285714287)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.868421052631579)","(9.0, 12.0, 11.857142857142858)","(19.0, 28.0, 26.875)","(17.0, 28.0, 25.857142857142858)","(21.0, 42.0, 30.666666666666668)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:03.428351,"(12.0, 21.0, 19.26923076923077)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.8285714285714287)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.9)","(9.0, 12.0, 11.862068965517242)","(19.0, 28.0, 26.875)","(17.0, 28.0, 25.857142857142858)","(21.0, 42.0, 30.666666666666668)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:04.946052,"(12.0, 21.0, 19.26923076923077)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.8285714285714287)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.9)","(9.0, 12.0, 11.862068965517242)","(19.0, 28.0, 25.75)","(17.0, 28.0, 25.857142857142858)","(21.0, 42.0, 30.666666666666668)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:06.478667,"(12.0, 21.0, 19.26923076923077)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.8285714285714287)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.9)","(9.0, 12.0, 11.862068965517242)","(19.0, 28.0, 25.4)","(17.0, 28.0, 25.857142857142858)","(21.0, 42.0, 30.666666666666668)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
